CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,3429979.0,3429979.0,0.0,667.09661571,660.2709574999999,1.0337662337662508,9.01456293676412,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,3660280.0,3660280.0,0.0,529.2032824,522.321956,1.3174491941135316,7.15119247076319,1100,icici-bank,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,2581946.0,2723538.0,-5.198825938907406,403.48070141999995,408.55793538,-1.242720681774954,5.45228695673894,1100,infosys,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,2128699.0,2052063.0,3.734583197494424,395.12910838000005,382.60714635,3.2727987831532226,5.33943079871272,1100,bharti-airtel,Large Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,375988.0,375988.0,0.0,345.1757834,324.6468386,6.323469801378188,4.66440505082526,1100,bajaj-finance,Large Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,2129753.0,2129753.0,0.0,340.9734553,317.80174266,7.291247822007764,4.60761844713658,1100,cholamandalam-investment-and-finance-company,Large Cap
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4635795.0,4536343.0,2.1923386304783388,333.54545025,292.253897775,14.128657578004134,4.50724285319572,1100,tata-motors,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,496387.0,496387.0,0.0,328.21108440000006,302.1507669,8.624938393297196,4.43515887682692,1100,divi's-laboratories,Large Cap
38803,5403,1,Indus Towers Ltd.,Telecom,Telecom,Domestic Equities,7946150.0,7775699.0,2.1920987425053364,305.25135225,317.40403318,-3.8287733171645604,4.12490104369859,1100,indus-towers,Large Cap
587,7648,1,APL Apollo Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,1540025.0,1540025.0,0.0,279.00632925,249.45324949999997,11.847141622422535,3.77024864996921,1100,apl-apollo-tubes,Mid Cap
