CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,19304.0,18229.0,5.897196774370508,10.289000000000001,9.5693,7.520926295549324,4.4686424126239,1100,interglobe-aviation,Large Cap
134703,87891,1,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Domestic Equities,18697.0,17655.0,5.902010761823846,9.3001,7.9234,17.375116742812423,4.03915067563841,1100,hindustan-aeronautics,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,12492.0,11796.0,5.90030518819939,8.2597,7.1802,15.034400155984521,3.58729183939641,1100,divi's-laboratories,Large Cap
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,166968.0,157667.0,5.899141862279361,7.2723,6.609400000000001,10.029654734166483,3.1584515713213,1100,vedanta,Large Cap
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,86411.0,81597.0,5.899726705638688,6.6524,6.4274000000000004,3.500637894016243,2.88922118629014,1100,the-indian-hotels-company,Mid Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,41423.0,39115.0,5.900549661255273,6.631799999999999,5.8366999999999996,13.622423629790806,2.88027434658754,1100,cholamandalam-investment-and-finance-company,Large Cap
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,165221.0,156017.0,5.899357121339341,6.4899000000000004,5.9973,8.21369616327347,2.81864538766526,1100,tata-power-company,Large Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,23110.0,21823.0,5.897447646977959,6.4264,5.8311,10.209051465418185,2.79106653712569,1100,tvs-motor-company,Large Cap
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,11605.0,10958.0,5.904362109874064,6.3949,5.9599,7.298780180875518,2.77738569000764,1100,britannia-industries,Large Cap
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,131999.0,124645.0,5.899955874684102,6.2825,6.510800000000001,-3.506481538367027,2.72856895298957,1100,varun-beverages,Large Cap
152376,5012,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,190717.0,180093.0,5.899174315492551,6.0724,5.5838,8.750313406640641,2.63731987427519,1100,bharat-petroleum-corporation,Large Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,143266.0,135285.0,5.899397568096981,5.8159,5.5115,5.5229973691372685,2.52591869059961,1100,power-finance-corporation,Large Cap
171402,5320,1,Godrej Consumer Products Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,47125.0,44500.0,5.8988764044943816,5.803,5.6091999999999995,3.455038151608072,2.52031605797031,1100,godrej-consumer-products,Large Cap
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,14473.0,13667.0,5.897417136167411,5.7922,5.74,0.9094076655052312,2.51562548181555,1100,avenue-supermarts,Large Cap
171335,5389,1,Bajaj Holdings & Investment Ltd.,Finance,Finance,Domestic Equities,4260.0,4022.0,5.9174540029835905,5.7144,4.8155,18.666805108503798,2.48183596099699,1100,bajaj-holdings-investment,Large Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,38185.0,7211.0,429.5382055193454,5.450900000000001,5.097799999999999,6.926517321197391,2.36739458907296,1100,info-edge-india,Large Cap
57031,5903,1,Indian Oil Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,367660.0,347179.0,5.899262340176105,5.2197000000000005,4.7862,9.057289707910247,2.26698151435251,1100,indian-oil-corporation,Large Cap
171741,5431,1,GAIL (India) Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,265427.0,250640.0,5.899696776252792,5.0378,4.7394,6.296155631514533,2.18798005115334,1100,gail-india,Large Cap
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,63127.0,59611.0,5.898240257670564,5.0366,4.0196,25.301024977609725,2.18745887602503,1100,dlf,Large Cap
171943,4973,1,REC Ltd.,Finance,Finance,Domestic Equities,122897.0,116050.0,5.900043084877208,4.944100000000001,4.875299999999999,1.4111952085000006,2.14728495988472,1100,rec,Large Cap
171387,6208,1,Pidilite Industries Ltd.,Chemicals,Chemicals,Domestic Equities,15146.0,14302.0,5.901272549293806,4.7062,4.3391,8.460279781521509,2.04396199069789,1100,pidilite-industries,Large Cap
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,9087.0,8581.0,5.896748630695723,4.6061000000000005,3.9356999999999998,17.033818634550403,2.00048729874497,1100,ltimindtree,Large Cap
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,182224.0,172073.0,5.899240438651038,4.5474,4.3006,5.7387341301213795,1.97499314871863,1100,bank-of-baroda,Large Cap
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,290111.0,273950.0,5.899251688264282,4.442200000000001,3.6508999999999996,21.674107754252393,1.9293034624704,1100,samvardhana-motherson-international,Large Cap
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,29057.0,27438.0,5.900575843720388,4.417,4.291,2.936378466557904,1.91835878477595,1100,united-spirits,Large Cap
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,23542.0,22230.0,5.901934322986955,4.4151,4.1715,5.839626033800795,1.9175335908228,1100,icici-lombard-general-insurance-company,Mid Cap
133334,5159,1,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Domestic Equities,63022.0,59511.0,5.899749626119541,4.3277,3.7300999999999997,16.021018203265324,1.87957466897779,1100,cg-power-and-industrial-solutions,Large Cap
38708,8062,1,Adani Power Ltd.,Power,Power,Domestic Equities,77452.0,73137.0,5.899886514349782,4.2118,3.8912999999999998,8.236322051756485,1.82923783783549,1100,adani-power,Large Cap
134667,88599,1,Macrotech Developers Ltd.,Realty,Realty,Domestic Equities,27494.0,25962.0,5.90093213157692,3.9193000000000002,3.4511000000000003,13.5666888818058,1.70220140031071,1100,macrotech-developers,Large Cap
152308,5173,1,Shree Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,1315.0,1242.0,5.877616747181964,3.8917,3.69,5.466124661246616,1.69021437235965,1100,shree-cement,Mid Cap
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,331723.0,313243.0,5.899573174819548,3.8069,3.0526,24.710083207757325,1.6533846632926399,1100,canara-bank,Mid Cap
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,24825.0,23442.0,5.899667263885334,3.7908,3.7531,1.0045029442327629,1.64639223032119,1100,havells-india,Large Cap
152334,5218,1,Ambuja Cements Ltd.,Construction Materials,Construction Materials,Domestic Equities,65547.0,61895.0,5.900315049680911,3.628,3.3405,8.606496033527915,1.57568613791423,1100,ambuja-cements,Large Cap
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,339260.0,320361.0,5.899282372074004,3.59,3.2102999999999997,11.827555057159776,1.55918225885118,1100,punjab-national-bank,Large Cap
171942,7813,1,Jindal Steel & Power Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,37386.0,35303.0,5.900348412316234,3.5476,3.1619,12.198361744520698,1.54076740431768,1100,jindal-steel-power,Mid Cap
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,10291.0,9717.0,5.9071729957805905,3.2670999999999997,3.228,1.2112763320941662,1.41894271807596,1100,torrent-pharmaceuticals,Large Cap
139932,15713,1,Adani Energy Solutions Ltd.,Power,Power,Domestic Equities,35615.0,33631.0,5.899319080610152,3.0885000000000002,3.0256,2.0789264939185683,1.34137448647963,1100,adani-energy-solutions,Large Cap
133272,5382,1,ABB India Ltd.,Capital Goods,Capital Goods,Domestic Equities,5160.0,4872.0,5.911330049261084,3.0810000000000004,2.6906,14.509774771426457,1.33811714192771,1100,abb-india,Large Cap
84351,88646,1,Adani Green Energy Ltd.,Power,Power,Domestic Equities,30160.0,28480.0,5.8988764044943816,3.0593,2.5652,19.261656011227206,1.3286925583575,1100,adani-green-energy,Large Cap
152377,4902,1,Siemens Ltd.,Capital Goods,Capital Goods,Domestic Equities,8700.0,8216.0,5.890944498539436,2.8411,2.3838999999999997,19.17865682285332,1.23392554752705,1100,siemens,Large Cap
171799,4956,1,Dabur India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,58028.0,54795.0,5.900173373482982,2.8025,2.6726,4.860435530943654,1.21716108089984,1100,dabur-india,Large Cap
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,853.0,805.0,5.962732919254658,2.6797000000000004,2.3711,13.015056302981742,1.16382749276978,1100,bosch,Large Cap
114697,5402,1,JSW Energy Ltd.,Power,Power,Domestic Equities,52587.0,49657.0,5.900477274100329,2.5660000000000003,2.3796,7.833249285594224,1.11444614936271,1100,jsw-energy,Large Cap
57620,82559,1,ICICI Prudential Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,38485.0,36341.0,5.899672546159985,2.5492,2.2325999999999997,14.180775777120843,1.10714969756642,1100,icici-prudential-life-insurance-company,Large Cap
58145,71025,1,Indian Railway Finance Corporation Ltd.,Finance,Finance,Domestic Equities,175807.0,166014.0,5.898900092763261,2.4428,2.0664,18.21525358110725,1.06093883618988,1100,indian-railway-finance-corporation,Large Cap
171968,4931,1,Zydus Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,24576.0,23207.0,5.899082173482139,2.2856,2.0614,10.876103618899785,0.992664894381689,1100,zydus-lifesciences,Large Cap
114606,112114,1,Hyundai Motor India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,11936.0,11271.0,5.900097595599325,2.2048,1.9246,14.55886937545463,0.957572435742364,1100,hyundai-motor-india,Large Cap
58155,95800,1,Life Insurance Corporation of India,Insurance,Finance,Domestic Equities,21841.0,20624.0,5.900892164468581,2.0846,1.6412,27.01681696319766,0.905368060390299,1100,life-insurance-corporation-of-india,Large Cap
227975,113151,1,Siemens Energy India Ltd.,Others,,Domestic Equities,8016.0,8016.0,0.0,1.9865000000000002,1.9865000000000002,0.0,0.862761993651218,1100,siemens-energy-india,
84908,112552,1,Swiggy Ltd.,Retailing,Information Technology,Domestic Equities,38264.0,24969.0,53.246025071088155,1.2744,0.79,61.31645569620253,0.553487986261824,1100,swiggy,Large Cap
116180,112103,1,Bajaj Housing Finance Ltd.,Finance,Finance,Domestic Equities,91533.0,86434.0,5.899298887012056,1.1167,1.0545,5.8985301090564235,0.484996888150171,1100,bajaj-housing-finance,Large Cap
