CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,686256.0,686256.0,0.0,119.6796,129.4519,-7.548981513596953,14.6829452261007,1100,sun-pharmaceutical-industries,Large Cap,Jan-2025
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,502098.0,502098.0,0.0,74.2804,76.7708,-3.243941707003183,9.11312407939908,1100,cipla,Large Cap,Jan-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,214696.0,214696.0,0.0,70.1863,72.1389,-2.7067227251871073,8.61083759072282,1100,torrent-pharmaceuticals,Large Cap,Jan-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,73936.0,73936.0,0.0,50.354099999999995,53.9463,-6.658844072716762,6.17771526817935,1100,apollo-hospitals-enterprise,Mid Cap,Jan-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,196214.0,196214.0,0.0,40.8213,46.2221,-11.684453973315794,5.00817943875334,1100,lupin,Mid Cap,Jan-2025
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,341254.0,341254.0,0.0,39.9916,45.540299999999995,-12.184153376240383,4.90638732335443,1100,aurobindo-pharma,Mid Cap,Jan-2025
133495,5019,1,Ajanta Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,129312.0,129312.0,0.0,34.8425,37.9169,-8.108257795336646,4.27466768806391,1100,ajanta-pharma,Mid Cap,Jan-2025
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,527564.0,527564.0,0.0,33.7746,37.9767,-11.064942451555822,4.14365189918299,1100,fortis-healthcare,Mid Cap,Jan-2025
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,220197.0,220197.0,0.0,31.781,37.3278,-14.85970242018014,3.89906619198849,1100,ipca-laboratories,Mid Cap,Jan-2025
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,49770.0,49770.0,0.0,25.198800000000002,28.0399,-10.132347119640215,3.09152604256253,1100,alkem-laboratories,Mid Cap,Jan-2025
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,100574.0,76574.0,31.342231044479853,24.4938,22.0564,11.05076077691737,3.00503280240797,1100,mankind-pharma,Mid Cap,Jan-2025
190355,99127,1,Vijaya Diagnostic Centre Ltd.,Healthcare,Healthcare,Domestic Equities,220987.0,220987.0,0.0,22.8677,23.355,-2.08649111539285,2.80553399699617,1100,vijaya-diagnostic-centre,Small Cap,Jan-2025
58780,8388,1,Alembic Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,240291.0,240291.0,0.0,22.1104,25.621,-13.702041294250808,2.71262430796206,1100,alembic-pharmaceuticals,Small Cap,Jan-2025
37877,7189,1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,122938.0,122938.0,0.0,21.685,22.671599999999998,-4.351699924134153,2.66043391879647,1100,jb-chemicals-pharmaceuticals,Small Cap,Jan-2025
102214,109824,1,Jupiter Life Line Hospitals Ltd.,Healthcare,Healthcare,Domestic Equities,131408.0,131408.0,0.0,21.4077,20.5364,4.242710504275341,2.62641324433567,1100,jupiter-life-line-hospitals,Small Cap,Jan-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,7994.0,7994.0,0.0,20.9229,23.775,-11.99621451104101,2.56693533961663,1100,abbott-india,Mid Cap,Jan-2025
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,158975.0,158975.0,0.0,19.3528,22.0737,-12.326433719766053,2.37430691923838,1100,dr-reddy's-laboratories,Large Cap,Jan-2025
861,112211,1,Sai Life Sciences Ltd.,Healthcare,Healthcare,Domestic Equities,254988.0,254988.0,0.0,16.7476,19.154700000000002,-12.566628555915782,2.05468679264172,1100,sai-life-sciences,Small Cap,Jan-2025
154537,98873,1,Medi Assist Healthcare Services Ltd.,Business Services,Other,Domestic Equities,261527.0,261527.0,0.0,15.0653,15.079600000000001,-0.09483010159421096,1.84829306510696,1100,medi-assist-healthcare-services,Small Cap,Jan-2025
95406,100018,1,Emcure Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,122080.0,122080.0,0.0,14.9975,17.6662,-15.106248089572173,1.83997499179848,1100,emcure-pharmaceuticals,Small Cap,Jan-2025
133360,5711,1,Procter & Gamble Health Ltd.,Healthcare,Healthcare,Domestic Equities,19000.0,19000.0,0.0,10.2269,9.952300000000001,2.7591611989188465,1.25469179820796,1100,procter-gamble-health,Small Cap,Jan-2025
39219,111883,1,Akums Drugs & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,172550.0,172550.0,0.0,9.7758,11.0156,-11.254947528958922,1.19934839305375,1100,akums-drugs-pharmaceuticals,Small Cap,Jan-2025
224124,112798,1,Onesource Specialty Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,52236.0,67236.0,-22.30947706585758,8.2611,11.421800000000001,-27.672520968673943,1.01351674644083,1100,onesource-specialty-pharma,,Jan-2025
61269,112232,1,Suraksha Diagnostic Ltd.,Healthcare,Healthcare,Domestic Equities,222224.0,222224.0,0.0,6.8789,8.3478,-17.596252904956994,0.843940921559097,1100,suraksha-diagnostic,Small Cap,Jan-2025
171411,6555,1,Vinati Organics Ltd.,Chemicals,Chemicals,Domestic Equities,38952.0,38952.0,0.0,6.5192,7.0252,-7.202641917667828,0.79981096626322,1100,vinati-organics,Small Cap,Jan-2025
152389,5123,1,Sanofi India Ltd.,Healthcare,Healthcare,Domestic Equities,11052.0,11052.0,0.0,6.1064,6.7668,-9.759413607613638,0.74916641373017,1100,sanofi-india,Small Cap,Jan-2025
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,686256.0,686256.0,0.0,109.3377,119.6796,-8.641322330622753,14.4865385242181,1100,sun-pharmaceutical-industries,Large Cap,Feb-2025
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,477098.0,502098.0,-4.979107664240845,67.1515,74.2804,-9.597282728687519,8.89713970303959,1100,cipla,Large Cap,Feb-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,194696.0,214696.0,-9.315497261243804,57.3983,70.1863,-18.22007998712,7.60490374477081,1100,torrent-pharmaceuticals,Large Cap,Feb-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,16294.0,7994.0,103.82787090317737,49.5267,20.9229,136.71049424314984,6.56196762440944,1100,abbott-india,Mid Cap,Feb-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,73936.0,73936.0,0.0,44.7505,50.354099999999995,-11.128388750866359,5.92915199631986,1100,apollo-hospitals-enterprise,Mid Cap,Feb-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,196214.0,196214.0,0.0,37.371900000000004,40.8213,-8.450000367455226,4.95153518935579,1100,lupin,Mid Cap,Feb-2025
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,341254.0,341254.0,0.0,36.1149,39.9916,-9.693785694995952,4.78499081422313,1100,aurobindo-pharma,Mid Cap,Feb-2025
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,527564.0,527564.0,0.0,32.3238,33.7746,-4.295535698424258,4.28269456874546,1100,fortis-healthcare,Mid Cap,Feb-2025
133495,5019,1,Ajanta Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,129312.0,129312.0,0.0,32.146300000000004,34.8425,-7.738250699576664,4.25917696605171,1100,ajanta-pharma,Mid Cap,Feb-2025
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,220197.0,220197.0,0.0,29.8444,31.781,-6.0935779239168015,3.95419009483622,1100,ipca-laboratories,Mid Cap,Feb-2025
37877,7189,1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,140938.0,122938.0,14.64152662317591,23.1751,21.685,6.871570209822468,3.07055095317175,1100,jb-chemicals-pharmaceuticals,Small Cap,Feb-2025
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,49770.0,49770.0,0.0,23.1241,25.198800000000002,-8.233328571201813,3.06379378282031,1100,alkem-laboratories,Mid Cap,Feb-2025
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,100574.0,100574.0,0.0,23.0375,24.4938,-5.945586229984736,3.05231984257648,1100,mankind-pharma,Mid Cap,Feb-2025
190355,99127,1,Vijaya Diagnostic Centre Ltd.,Healthcare,Healthcare,Domestic Equities,220987.0,220987.0,0.0,20.236900000000002,22.8677,-11.504436388443084,2.68125844480677,1100,vijaya-diagnostic-centre,Small Cap,Feb-2025
102214,109824,1,Jupiter Life Line Hospitals Ltd.,Healthcare,Healthcare,Domestic Equities,131408.0,131408.0,0.0,18.8662,21.4077,-11.871896560583346,2.49964955459648,1100,jupiter-life-line-hospitals,Small Cap,Feb-2025
152386,5556,1,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,75000.0,,,18.5651,,,2.4597557508157,1100,glaxosmithkline-pharmaceuticals,Mid Cap,Feb-2025
58780,8388,1,Alembic Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,240291.0,240291.0,0.0,17.8692,22.1104,-19.181923438743752,2.36755349890256,1100,alembic-pharmaceuticals,Small Cap,Feb-2025
861,112211,1,Sai Life Sciences Ltd.,Healthcare,Healthcare,Domestic Equities,254988.0,254988.0,0.0,17.5916,16.7476,5.039528051780559,2.33077329322489,1100,sai-life-sciences,Small Cap,Feb-2025
95406,100018,1,Emcure Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,161080.0,122080.0,31.946264744429882,15.8132,14.9975,5.438906484414065,2.09514678826393,1100,emcure-pharmaceuticals,Small Cap,Feb-2025
154537,98873,1,Medi Assist Healthcare Services Ltd.,Business Services,Other,Domestic Equities,261527.0,261527.0,0.0,11.8132,15.0653,-21.586692598222406,1.56517264305261,1100,medi-assist-healthcare-services,Small Cap,Feb-2025
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,98975.0,158975.0,-37.74178329926089,11.0506,19.3528,-42.89921871770493,1.46413307226807,1100,dr-reddy's-laboratories,Large Cap,Feb-2025
97859,90258,1,Metropolis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,61160.0,,,9.690800000000001,,,1.28396836160348,1100,metropolis-healthcare,Small Cap,Feb-2025
133360,5711,1,Procter & Gamble Health Ltd.,Healthcare,Healthcare,Domestic Equities,19000.0,19000.0,0.0,9.5647,10.2269,-6.4750804251532745,1.26726092667569,1100,procter-gamble-health,Small Cap,Feb-2025
152389,5123,1,Sanofi India Ltd.,Healthcare,Healthcare,Domestic Equities,16552.0,11052.0,49.764748461816865,8.2951,6.1064,35.842722389624,1.09904713298562,1100,sanofi-india,Small Cap,Feb-2025
39219,111883,1,Akums Drugs & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,172550.0,172550.0,0.0,7.8597,9.7758,-19.600441907567667,1.04135944727936,1100,akums-drugs-pharmaceuticals,Small Cap,Feb-2025
171411,6555,1,Vinati Organics Ltd.,Chemicals,Chemicals,Domestic Equities,38952.0,38952.0,0.0,5.9392,6.5192,-8.896797153024911,0.786905610809777,1100,vinati-organics,Small Cap,Feb-2025
61269,112232,1,Suraksha Diagnostic Ltd.,Healthcare,Healthcare,Domestic Equities,222224.0,222224.0,0.0,5.8423,6.8789,-15.069269796042967,0.774066987142032,1100,suraksha-diagnostic,Small Cap,Feb-2025
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,686256.0,686256.0,0.0,119.0448,109.3377,8.87809053967661,14.6076236843055,1100,sun-pharmaceutical-industries,Large Cap,Mar-2025
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,477098.0,477098.0,0.0,68.8071,67.1515,2.4654698703677567,8.44310901113173,1100,cipla,Large Cap,Mar-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,177989.0,194696.0,-8.581069975757078,57.45399999999999,57.3983,0.0970412015686825,7.05000479784154,1100,torrent-pharmaceuticals,Large Cap,Mar-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,84936.0,73936.0,14.877732092620644,56.1954,44.7505,25.57490977754438,6.89556583730679,1100,apollo-hospitals-enterprise,Mid Cap,Mar-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,16294.0,16294.0,0.0,50.056099999999994,49.5267,1.0689183813983083,6.14223109202555,1100,abbott-india,Mid Cap,Mar-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,196214.0,196214.0,0.0,39.791199999999996,37.371900000000004,6.473580417372406,4.88265657590198,1100,lupin,Mid Cap,Mar-2025
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,341254.0,341254.0,0.0,39.6025,36.1149,9.656955993232717,4.85950177544678,1100,aurobindo-pharma,Mid Cap,Mar-2025
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,527564.0,527564.0,0.0,36.8424,32.3238,13.97917324076995,4.52081833752214,1100,fortis-healthcare,Mid Cap,Mar-2025
133495,5019,1,Ajanta Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,129312.0,129312.0,0.0,33.9185,32.146300000000004,5.512920616058451,4.16203550206405,1100,ajanta-pharma,Mid Cap,Mar-2025
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,220197.0,220197.0,0.0,33.0714,29.8444,10.812748790392831,4.05809044925221,1100,ipca-laboratories,Mid Cap,Mar-2025
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,100574.0,100574.0,0.0,24.3867,23.0375,5.85653825284862,2.99241744706238,1100,mankind-pharma,Mid Cap,Mar-2025
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,49770.0,49770.0,0.0,24.2962,23.1241,5.068737810336405,2.98131246857168,1100,alkem-laboratories,Mid Cap,Mar-2025
37877,7189,1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,140938.0,140938.0,0.0,22.8771,23.1751,-1.2858628441732798,2.80717904342083,1100,jb-chemicals-pharmaceuticals,Small Cap,Mar-2025
58780,8388,1,Alembic Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,240291.0,240291.0,0.0,22.3411,17.8692,25.025742618583934,2.74140812108918,1100,alembic-pharmaceuticals,Small Cap,Mar-2025
152386,5556,1,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,75000.0,75000.0,0.0,21.602600000000002,18.5651,16.36134467360802,2.65078904246617,1100,glaxosmithkline-pharmaceuticals,Mid Cap,Mar-2025
102214,109824,1,Jupiter Life Line Hospitals Ltd.,Healthcare,Healthcare,Domestic Equities,131408.0,131408.0,0.0,20.979899999999997,18.8662,11.203634012148706,2.57437942803348,1100,jupiter-life-line-hospitals,Small Cap,Mar-2025
861,112211,1,Sai Life Sciences Ltd.,Healthcare,Healthcare,Domestic Equities,254988.0,254988.0,0.0,19.4008,17.5916,10.284453943927774,2.38061289173885,1100,sai-life-sciences,Small Cap,Mar-2025
95406,100018,1,Emcure Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,161080.0,161080.0,0.0,17.2742,15.8132,9.239116687324522,2.11966430324911,1100,emcure-pharmaceuticals,Small Cap,Mar-2025
152389,5123,1,Sanofi India Ltd.,Healthcare,Healthcare,Domestic Equities,23007.0,16552.0,38.99830836152731,13.1724,8.2951,58.79736229822426,1.61634495768942,1100,sanofi-india,Small Cap,Mar-2025
190355,99127,1,Vijaya Diagnostic Centre Ltd.,Healthcare,Healthcare,Domestic Equities,122127.0,220987.0,-44.7356631838072,12.3006,20.236900000000002,-39.21697493193128,1.50936904334476,1100,vijaya-diagnostic-centre,Small Cap,Mar-2025
154537,98873,1,Medi Assist Healthcare Services Ltd.,Business Services,Other,Domestic Equities,261527.0,261527.0,0.0,11.9021,11.8132,0.7525479971557326,1.46047032590228,1100,medi-assist-healthcare-services,Small Cap,Mar-2025
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,98975.0,98975.0,0.0,11.3247,11.0506,2.4804083036215303,1.38961933606217,1100,dr-reddy's-laboratories,Large Cap,Mar-2025
97859,90258,1,Metropolis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,67160.0,61160.0,9.810333551340745,10.5075,9.690800000000001,8.427580798282904,1.28934322089532,1100,metropolis-healthcare,Small Cap,Mar-2025
133360,5711,1,Procter & Gamble Health Ltd.,Healthcare,Healthcare,Domestic Equities,19000.0,19000.0,0.0,9.7784,9.5647,2.2342572166403554,1.19987758755202,1100,procter-gamble-health,Small Cap,Mar-2025
39219,111883,1,Akums Drugs & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,172550.0,172550.0,0.0,8.1651,7.8597,3.8856444902477145,1.00191447375041,1100,akums-drugs-pharmaceuticals,Small Cap,Mar-2025
219108,112373,1,Sanofi Consumer Healthcare India Ltd.,Healthcare,Healthcare,Domestic Equities,16671.0,,,8.0467,,,0.987385971504012,1100,sanofi-consumer-healthcare-india,Small Cap,Mar-2025
171411,6555,1,Vinati Organics Ltd.,Chemicals,Chemicals,Domestic Equities,38952.0,38952.0,0.0,6.158099999999999,5.9392,3.68568157327586,0.755641635840637,1100,vinati-organics,Small Cap,Mar-2025
61269,112232,1,Suraksha Diagnostic Ltd.,Healthcare,Healthcare,Domestic Equities,222224.0,222224.0,0.0,5.76,5.8423,-1.408691782345997,0.706792001176023,1100,suraksha-diagnostic,Small Cap,Mar-2025
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,686256.0,686256.0,0.0,125.7427,119.0448,5.626369232423431,15.3658444189724,1100,sun-pharmaceutical-industries,Large Cap,Apr-2025
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,427098.0,477098.0,-10.48002716423041,66.2045,68.8071,-3.7824584962889034,8.09023543184501,1100,cipla,Large Cap,Apr-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,84936.0,84936.0,0.0,59.2598,56.1954,5.453115379550633,7.24158831565904,1100,apollo-hospitals-enterprise,Mid Cap,Apr-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,159989.0,177989.0,-10.112984510278725,53.1483,57.45399999999999,-7.494169248442227,6.4947588125026,1100,torrent-pharmaceuticals,Large Cap,Apr-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,16294.0,16294.0,0.0,48.857600000000005,50.056099999999994,-2.3943135801630464,5.97043232159311,1100,abbott-india,Mid Cap,Apr-2025
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,341254.0,341254.0,0.0,41.9435,39.6025,5.91124297708479,5.12552454645215,1100,aurobindo-pharma,Mid Cap,Apr-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,196214.0,196214.0,0.0,41.118599999999994,39.791199999999996,3.3359134683045446,5.02472119913091,1100,lupin,Mid Cap,Apr-2025
