CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,1494620.0,1494620.0,0.0,212.37060000000002,209.9941,1.1316984620044157,3.44686806737086,1100,reliance-industries,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1415384.0,1415384.0,0.0,204.6362,201.97529999999998,1.3174383204282907,3.32133536001743,1100,icici-bank,Large Cap
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,1254076.0,1254076.0,0.0,197.37900000000002,188.4876,4.717233388297178,3.20354781815182,1100,tech-mahindra,Large Cap
114411,5677,1,Welspun Corp Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,2108205.0,2108205.0,0.0,197.2331,161.8047,21.895779294421004,3.20117979710263,1100,welspun-corp,Small Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,1648388.0,1648388.0,0.0,196.5208,195.334,0.6075747181750247,3.18961885540737,1100,axis-bank,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,5414119.0,5290232.0,2.341806559712315,180.77740000000003,187.5652,-3.6189015872880406,2.93409656215281,1100,ntpc,Large Cap
134271,8157,1,Minda Corporation Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,3134790.0,3452478.0,-9.201738577334888,163.8711,167.94580000000002,-2.4261994048079867,2.65969989139239,1100,minda-corporation,Small Cap
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,2423027.0,2423027.0,0.0,154.9162,148.2166,4.520141468634424,2.51435793324706,1100,shriram-finance,Large Cap
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,765014.0,696825.0,9.785670720769204,148.7876,134.1388,10.920628483332198,2.41488806482983,1100,hdfc-bank,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,947766.0,947766.0,0.0,148.10739999999998,142.1744,4.173043810981437,2.40384812022626,1100,infosys,Large Cap
133613,5313,1,Granules India Ltd.,Healthcare,Healthcare,Domestic Equities,2664920.0,2664920.0,0.0,141.38729999999998,121.46709999999999,16.39966707034251,2.29477794714421,1100,granules-india,Small Cap
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,196556.0,196556.0,0.0,129.7663,120.4495,7.735025882216186,2.10616401559758,1100,multi-commodity-exchange-of-india,Small Cap
171942,7813,1,Jindal Steel & Power Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,1350400.0,1350400.0,0.0,128.1395,120.9486,5.945418136299222,2.07976033744251,1100,jindal-steel-power,Mid Cap
