CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,513535.0,513535.0,0.0,164.3055,164.49040000000002,-0.11240777577294236,10.7040871110232,1100,mahindra-mahindra,Large Cap,Aug-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,4587920.0,4587920.0,0.0,144.0377,141.21620000000001,1.9980002294354304,9.38369128283245,1100,eternal,Large Cap,Aug-2025
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,86509.0,89509.0,-3.3516182730228246,127.95549999999999,112.8529,13.38255374917258,8.33597669179991,1100,maruti-suzuki-india,Large Cap,Aug-2025
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,189922.0,189922.0,0.0,107.23,112.2534,-4.475053762291389,6.98576286804166,1100,interglobe-aviation,Large Cap,Aug-2025
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1388935.0,1649496.0,-15.796400840014163,92.9198,109.84819999999999,-15.410721340904995,6.05348958822957,1100,tata-motors,Large Cap,Aug-2025
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,8253121.0,8253121.0,0.0,76.5477,80.1956,-4.548753298185935,4.98688874656339,1100,samvardhana-motherson-international,Large Cap,Aug-2025
171383,5551,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,144832.0,144832.0,0.0,73.6862,61.7086,19.40993637839783,4.80046927023306,1100,hero-motocorp,Mid Cap,Aug-2025
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,220306.0,220306.0,0.0,72.1855,61.7253,16.946373691176884,4.70270246676323,1100,tvs-motor-company,Large Cap,Aug-2025
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,71295.0,85895.0,-16.997496943943187,61.5383,68.7847,-10.534900930003333,4.00906435794468,1100,bajaj-auto,Large Cap,Aug-2025
114606,112114,1,Hyundai Motor India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,200395.0,233895.0,-14.32266615361594,49.305200000000006,50.329499999999996,-2.035188110352763,3.21210888148249,1100,hyundai-motor-india,Large Cap,Aug-2025
134271,8157,1,Minda Corporation Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,977072.0,977072.0,0.0,48.7412,48.7852,-0.09019128752163659,3.1753657101911,1100,minda-corporation,Small Cap,Aug-2025
539,7794,1,Adani Ports and Special Economic Zone Ltd.,Logistics,Logistics,Domestic Equities,332061.0,332061.0,0.0,43.593,45.595299999999995,-4.39146140062681,2.83997352146358,1100,adani-ports-and-special-economic-zone,Large Cap,Aug-2025
101370,86936,1,Tube Investments of India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,122297.0,122297.0,0.0,36.2195,34.7409,4.2560785702155,2.35960867480215,1100,tube-investments-of-india,Mid Cap,Aug-2025
84908,112552,1,Swiggy Ltd.,Retailing,Information Technology,Domestic Equities,815638.0,615638.0,32.48662363271923,33.4208,24.856399999999997,34.45551246359087,2.17728045938867,1100,swiggy,Mid Cap,Aug-2025
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,52713.0,,,32.170700000000004,,,2.09583961110611,1100,eicher-motors,Large Cap,Aug-2025
171765,6852,1,Ceat Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,101273.0,101273.0,0.0,31.7207,33.5548,-5.4659840022887884,2.06652325103319,1100,ceat,Small Cap,Aug-2025
19510,6302,1,ZF Commercial Vehicle Control Systems India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,21874.0,21874.0,0.0,30.7877,28.8431,6.741993752405256,2.00574066448201,1100,zf-commercial-vehicle-control-systems-india,Small Cap,Aug-2025
94533,6724,1,Pitti Engineering Ltd.,Capital Goods,Capital Goods,Domestic Equities,330970.0,330970.0,0.0,30.6826,31.236900000000002,-1.774503872023147,1.99889366571831,1100,pitti-engineering,Small Cap,Aug-2025
76822,89008,1,Craftsman Automation Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,37158.0,37158.0,0.0,25.6855,25.0891,2.377127916107008,1.67334525922861,1100,craftsman-automation,Small Cap,Aug-2025
46521,101004,1,Delhivery Ltd.,Logistics,Logistics,Domestic Equities,524328.0,674328.0,-22.244367726091756,24.5412,28.6758,-14.418429477120082,1.59879701293653,1100,delhivery,Small Cap,Aug-2025
171659,5756,1,Ashok Leyland Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1844568.0,1844568.0,0.0,23.4223,22.3285,4.89867210067851,1.52590351230189,1100,ashok-leyland,Mid Cap,Aug-2025
171886,6139,1,Exide Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,556797.0,556797.0,0.0,22.0631,21.3977,3.109680012337773,1.43735507538832,1100,exide-industries,Mid Cap,Aug-2025
1059,110909,1,Happy Forgings Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,233840.0,233840.0,0.0,21.0795,22.111900000000002,-4.668979146975169,1.37327602701561,1100,happy-forgings,Small Cap,Aug-2025
1427,98308,1,Sona BLW Precision Forgings Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,473474.0,473474.0,0.0,20.9773,21.285,-1.4456189805027007,1.36661795590572,1100,sona-blw-precision-forgings,Mid Cap,Aug-2025
1336,89761,1,Sansera Engineering Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,163350.0,163350.0,0.0,20.7504,21.8105,-4.8605029687535914,1.35183599568229,1100,sansera-engineering,Small Cap,Aug-2025
38641,15554,1,VRL Logistics Ltd.,Logistics,Logistics,Domestic Equities,720000.0,360000.0,100.0,19.018800000000002,22.3524,-14.913834755999341,1.23902664212171,1100,vrl-logistics,Small Cap,Aug-2025
123367,112361,1,Ather Energy Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,366797.0,366797.0,0.0,16.511400000000002,12.8507,28.48638595562889,1.07567588379542,1100,ather-energy,Small Cap,Aug-2025
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,130471.0,130471.0,0.0,14.439200000000001,15.2534,-5.337826320689148,0.940677303032986,1100,bharat-forge,Mid Cap,Aug-2025
114652,92620,1,Indian Railway Catering And Tourism Corporation Ltd.,Hospitality,Hospitality,Domestic Equities,176963.0,176963.0,0.0,12.245,12.8484,-4.696304598237907,0.797730731317449,1100,indian-railway-catering-and-tourism-corporation,Mid Cap,Aug-2025
782,108121,1,Cyient DLM Ltd.,Electricals,Electricals,Domestic Equities,289164.0,289164.0,0.0,12.2302,13.0182,-6.0530641716980815,0.796766548808384,1100,cyient-dlm,Small Cap,Aug-2025
22095,99977,1,CMS Info Systems Ltd.,Business Services,Other,Domestic Equities,293093.0,293093.0,0.0,12.025599999999999,13.4325,-10.473850735157272,0.783437377095232,1100,cms-info-systems,Small Cap,Aug-2025
209197,110162,1,Western Carriers (India) Ltd.,Logistics,Logistics,Domestic Equities,520947.0,520947.0,0.0,6.344600000000001,5.5465,14.389254484810252,0.413334618041379,1100,western-carriers-india,Small Cap,Aug-2025
