CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,29625860.0,14812930.0,100.0,2819.196838,2989.5455330000004,-5.698146862779369,8.16502471249216,1100,hdfc-bank,Large Cap,Aug-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,15370693.0,15370693.0,0.0,2148.515468,2277.014461,-5.643310361040342,6.22258142990712,1100,icici-bank,Large Cap,Aug-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,8132102.0,7858003.0,3.4881508698838624,1535.9914259999998,1504.2575140000001,2.1096063476269817,4.44857477932021,1100,bharti-airtel,Large Cap,Aug-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,16282910.0,16282910.0,0.0,1429.395254,1434.850029,-0.38016342403403824,4.13984841906559,1100,bajaj-finance,Large Cap,Aug-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,8219355.0,7289065.0,12.762816630116482,1207.916411,1099.919909,9.818578708897602,3.49839614371752,1100,infosys,Large Cap,Aug-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,32486733.0,32486733.0,0.0,1019.920983,999.941642,1.99805070224288,2.95391932863125,1100,eternal,Large Cap,Aug-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,3103260.0,3103260.0,0.0,957.262612,942.397997,1.5773181869358222,2.77244666919735,1100,tata-consultancy-services,Large Cap,Aug-2025
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,697445.0,642367.0,8.574226260066286,881.57048,786.8353380000001,12.040021263000252,2.55322532218432,1100,ultratech-cement,Large Cap,Aug-2025
152574,8059,1,Torrent Power Ltd.,Power,Power,Domestic Equities,6967849.0,7218270.0,-3.4692661815088655,855.1641079999999,945.59337,-9.563229276871942,2.47674656162349,1100,torrent-power,Mid Cap,Aug-2025
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2582498.0,2691868.0,-4.062977828036144,826.270235,862.2322389999999,-4.170802525513085,2.39306344169917,1100,mahindra-mahindra,Large Cap,Aug-2025
171387,6208,1,Pidilite Industries Ltd.,Chemicals,Chemicals,Domestic Equities,2524224.0,2524224.0,0.0,769.9640469999999,724.401804,6.289636876718769,2.22998812525111,1100,pidilite-industries,Large Cap,Aug-2025
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,1991925.0,1896526.0,5.030197318676359,717.292193,689.67168,4.004878524227632,2.0774386530873,1100,larsen-toubro,Large Cap,Aug-2025
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,5165533.0,5471801.0,-5.597206477355445,701.066139,760.6897749999999,-7.838101412629081,2.03044437084689,1100,reliance-industries,Large Cap,Aug-2025
