CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,8584867.0,8584867.0,0.0,1075.512138,1100.279479,-2.2510045377298193,8.7086940936287,1100,icici-bank,Large Cap,Jan-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,5502629.0,5502629.0,0.0,934.759101,975.533582,-4.1797106478288395,7.56898111534319,1100,hdfc-bank,Large Cap,Jan-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,2113502.0,2113502.0,0.0,869.156562,865.4367990000001,0.42981336179581014,7.03778074695055,1100,tata-consultancy-services,Large Cap,Jan-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,854285.0,832185.0,2.655659498789332,673.6122650000001,567.799826,18.635518039063296,5.45440906367656,1100,bajaj-finance,Large Cap,Jan-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,4138784.0,4287884.0,-3.477239589503821,673.090442,680.8087820000001,-1.133701591998563,5.45018373072358,1100,bharti-airtel,Large Cap,Jan-2025
152574,8059,1,Torrent Power Ltd.,Power,Power,Domestic Equities,4180826.0,4311046.0,-3.020612630902106,611.842981,640.59988,-4.489057818743265,4.95424753157261,1100,torrent-power,Mid Cap,Jan-2025
171387,6208,1,Pidilite Industries Ltd.,Chemicals,Chemicals,Domestic Equities,1987953.0,2121747.0,-6.305841365629361,570.880463,616.208372,-7.355938520095277,4.62256365190006,1100,pidilite-industries,Large Cap,Jan-2025
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,983954.0,1043054.0,-5.666053723009547,548.820023,636.137774,-13.72623267613094,4.44393468366906,1100,divi's-laboratories,Large Cap,Jan-2025
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,4039282.0,4039282.0,0.0,519.391076,479.038649,8.42362658717335,4.20564104860401,1100,cholamandalam-investment-and-finance-company,Large Cap,Jan-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,21104204.0,20710404.0,1.9014597687230053,465.031135,575.8527829999999,-19.2447881249538,3.76547484276551,1100,eternal,Large Cap,Jan-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,2576744.0,2576744.0,0.0,444.952154,543.396658,-18.11650891676997,3.60289024974925,1100,pb-fintech,Mid Cap,Jan-2025
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,690105.0,690105.0,0.0,397.031209,491.585945,-19.23462966379154,3.21486222483206,1100,trent,Large Cap,Jan-2025
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,511373.0,511373.0,0.0,394.96916400000003,443.731136,-10.989080558908526,3.19816532437151,1100,info-edge-india,Large Cap,Jan-2025
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1303212.0,1303212.0,0.0,389.64084,391.88888099999997,-0.5736424555510519,3.15502053584869,1100,mahindra-mahindra,Large Cap,Jan-2025
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,893821.0,878921.0,1.695260438651483,386.51948400000003,400.28259599999996,-3.4383488409273646,3.12974612601091,1100,interglobe-aviation,Large Cap,Jan-2025
134703,87891,1,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Domestic Equities,951159.0,951159.0,0.0,374.452275,397.42752099999996,-5.7809901896552285,3.03203487940396,1100,hindustan-aeronautics,Large Cap,Jan-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,536054.0,536054.0,0.0,365.079577,391.12375999999995,-6.658808710572832,2.95614177059559,1100,apollo-hospitals-enterprise,Mid Cap,Jan-2025
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,2578855.0,2251944.0,14.516835232137213,350.595337,381.479314,-8.095845794668701,2.83885921200609,1100,prestige-estates-projects,Mid Cap,Jan-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,3825825.0,3825825.0,0.0,295.698014,304.133958,-2.7737593182540903,2.39434168805219,1100,state-bank-of-india,Large Cap,Jan-2025
