CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,22343.0,22343.0,0.0,3.7482619999999995,4.093908,-8.442935210073124,19.6516737882402,1100,sun-pharmaceutical-industries,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2631.0,2631.0,0.0,1.739617,1.60149,8.624905556700327,9.12059663931633,1100,divi's-laboratories,Large Cap
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,15400.0,15400.0,0.0,1.732808,1.6912280000000002,2.458568566745576,9.08489789498519,1100,max-healthcare-institute,Mid Cap
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,11658.0,11658.0,0.0,1.708713,1.807107,-5.444835308589924,8.95857079193646,1100,cipla,Large Cap
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,12642.0,12642.0,0.0,1.5817670000000001,1.496686,5.684625900155419,8.29300862453142,1100,dr-reddy's-laboratories,Large Cap
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,2094.0,2094.0,0.0,1.440777,1.460984,-1.3831089183728262,7.55381550318505,1100,apollo-hospitals-enterprise,Mid Cap
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,5006.0,5006.0,0.0,0.9800249999999999,1.049057,-6.580386003811041,5.13814978897423,1100,lupin,Mid Cap
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,10645.0,10618.0,0.25428517611602935,0.751856,0.727917,3.2886991236638075,3.94188795973471,1100,fortis-healthcare,Mid Cap
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,2167.0,2167.0,0.0,0.6879569999999999,0.719877,-4.434090823849084,3.60687341075314,1100,torrent-pharmaceuticals,Large Cap
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,5796.0,5796.0,0.0,0.665265,0.7123860000000001,-6.614532009332027,3.4879020630718,1100,aurobindo-pharma,Mid Cap
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,2291.0,2291.0,0.0,0.56535,0.5648,0.09737960339943294,2.96406008336173,1100,mankind-pharma,Mid Cap
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,1101.0,1101.0,0.0,0.561345,0.563272,-0.3421082532062574,2.9430623640129,1100,alkem-laboratories,Mid Cap
139924,82380,1,Laurus Labs Ltd.,Healthcare,Healthcare,Domestic Equities,8109.0,8109.0,0.0,0.49432499999999996,0.489662,0.9522895384979779,2.59168479828034,1100,laurus-labs,Small Cap
171968,4931,1,Zydus Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,5176.0,5186.0,-0.19282684149633628,0.481368,0.460646,4.498465198872893,2.52375285081396,1100,zydus-lifesciences,Large Cap
133463,8505,1,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,3119.0,3126.0,-0.22392834293026234,0.454469,0.43176299999999995,5.258903611472038,2.38272472278292,1100,glenmark-pharmaceuticals,Mid Cap
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2879.0,2879.0,0.0,0.4102,0.403405,1.6844114475527188,2.15062783442997,1100,ipca-laboratories,Mid Cap
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,108.0,108.0,0.0,0.328914,0.323838,1.5674503918625873,1.72445539623037,1100,abbott-india,Mid Cap
133643,6434,1,Biocon Ltd.,Healthcare,Healthcare,Domestic Equities,9330.0,9330.0,0.0,0.313348,0.30023900000000003,4.366188270011557,1.64284478464886,1100,biocon,Mid Cap
19805,15724,1,Syngene International Ltd.,Business Services,Healthcare,Domestic Equities,3918.0,3918.0,0.0,0.253318,0.24842099999999998,1.9712504176378112,1.32811492384722,1100,syngene-international,Mid Cap
133613,5313,1,Granules India Ltd.,Healthcare,Healthcare,Domestic Equities,3017.0,3017.0,0.0,0.160067,0.137515,16.39966549103733,0.839211471413217,1100,granules-india,Small Cap
