CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,62166.0,60785.0,2.271942090976392,6.3409320000000005,6.055402,4.715293881397139,5.29611452625952,1100,shriram-finance,Large Cap,Jan-2026
152343,5043,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,61241.0,59867.0,2.2950874438338316,5.895059,5.308407,11.051375676356397,4.92370957503675,1100,hindalco-industries,Large Cap,Jan-2026
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,8265.0,8081.0,2.27694592253434,5.8867460000000005,5.909231,-0.38050636368757995,4.9167663370306,1100,eicher-motors,Large Cap,Jan-2026
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,16945.0,16568.0,2.2754707870593913,5.8151850000000005,6.145403,-5.373414892400056,4.85699669250301,1100,mahindra-mahindra,Large Cap,Jan-2026
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,29164.0,28509.0,2.2975200813778107,5.741517,6.002854999999999,-4.353561763527514,4.79546722571161,1100,bharti-airtel,Large Cap,Jan-2026
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,61401.0,60076.0,2.2055396497769495,5.709371999999999,5.9283,-3.692930519710554,4.76861886943739,1100,bajaj-finance,Large Cap,Jan-2026
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,3700.0,3617.0,2.2947193807022392,5.40163,6.039305000000001,-10.55874806786543,4.51158459174128,1100,maruti-suzuki-india,Large Cap,Jan-2026
171658,4978,1,Asian Paints Ltd.,Chemicals,Chemicals,Domestic Equities,21056.0,20587.0,2.2781366882012923,5.113028,5.70157,-10.32245504308463,4.27053654951223,1100,asian-paints,Large Cap,Jan-2026
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,11961.0,11697.0,2.256988971531162,4.398537999999999,4.35105,1.0914147159880856,3.67377555793131,1100,tvs-motor-company,Large Cap,Jan-2026
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,14626.0,14336.0,2.0228794642857144,4.090892,3.773522,8.410445202121526,3.41682146198049,1100,bse,Mid Cap,Jan-2026
