CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
58504,98271,1,Krishna Institute of Medical Sciences Ltd,Healthcare,Healthcare,Domestic Equities,10645743.0,10645743.0,0.0,729.339853,767.611299,-4.985784608676011,2.72456118022154,1100,krishna-institute-of-medical-sciences,Small Cap,Nov-2025
133018,6609,1,CCL Products (India) Ltd.,Agri,Agriculture,Domestic Equities,6893602.0,6944251.0,-0.72936591721699,695.288698,597.03198,16.45753013096552,2.59735785426438,1100,ccl-products-india,Small Cap,Nov-2025
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,660372.0,660372.0,0.0,665.225734,610.414858,8.979282742164168,2.4850530290997,1100,multi-commodity-exchange-of-india,Mid Cap,Nov-2025
617,7969,1,Brigade Enterprises Ltd.,Realty,Realty,Domestic Equities,6154986.0,6154986.0,0.0,550.9327969999999,638.702897,-13.741929215016544,2.05809418673995,1100,brigade-enterprises,Small Cap,Nov-2025
114451,6891,1,City Union Bank Ltd.,Bank,Banking,Domestic Equities,19699201.0,19699201.0,0.0,534.005941,450.461629,18.546377010060493,1.99486131310621,1100,city-union-bank,Small Cap,Nov-2025
37877,7189,1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,2984782.0,2984782.0,0.0,528.694436,502.129876,5.290376308937248,1.97501936936486,1100,jb-chemicals-pharmaceuticals,Small Cap,Nov-2025
171404,5514,1,Cholamandalam Financial Holdings Ltd.,Finance,Finance,Domestic Equities,2768484.0,2768484.0,0.0,511.117516,529.50025,-3.4717139415892593,1.90935808169098,1100,cholamandalam-financial-holdings,Mid Cap,Nov-2025
133317,6810,1,Blue Star Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,2603151.0,2603151.0,0.0,459.56027800000004,504.334475,-8.877877523641425,1.71675809056689,1100,blue-star,Mid Cap,Nov-2025
153885,104233,1,Kaynes Technology India Ltd.,Electricals,Electricals,Domestic Equities,812899.0,812899.0,0.0,446.28155100000004,545.0081349999999,-18.11469915031634,1.66715336382922,1100,kaynes-technology-india,Mid Cap,Nov-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,2276818.0,2276818.0,0.0,414.130426,406.50308599999994,1.8763301590286183,1.54704789212747,1100,pb-fintech,Mid Cap,Nov-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,4067560.0,4067560.0,0.0,409.847346,401.590199,2.0561126791841953,1.53104778812687,1100,hdfc-bank,Large Cap,Nov-2025
56723,6834,1,Can Fin Homes Ltd.,Finance,Finance,Domestic Equities,4272355.0,4272355.0,0.0,377.911162,370.79769,1.9184240333320213,1.41174526158467,1100,can-fin-homes,Small Cap,Nov-2025
134271,8157,1,Minda Corporation Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5769277.0,5769277.0,0.0,335.339226,325.21414400000003,3.113358439908433,1.25271124785928,1100,minda-corporation,Small Cap,Nov-2025
861,112211,1,Sai Life Sciences Ltd.,Healthcare,Healthcare,Domestic Equities,3771187.0,3771187.0,0.0,333.523778,346.27038999999996,-3.6811152117280233,1.24592936267206,1100,sai-life-sciences,Small Cap,Nov-2025
133045,6467,1,Vesuvius India Ltd.,Capital Goods,Capital Goods,Domestic Equities,6902100.0,6902100.0,0.0,329.540765,340.515104,-3.2228640876969625,1.23105020509486,1100,vesuvius-india,Small Cap,Nov-2025
152305,7945,1,JK Lakshmi Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,4300757.0,4300757.0,0.0,326.362945,374.122851,-12.765835038501832,1.21917896979335,1100,jk-lakshmi-cement,Small Cap,Nov-2025
96304,15914,1,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare,Domestic Equities,1663780.0,1663780.0,0.0,323.688399,292.392697,10.703311786203736,1.20918779191333,1100,narayana-hrudayalaya,Mid Cap,Nov-2025
