CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,1916605.0,2161358.0,-11.32403794281188,372.760506,416.06141499999995,-10.407335897754413,7.68572055841686,1100,hdfc-bank,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,1752018.0,1752018.0,0.0,208.875586,207.614133,0.6075949559753725,4.30667777200509,1100,axis-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,1373712.0,1533712.0,-10.432206307311933,195.19073799999998,215.486536,-9.418592166705038,4.02451827302531,1100,reliance-industries,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,2179616.0,2179616.0,0.0,177.050208,171.895416,2.998795500166205,3.65048979598064,1100,state-bank-of-india,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,250245.0,253773.0,-1.3902188176047097,165.461994,154.47162500000002,7.114814128484769,3.41155950926423,1100,divi's-laboratories,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1120565.0,1120565.0,0.0,162.011288,159.904626,1.317449064919483,3.34041151579828,1100,icici-bank,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,466575.0,466575.0,0.0,161.593586,161.141008,0.28085836474350095,3.33179917410162,1100,tata-consultancy-services,Large Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,158691.0,158691.0,0.0,145.686273,137.021744,6.323470090995194,3.00381603054062,1100,bajaj-finance,Large Cap
151967,5716,1,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Domestic Equities,621341.0,499266.0,24.4508939122632,139.267372,78.19004799999999,78.11393593210225,2.87146864238104,1100,ge-vernova-td-india,Mid Cap
79346,86555,1,Aditya Birla Capital Ltd.,Finance,Finance,Domestic Equities,6254431.0,6254431.0,0.0,139.16734399999999,122.812007,13.317376207360573,2.86940622631592,1100,aditya-birla-capital,Mid Cap
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,237187.0,237187.0,0.0,130.701896,129.003637,1.3164427294402548,2.69486233906782,1100,britannia-industries,Large Cap
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,3566732.0,3566732.0,0.0,102.240373,92.88483500000001,10.072191009436574,2.10803162893632,1100,jio-financial-services,Large Cap
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,146079.0,146079.0,0.0,96.441356,89.517211,7.734987409292709,1.98846524929548,1100,multi-commodity-exchange-of-india,Small Cap
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,274452.0,197228.0,39.15468391911899,89.693658,57.105395,57.066872578326446,1.84933859718017,1100,cummins-india,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,479167.0,749627.0,-36.079276760308794,88.942979,139.767954,-36.36382557334996,1.83386080666802,1100,bharti-airtel,Large Cap
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,554996.0,554996.0,0.0,84.747889,88.85486,-4.622111834963234,1.74736481543925,1100,havells-india,Large Cap
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1219160.0,1647573.0,-26.002671808775695,79.922034,117.86737199999999,-32.19325022364967,1.64786346701732,1100,jubilant-foodworks,Mid Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,479899.0,479899.0,0.0,74.99381699999999,71.989649,4.1730554902413814,1.54625157921384,1100,infosys,Large Cap
134703,87891,1,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Domestic Equities,149038.0,149038.0,0.0,74.132992,66.886764,10.833575384212041,1.52850275579182,1100,hindustan-aeronautics,Large Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,932136.0,779785.0,19.537564841590953,72.41298499999999,57.992610000000006,24.86588377381186,1.49303898495843,1100,hdfc-life-insurance-company,Large Cap
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,287122.0,394685.0,-27.252872543927438,67.424859,92.43917400000001,-27.06029696890196,1.39019187017806,1100,hindustan-unilever,Large Cap
133623,8531,1,Radico Khaitan Ltd.,Alcohol,Alcohol,Domestic Equities,257030.0,190588.0,34.86158624887191,65.100558,46.802695,39.09574651630637,1.3422685314871,1100,radico-khaitan,Small Cap
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,786321.0,,,62.73662099999999,,,1.29352796238909,1100,dlf,Large Cap
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,357762.0,265290.0,34.85694899920841,62.093173,42.021936,47.763713218734146,1.28026110218724,1100,affle-3i,Small Cap
509,8487,1,K.P.R. Mill Ltd.,Textile,Textile,Domestic Equities,548160.0,548160.0,0.0,61.750223999999996,54.665256,12.960641764853346,1.27319004681157,1100,kpr-mill,Small Cap
56723,6834,1,Can Fin Homes Ltd.,Finance,Finance,Domestic Equities,764141.0,764141.0,0.0,60.225773,54.647543999999996,10.20764812413162,1.24175832536467,1100,can-fin-homes,Small Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,358028.0,358028.0,0.0,60.062777,65.60147,-8.44294037923236,1.23839761067528,1100,sun-pharmaceutical-industries,Large Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,332561.0,,,58.583946,,,1.20790650006625,1100,pb-fintech,Mid Cap
152579,7542,1,Sobha Ltd.,Realty,Realty,Domestic Equities,378380.0,175154.0,116.02703906276761,54.221854,23.15711,134.14775850699854,1.11796719688775,1100,sobha,Small Cap
171840,6541,1,UNO Minda Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,534903.0,421525.0,26.897099816143765,53.84601,37.692766,42.855024224011565,1.11021789965517,1100,uno-minda,Mid Cap
219108,112373,1,Sanofi Consumer Healthcare India Ltd.,Healthcare,Healthcare,Domestic Equities,100531.0,100531.0,0.0,52.965762999999995,49.662313999999995,6.651822546971937,1.09206862591107,1100,sanofi-consumer-healthcare-india,Small Cap
177212,94646,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,26246.0,26246.0,0.0,50.649530999999996,38.132813,32.82400907585809,1.04431165698888,1100,hitachi-energy-india,Mid Cap
29,5525,1,Shaily Engineering Plastics Ltd.,Plastic Products,Plastic Products,Domestic Equities,243979.0,118979.0,105.06055690500004,49.205685,18.203787,170.3046624309546,1.01454188066663,1100,shaily-engineering-plastics,Small Cap
152386,5556,1,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,146831.0,89672.0,63.742305290391656,48.433674,26.584160999999998,82.1899664239921,0.998624258712269,1100,glaxosmithkline-pharmaceuticals,Mid Cap
165,7447,1,SRF Ltd.,Chemicals,Chemicals,Domestic Equities,168470.0,168470.0,0.0,48.199267,50.690937999999996,-4.915417031738487,0.993791164352919,1100,srf,Mid Cap
171333,7587,1,United Breweries Ltd.,Alcohol,Alcohol,Domestic Equities,235806.0,345226.0,-31.695179389733102,46.614129999999996,74.568816,-37.48844020803549,0.961108195442025,1100,united-breweries,Mid Cap
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,6655345.0,6655345.0,0.0,45.23638,43.186534,4.746493432420388,0.932701212060157,1100,idfc-first-bank,Mid Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,148300.0,375815.0,-60.53909503346061,44.145944,110.06869699999999,-59.892371579541816,0.910218180065244,1100,mahindra-mahindra,Large Cap
171576,15890,1,Dr. Lal Pathlabs Ltd.,Healthcare,Healthcare,Domestic Equities,153386.0,91586.0,67.47756207280588,42.742543,25.361079,68.5359798768814,0.881282314425543,1100,dr-lal-pathlabs,Small Cap
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,5738566.0,,,41.01927,,,0.845751203938574,1100,suzlon-energy,Mid Cap
95406,100018,1,Emcure Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,295672.0,295672.0,0.0,39.321419,30.214722000000002,30.139933109429233,0.810744254098698,1100,emcure-pharmaceuticals,Small Cap
371,7979,1,Neuland Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,33163.0,29334.0,13.053112429262972,38.147399,35.177333,8.443124440388933,0.786537854802759,1100,neuland-laboratories,Small Cap
56649,7087,1,HEG Ltd.,Capital Goods,Capital Goods,Domestic Equities,718785.0,499295.0,43.95998357684335,37.628395,23.284622,61.60191477448078,0.775836829215299,1100,heg,Small Cap
9438,105416,1,Go Digit General Insurance Ltd.,Insurance,Finance,Domestic Equities,1032318.0,1032318.0,0.0,35.614971,29.483002000000003,20.798319655508617,0.734323272976028,1100,go-digit-general-insurance,Small Cap
37962,6229,1,Gillette India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,36461.0,31461.0,15.89269253997012,34.3572,25.283633,35.88711717180833,0.708390063108348,1100,gillette-india,Small Cap
152203,8715,1,KSB Ltd.,Capital Goods,Capital Goods,Domestic Equities,401799.0,374881.0,7.180411917381782,34.000231,27.465656,23.79180384404436,0.701029937939891,1100,ksb,Small Cap
133589,7782,1,Cera Sanitaryware Ltd.,Construction Materials,Construction Materials,Domestic Equities,51020.0,43068.0,18.46382464939166,32.458924,23.071527999999997,40.68822836528211,0.66925067295324,1100,cera-sanitaryware,Small Cap
154646,104894,1,Allied Blenders And Distillers Ltd.,Alcohol,Alcohol,Domestic Equities,790660.0,,,31.60268,,,0.651596302364364,1100,allied-blenders-and-distillers,Small Cap
171411,6555,1,Vinati Organics Ltd.,Chemicals,Chemicals,Domestic Equities,171042.0,171042.0,0.0,31.529881999999997,27.789194000000002,13.460944567157995,0.650095324990941,1100,vinati-organics,Small Cap
133909,100034,1,Metro Brands Ltd.,Retailing,Retailing,Domestic Equities,245825.0,245825.0,0.0,29.663703,26.303275,12.775701885031435,0.611617723219508,1100,metro-brands,Mid Cap
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,57149.0,57149.0,0.0,29.137417999999997,29.237428,-0.34206155206265765,0.600766575152641,1100,alkem-laboratories,Mid Cap
140232,102305,1,Landmark Cars Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,624037.0,624037.0,0.0,28.643298,25.697844,11.461872054324868,0.590578617519798,1100,landmark-cars,Small Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,725517.0,725517.0,0.0,27.903384000000003,22.788489,22.445081813015342,0.575322783949113,1100,bharat-electronics,Large Cap
171881,7520,1,V-Mart Retail Ltd.,Retailing,Retailing,Domestic Equities,81100.0,66100.0,22.692889561270803,27.599952,21.589582,27.839214302527942,0.569066505392389,1100,v-mart-retail,Small Cap
76241,86002,1,Star Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,1217038.0,1198843.0,1.5177133286009927,26.454755,26.176737,1.0620804266016879,0.54545438987944,1100,star-cement,Small Cap
152437,5145,1,Pondy Oxides & Chemicals Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,345091.0,345091.0,0.0,25.835238,26.3546,-1.9706692569798099,0.532680948308919,1100,pondy-oxides-chemicals,Small Cap
40249,8148,1,Schneider Electric Infrastructure Ltd.,Capital Goods,Capital Goods,Domestic Equities,341678.0,289787.0,17.90660036509574,25.699310999999998,16.677242,54.09808768140437,0.529878352750837,1100,schneider-electric-infrastructure,Small Cap
46444,92584,1,Ujjivan Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,5761602.0,3145237.0,83.18498733163828,24.792173,13.408145,84.90382524950319,0.511174629948397,1100,ujjivan-small-finance-bank,Small Cap
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,136606.0,136606.0,0.0,24.755739,24.121887,2.6277048723426866,0.510423419618124,1100,sbi-life-insurance-company,Large Cap
152327,6266,1,Thomas Cook (India) Ltd.,Hospitality,Hospitality,Domestic Equities,1404581.0,1404581.0,0.0,24.245877,18.869141,28.494863650655855,0.499910887329213,1100,thomas-cook-india,Small Cap
96732,87407,1,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,36509.0,36509.0,0.0,23.699817,22.473114999999996,5.458531227201927,0.48865201064948,1100,amber-enterprises-india,Small Cap
58272,82478,1,PNB Housing Finance Ltd.,Finance,Finance,Domestic Equities,222035.0,222035.0,0.0,23.200437,22.429976,3.4349613214031085,0.478355600298373,1100,pnb-housing-finance,Small Cap
152238,8313,1,MRF Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1581.0,,,21.954557,,,0.452667563676488,1100,mrf,Mid Cap
155654,90605,1,Neogen Chemicals Ltd.,Chemicals,Chemicals,Domestic Equities,127724.0,127724.0,0.0,21.460186,19.467692,10.234875300061248,0.442474430828382,1100,neogen-chemicals,Small Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,899982.0,899982.0,0.0,21.447471,20.926381000000003,2.4901104495803605,0.442212268031285,1100,eternal,Large Cap
152190,5796,1,Kajaria Ceramics Ltd.,Construction Materials,Construction Materials,Domestic Equities,198410.0,198410.0,0.0,20.629679999999997,15.962085,29.24176258928579,0.425350736297051,1100,kajaria-ceramics,Small Cap
191600,99819,1,FSN E-Commerce Ventures Ltd.,Retailing,Information Technology,Domestic Equities,919144.0,919144.0,0.0,18.682520999999998,17.865402,4.5737509852842955,0.385203457505648,1100,fsn-e-commerce-ventures,Mid Cap
171894,86746,1,Godrej Agrovet Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,241964.0,241964.0,0.0,18.457014,18.637276999999997,-0.9672174749562392,0.380553866795072,1100,godrej-agrovet,Small Cap
84908,112552,1,Swiggy Ltd.,Retailing,Information Technology,Domestic Equities,534499.0,534499.0,0.0,17.801489,16.911548,5.262327257090829,0.367037998327354,1100,swiggy,Large Cap
133333,4917,1,CRISIL Ltd.,Ratings,Ratings,Domestic Equities,32100.0,,,16.851537,,,0.347451519882373,1100,crisil,Mid Cap
151986,6639,1,Safari Industries (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,68036.0,52451.0,29.713446836094644,15.700668,10.511705,49.36366650319812,0.323722456875509,1100,safari-industries-india,Small Cap
19128,7053,1,Grindwell Norton Ltd.,Abrasives,Abrasives,Domestic Equities,82183.0,82183.0,0.0,14.764998,13.856876,6.553583939121638,0.304430450240841,1100,grindwell-norton,Small Cap
40702,7798,1,RHI Magnesita India Ltd.,Capital Goods,Capital Goods,Domestic Equities,304901.0,304901.0,0.0,14.055935999999999,13.452231999999999,4.487760841472257,0.28981073516139,1100,rhi-magnesita-india,Small Cap
