CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
133593,6508.0,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,442289.0,442289.0,0.0,87.219391,81.911923,6.4794816256480745,5.77403154541888,1100,bharti-airtel,Large Cap,Jul-2026
19098,6973.0,1,Schaeffler India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,121516.0,114388.0,6.231422876525509,49.568807,47.92514,3.4296550829063737,3.28151632343753,1100,schaeffler-india,Mid Cap,Jul-2026
171685,5596.0,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,1306153.0,1424655.0,-8.317943642495901,46.8713,47.020738,-0.31781296159154304,3.10293802412347,1100,the-federal-bank,Mid Cap,Jul-2026
171875,5051.0,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,603277.0,798277.0,-24.427610967120437,45.134169,63.698513000000005,-29.144077507743393,2.98793780367335,1100,hdfc-bank,Large Cap,Jul-2026
75882,7888.0,1,Zydus Wellness Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,711136.0,640494.0,11.029299259633971,41.07166,36.854025,11.444163832851364,2.71899468390829,1100,zydus-wellness,Small Cap,Jul-2026
152386,5556.0,1,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,146019.0,96829.0,50.800896425657605,38.773885,23.726010000000002,63.42353813388766,2.56687913732904,1100,glaxosmithkline-pharmaceuticals,Mid Cap,Jul-2026
171465,6543.0,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,235860.0,235860.0,0.0,37.270596999999995,37.235218,0.09501488617576534,2.46735961266451,1100,aurobindo-pharma,Mid Cap,Jul-2026
707,8442.0,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,31623.0,36967.0,-14.456136554224038,36.431277,35.917137,1.4314615332508327,2.41179559070635,1100,bajaj-auto,Large Cap,Jul-2026
154044,113930.0,1,SBI Funds Management Ltd.,Finance,Finance,Domestic Equities,607818.0,,,35.809597,,,2.37063960589609,1100,sbi-funds-management,,Jul-2026
171888,8748.0,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,247526.0,247526.0,0.0,35.529882,34.039776,4.37754349499831,2.35212212698218,1100,icici-bank,Large Cap,Jul-2026
239543,114099.0,1,Vedanta Aluminium Metal Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,778415.0,778415.0,0.0,35.355609,34.908799,1.279935181957994,2.34058503886476,1100,vedanta-aluminium-metal,Large Cap,Jul-2026
371,7979.0,1,Neuland Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,17471.0,17275.0,1.134587554269175,33.270025000000004,32.095223000000004,3.660364036105933,2.20251679889481,1100,neuland-laboratories,Small Cap,Jul-2026
171837,6012.0,1,DLF Ltd.,Realty,Realty,Domestic Equities,494642.0,,,32.611747,,,2.15893798122506,1100,dlf,Large Cap,Jul-2026
