CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,216363.0,251302.0,-13.90319217515181,42.080439999999996,48.375635,-13.013152178777606,6.04617661634034,1100,hdfc-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,217630.0,239630.0,-9.18082043149856,30.923047,33.668015,-8.153043771662805,4.44306674733899,1100,reliance-industries,Large Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,123523.0,123523.0,0.0,25.627316999999998,27.275114,-6.041393630838722,3.68216883627978,1100,kotak-mahindra-bank,Large Cap
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,116554.0,116554.0,0.0,23.513604,22.746679,3.37159107929558,3.3784675889959,1100,bajaj-finserv,Large Cap
152308,5173,1,Shree Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,6698.0,6183.0,8.329289988678635,19.822731,18.369692999999998,7.909974325646059,2.84815778172008,1100,shree-cement,Mid Cap
133342,5963,1,Bharat Heavy Electricals Ltd.,Capital Goods,Capital Goods,Domestic Equities,679267.0,605838.0,12.120236762963037,17.649394,13.742828999999999,28.42620686031967,2.53588967452283,1100,bharat-heavy-electricals,Mid Cap
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,1304948.0,1152859.0,13.192333147418722,14.975582999999999,11.234611,33.29863401589961,2.15171276133671,1100,canara-bank,Mid Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,120604.0,120604.0,0.0,14.378409,14.291574,0.6075957763644415,2.06590996377361,1100,axis-bank,Large Cap
114451,6891,1,City Union Bank Ltd.,Bank,Banking,Domestic Equities,726014.0,640541.0,13.34387650439238,14.208094,11.309392,25.630926932234736,2.04143886579051,1100,city-union-bank,Small Cap
152362,5226,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,875085.0,875085.0,0.0,14.090618999999998,12.258191,14.948600490888092,2.02455989308954,1100,tata-steel,Large Cap
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,75827.0,68359.0,10.924677072514227,13.741368999999999,12.070832000000001,13.839451994692656,1.97437916343803,1100,sbi-life-insurance-company,Large Cap
79346,86555,1,Aditya Birla Capital Ltd.,Finance,Finance,Domestic Equities,610064.0,440169.0,38.59767498392663,13.574534000000002,8.643158,57.05525688642973,1.95040807673391,1100,aditya-birla-capital,Mid Cap
133333,4917,1,CRISIL Ltd.,Ratings,Ratings,Domestic Equities,24964.0,18444.0,35.35024940360009,13.105351,8.21256,59.57692850950254,1.8829952054953,1100,crisil,Mid Cap
171327,5699,1,Marico Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,178741.0,178741.0,0.0,12.805899,12.698654,0.8445383266604505,1.83996952230101,1100,marico,Mid Cap
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,22864.0,22864.0,0.0,11.589533,10.486574000000001,10.517820214685925,1.66520035006537,1100,ltimindtree,Large Cap
133850,17036,1,Mahanagar Gas Ltd.,Gas Transmission,Gas Transmission,Domestic Equities,86494.0,74049.0,16.806438979594592,11.462185,9.967736,14.992862973096393,1.64690281088237,1100,mahanagar-gas,Small Cap
171658,4978,1,Asian Paints Ltd.,Chemicals,Chemicals,Domestic Equities,49184.0,49184.0,0.0,11.111157,11.930563,-6.868125167269969,1.59646661569808,1100,asian-paints,Large Cap
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,72122.0,72122.0,0.0,10.963265,11.27916,-2.800696151131826,1.57521728579222,1100,united-spirits,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,74209.0,74209.0,0.0,10.729137000000001,10.589623999999999,1.3174499868928469,1.54157744650274,1100,icici-bank,Large Cap
171434,4916,1,Astral Ltd.,Plastic Products,Plastic Products,Domestic Equities,62539.0,16345.0,282.61853777913734,9.368968,2.198566,326.13994758401617,1.34614645761406,1100,astral,Mid Cap
152391,5643,1,Pfizer Ltd.,Healthcare,Healthcare,Domestic Equities,16615.0,14510.0,14.50723638869745,9.326498,6.228853,49.73058442702051,1.34004430847075,1100,pfizer,Small Cap
152455,7030,1,Yes Bank Ltd.,Bank,Banking,Domestic Equities,4267711.0,,,9.167043,,,1.31713359051346,1100,yes-bank,Mid Cap
38803,5403,1,Indus Towers Ltd.,Telecom,Telecom,Domestic Equities,224249.0,135875.0,65.04066237350507,8.614525,5.546418,55.316909039311504,1.23774702963846,1100,indus-towers,Large Cap
152386,5556,1,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,26032.0,25966.0,0.2541785411692213,8.586916,7.6978800000000005,11.549101830633886,1.2337801298104,1100,glaxosmithkline-pharmaceuticals,Mid Cap
47051,90577,1,Dalmia Bharat Ltd.,Construction Materials,Construction Materials,Domestic Equities,42071.0,18721.0,124.72624325623632,8.483196,3.6369290000000003,133.25162520357148,1.21887749479406,1100,dalmia-bharat,Mid Cap
225180,112809,1,ITC Hotels Ltd.,Hospitality,Hospitality,Domestic Equities,380429.0,380429.0,0.0,8.235147,7.396681,11.335705838875567,1.18323746670722,1100,itc-hotels,
171411,6555,1,Vinati Organics Ltd.,Chemicals,Chemicals,Domestic Equities,44034.0,28971.0,51.99337268302786,8.117228,4.706918,72.4531423746919,1.16629469946377,1100,vinati-organics,Small Cap
77334,87528,1,CreditAccess Grameen Ltd.,Finance,Finance,Domestic Equities,68378.0,53929.0,26.792634760518457,7.825862,5.870441,33.309609959456196,1.12443082408612,1100,creditaccess-grameen,Small Cap
505,6857,1,Central Bank Of India,Bank,Banking,Domestic Equities,1961470.0,1961470.0,0.0,7.637963999999999,7.269208,5.072849751994985,1.0974333760115,1100,central-bank-of-india,Mid Cap
46444,92584,1,Ujjivan Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,1773541.0,1400000.0,26.681500000000003,7.631547,5.9682,27.870161857846583,1.09651137245481,1100,ujjivan-small-finance-bank,Small Cap
165,7447,1,SRF Ltd.,Chemicals,Chemicals,Domestic Equities,26462.0,26462.0,0.0,7.570778000000001,7.962151,-4.9154179567807725,1.08777999733615,1100,srf,Mid Cap
57345,99844,1,AWL Agri Business Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,274482.0,274482.0,0.0,7.548255,7.330042,2.9769679355179774,1.08454386111871,1100,awl-agri-business,Mid Cap
171576,15890,1,Dr. Lal Pathlabs Ltd.,Healthcare,Healthcare,Domestic Equities,26723.0,9016.0,196.3952972493345,7.446631,2.496621,198.26837954178868,1.06994238232098,1100,dr-lal-pathlabs,Small Cap
152343,5043,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,117516.0,117516.0,0.0,7.444639,7.340637,1.4167980244766125,1.06965616896818,1100,hindalco-industries,Large Cap
56723,6834,1,Can Fin Homes Ltd.,Finance,Finance,Domestic Equities,93489.0,93489.0,0.0,7.368336,6.685866,10.207652980182385,1.05869284695071,1100,can-fin-homes,Small Cap
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,8500.0,,,7.31595,,,1.05116595302509,1100,bajaj-auto,Large Cap
40702,7798,1,RHI Magnesita India Ltd.,Capital Goods,Capital Goods,Domestic Equities,157403.0,122946.0,28.026125290778065,7.256278,5.424378000000001,33.77161399887691,1.04259219640443,1100,rhi-magnesita-india,Small Cap
133662,6324,1,Century Plyboards (India) Ltd.,Construction Materials,Construction Materials,Domestic Equities,89011.0,89011.0,0.0,6.9241660000000005,6.213413,11.439011055598584,0.994873878620538,1100,century-plyboards-india,Small Cap
113787,7539,1,Honeywell Automation India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,1771.0,1335.0,32.659176029962545,6.823663,4.60842,48.06946849462507,0.980433466674464,1100,honeywell-automation-india,Mid Cap
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,14262.0,5898.0,141.81078331637843,6.821515000000001,2.580021,164.39765412762148,0.980124839022949,1100,hdfc-asset-management-company,Mid Cap
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5500.0,,,6.775449999999999,,,0.973506155239421,1100,maruti-suzuki-india,Large Cap
152194,7698,1,Whirlpool Of India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,54271.0,67236.0,-19.282824677256233,6.707353,8.467366,-20.785838240605155,0.963721882806839,1100,whirlpool-of-india,Small Cap
56649,7087,1,HEG Ltd.,Capital Goods,Capital Goods,Domestic Equities,121956.0,87816.0,38.87674227931129,6.384397,4.095299,55.89574778300681,0.917319111939738,1100,heg,Small Cap
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,26045.0,61817.0,-57.867576880146245,6.240902999999999,14.763136,-57.7264410488395,0.89670169283991,1100,nestle-india,Large Cap
133589,7782,1,Cera Sanitaryware Ltd.,Construction Materials,Construction Materials,Domestic Equities,9710.0,3909.0,148.40112560757225,6.177502,2.094051,195.00246173565014,0.887592148271161,1100,cera-sanitaryware,Small Cap
19064,6023,1,Westlife Foodworld Ltd,Hospitality,Hospitality,Domestic Equities,92100.0,65118.0,41.4355477748088,6.163792999999999,4.367464,41.12979523128295,0.885622419931024,1100,westlife-foodworld,Small Cap
509,8487,1,K.P.R. Mill Ltd.,Textile,Textile,Domestic Equities,54116.0,47889.0,13.00298607195807,6.096167,4.775731,27.64887720853625,0.875905821438788,1100,kpr-mill,Small Cap
152064,6806,1,3M India Ltd.,Diversified,Diversified,Domestic Equities,2050.0,2050.0,0.0,6.001375,6.17255,-2.7731650614413734,0.862285973979586,1100,3m-india,Mid Cap
58780,8388,1,Alembic Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,58660.0,8660.0,577.3672055427252,5.971881,0.758226,687.612268637583,0.858048234708743,1100,alembic-pharmaceuticals,Small Cap
75798,7006,1,Manappuram Finance Ltd.,Finance,Finance,Domestic Equities,243757.0,243757.0,0.0,5.817505,5.627129999999999,3.3831633532546825,0.835867274592257,1100,manappuram-finance,Small Cap
133298,5393,1,Balrampur Chini Mills Ltd.,Agri,Agriculture,Domestic Equities,95470.0,95470.0,0.0,5.635594,5.259442,7.151937410850801,0.809730047071464,1100,balrampur-chini-mills,Small Cap
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,10000.0,10000.0,0.0,5.5104999999999995,5.4389,1.3164426630384762,0.791756365768596,1100,britannia-industries,Large Cap
75882,7888,1,Zydus Wellness Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,28009.0,26408.0,6.0625568009694035,5.460074,4.66154,17.130261673180957,0.784511087390908,1100,zydus-wellness,Small Cap
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,28691.0,28691.0,0.0,5.3807100000000005,5.383866,-0.05861958674306115,0.773107956601895,1100,icici-lombard-general-insurance-company,Mid Cap
38814,98613,1,Aditya Birla Sun Life AMC Ltd.,Finance,Finance,Domestic Equities,70000.0,,,5.229349999999999,,,0.751360339593867,1100,aditya-birla-sun-life-amc,Small Cap
