CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,136288.0,138831.0,-1.8317234623391028,26.506653,26.724968,-0.8168952718671086,13.1893581131512,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,126409.0,128770.0,-1.833501591985711,18.276213,18.375479,-0.5402090470675626,9.09400059710405,1100,icici-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,121291.0,123556.0,-1.8331768590760467,17.234238,17.359618,-0.7222509158899701,8.5755276907001,1100,reliance-industries,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,64486.0,65691.0,-1.8343456485667746,10.077227,9.854307,2.2621580594150386,5.01429417325969,1100,infosys,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,48074.0,48971.0,-1.8316963100610568,8.923496,9.130643,-2.268701119953983,4.44021296710952,1100,bharti-airtel,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,21027.0,21422.0,-1.84389879563066,7.727633,7.157089999999999,7.971717555598716,3.84516743792606,1100,larsen-toubro,Large Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,166872.0,169983.0,-1.8301830183018304,6.976083999999999,7.237876,-3.616972714094582,3.47120664775837,1100,itc,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,18293.0,18637.0,-1.845790631539411,6.335598,6.436661,-1.5701153128928231,3.15250932975071,1100,tata-consultancy-services,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,51191.0,52148.0,-1.835161463526885,6.102990999999999,6.179538,-1.2387171985996441,3.03676717918097,1100,axis-bank,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,68828.0,70113.0,-1.832755694379074,5.590897999999999,5.529462,1.111066501587314,2.78195651092203,1100,state-bank-of-india,Large Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,26340.0,26833.0,-1.837289904222413,5.46476,5.924995,-7.767685879903698,2.71919191919192,1100,kotak-mahindra-bank,Large Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,15879.0,16175.0,-1.829984544049459,4.726861,4.737334000000001,-0.22107370939013524,2.35202318754043,1100,mahindra-mahindra,Large Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,4687.0,4774.0,-1.8223711772098867,4.3029,4.12211,4.385860639332771,2.141065830721,1100,bajaj-finance,Large Cap
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,15896.0,16195.0,-1.8462488422352579,3.732858,3.7930309999999996,-1.5864093913284594,1.85742051052396,1100,hindustan-unilever,Large Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,19313.0,19675.0,-1.8398983481575604,3.2399489999999997,3.60505,-10.127487829572413,1.61215554560382,1100,sun-pharmaceutical-industries,Large Cap
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,19001.0,19357.0,-1.8391279640440152,3.109704,3.03421,2.488094100276511,1.5473473652784,1100,hcl-technologies,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,124468.0,126787.0,-1.8290518744035273,2.966197,2.948051,0.6155253080764347,1.47594019007812,1100,eternal,Large Cap
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2352.0,2394.0,-1.7543859649122806,2.8974290000000003,2.934326,-1.257426748084555,1.44172214758422,1100,maruti-suzuki-india,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,84925.0,86509.0,-1.8310233617311493,2.8356459999999997,3.0671769999999996,-7.548667716274606,1.41097974822113,1100,ntpc,Large Cap
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,37384.0,38084.0,-1.8380422224556245,2.6897789999999997,2.453562,9.627512979089166,1.33839826839827,1100,tata-motors,Large Cap
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,7384.0,7525.0,-1.8737541528239203,2.625012,2.543224,3.2159180630569684,1.306171070309,1100,titan-company,Large Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,64163.0,65359.0,-1.829893358221515,2.467709,2.052926,20.2044788755172,1.22789918893367,1100,bharat-electronics,Large Cap
152362,5226,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,148137.0,150898.0,-1.8297127861204256,2.3853020000000003,2.113779,12.84538260622326,1.18689456137732,1100,tata-steel,Large Cap
