CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,894287.0,907967.0,-1.506662687080037,173.9299,174.7836,-0.48843255316859807,9.34007396065047,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1036390.0,1208728.0,-14.257798280506451,149.8413,172.4855,-13.128175991605092,8.0465108320077,1100,icici-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,1011010.0,1054073.0,-4.085390670285644,143.6544,148.0973,-2.9999871705966217,7.71427293853942,1100,reliance-industries,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,714765.0,537970.0,32.86335669275238,85.21430000000001,63.749399999999994,33.67074827370926,4.5760266895172,1100,axis-bank,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,209743.0,231074.0,-9.23124193981149,72.6424,79.806,-8.976267448562773,3.90091288892339,1100,tata-consultancy-services,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,1793002.0,1820431.0,-1.5067310982948545,59.8683,64.5434,-7.243343238812957,3.21494090376876,1100,ntpc,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,362874.0,327569.0,10.77788191190253,56.7063,49.1386,15.40072366734096,3.04514080692758,1100,infosys,Large Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,168382.0,189337.0,-11.06756735344914,50.123999999999995,55.453,-9.609939949146133,2.6916698463211,1100,mahindra-mahindra,Large Cap
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1051766.0,1159645.0,-9.302760758680458,50.0588,60.5741,-17.359399479315414,2.68816859195233,1100,varun-beverages,Large Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,292131.0,275186.0,6.157653368994062,49.0079,50.42229999999999,-2.8051080573476344,2.63173503035512,1100,sun-pharmaceutical-industries,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,2050976.0,1931658.0,6.1769733565672595,48.8768,44.914899999999996,8.820903530899557,2.62469493146331,1100,eternal,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,261152.0,331439.0,-21.206617205579306,48.475,61.796800000000005,-21.557426921782362,2.60311818291468,1100,bharti-airtel,Large Cap
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,225598.0,236368.0,-4.556454342381371,45.512100000000004,46.1296,-1.3386198883146614,2.44400979995113,1100,bajaj-finserv,Large Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1054686.0,1373343.0,-23.203016289448446,44.0911,58.47689999999999,-24.600825283145994,2.36770178679132,1100,itc,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,116538.0,107904.0,8.001556939501778,42.828900000000004,36.0507,18.801854055538453,2.29992136862784,1100,larsen-toubro,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,518391.0,526321.0,-1.5066850838176702,42.108900000000006,41.5083,1.4469395277571089,2.26125720995433,1100,state-bank-of-india,Large Cap
152795,99590,1,One97 Communications Ltd.,IT,Information Technology,Domestic Equities,448743.0,455607.0,-1.5065615760951874,39.9583,39.3986,1.420608854121715,2.14576951600535,1100,one97-communications,Mid Cap
151967,5716,1,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Domestic Equities,137535.0,131015.0,4.976529405029958,30.8271,20.5183,50.24197911132989,1.6554220636726,1100,ge-vernova-td-india,Mid Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,188357.0,218867.0,-13.939972677470793,30.156,32.6593,-7.664891776614928,1.61938384577566,1100,cholamandalam-investment-and-finance-company,Large Cap
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,163299.0,165797.0,-1.5066617610692594,29.593000000000004,29.2764,1.0814171141260642,1.58915062170179,1100,sbi-life-insurance-company,Large Cap
