CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,3958.0,4764.0,-16.918555835432407,0.3876,0.5725,-32.29694323144105,4.59552587641048,1100,state-bank-of-india,Large Cap,Mar-2026
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,3026.0,3643.0,-16.936590721932472,0.3649,0.5023,-27.35417081425442,4.32638646104794,1100,icici-bank,Large Cap,Mar-2026
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,1994.0,2400.0,-16.916666666666664,0.3544,0.4889,-27.51073839230927,4.20189466099038,1100,sbi-life-insurance-company,Large Cap,Mar-2026
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,4539.0,5464.0,-16.928989751098097,0.3321,0.4851,-31.53988868274582,3.93749779039195,1100,hdfc-bank,Large Cap,Mar-2026
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,604.0,727.0,-16.91884456671252,0.3275,0.4364,-24.95417048579285,3.88295852560483,1100,britannia-industries,Large Cap,Mar-2026
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,819.0,986.0,-16.937119675456387,0.3236,0.4267,-24.162174830091406,3.83671871415488,1100,titan-company,Large Cap,Mar-2026
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,491.0,591.0,-16.920473773265652,0.3234,0.47340000000000004,-31.685678073510772,3.83434744177283,1100,eicher-motors,Large Cap,Mar-2026
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,2662.0,3205.0,-16.942277691107645,0.3127,0.414,-24.468599033816425,3.70748436933322,1100,nestle-india,Large Cap,Mar-2026
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,2260.0,2721.0,-16.942300624770304,0.3037,0.37929999999999997,-19.93145267598207,3.60077711214102,1100,reliance-industries,Large Cap,Mar-2026
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,245.0,295.0,-16.94915254237288,0.3015,0.43829999999999997,-31.211498973305957,3.57469311593849,1100,maruti-suzuki-india,Large Cap,Mar-2026
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,1672.0,2012.0,-16.898608349900595,0.298,0.37810000000000005,-21.184871727056336,3.53319584925264,1100,bharti-airtel,Large Cap,Mar-2026
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,401.0,482.0,-16.804979253112034,0.2975,0.377,-21.08753315649868,3.52726766829751,1100,apollo-hospitals-enterprise,Large Cap,Mar-2026
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,1667.0,2006.0,-16.899302093718845,0.2929,0.34840000000000004,-15.929965556831238,3.47272840351039,1100,sun-pharmaceutical-industries,Large Cap,Mar-2026
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,688.0,828.0,-16.908212560386474,0.2903,0.3588,-19.091415830546268,3.44190186254376,1100,torrent-pharmaceuticals,Large Cap,Mar-2026
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,11030.0,13277.0,-16.924003916547413,0.2861,0.3981,-28.133634765134396,3.39210514252073,1100,the-federal-bank,Mid Cap,Mar-2026
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,832.0,1001.0,-16.883116883116884,0.2799,0.3874,-27.749096541042857,3.31859569867722,1100,tvs-motor-company,Large Cap,Mar-2026
152401,5684,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,2661.0,3204.0,-16.94756554307116,0.27,0.36560000000000004,-26.148796498905913,3.20121771576581,1100,tata-consumer-products,Large Cap,Mar-2026
171658,4978,1,Asian Paints Ltd.,Chemicals,Chemicals,Domestic Equities,1238.0,1490.0,-16.91275167785235,0.2681,0.35409999999999997,-24.286924597571304,3.17869062813635,1100,asian-paints,Large Cap,Mar-2026
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,3316.0,3991.0,-16.91305437233776,0.2658,0.3975,-33.132075471698116,3.15142099574279,1100,bajaj-finance,Large Cap,Mar-2026
171387,6208,1,Pidilite Industries Ltd.,Chemicals,Chemicals,Domestic Equities,2044.0,2460.0,-16.910569105691057,0.2627,0.36700000000000005,-28.419618528610364,3.11466627382103,1100,pidilite-industries,Large Cap,Mar-2026
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2092.0,2518.0,-16.918189038919778,0.2625,0.3239,-18.956468045693118,3.11229500143898,1100,dr-reddys-laboratories,Large Cap,Mar-2026
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,1735.0,2088.0,-16.906130268199234,0.2586,0.3786,-31.695721077654515,3.06605518998903,1100,max-financial-services,Mid Cap,Mar-2026
171327,5699,1,Marico Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,3478.0,4187.0,-16.933365177931694,0.256,0.33020000000000005,-22.471229557843735,3.0352286490224,1100,marico,Mid Cap,Mar-2026
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,4224.0,5084.0,-16.915814319433515,0.2495,0.36369999999999997,-31.399505086609842,2.95816229660581,1100,hdfc-life-insurance-company,Large Cap,Mar-2026
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,224.0,270.0,-17.037037037037038,0.2407,0.3423,-29.681565877884893,2.85382631179567,1100,ultratech-cement,Large Cap,Mar-2026
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,6591.0,7933.0,-16.91667717130972,0.2329,0.32939999999999997,-29.295689131754703,2.76134668889577,1100,kotak-mahindra-bank,Large Cap,Mar-2026
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,1420.0,1709.0,-16.910473961380927,0.23170000000000002,0.3407,-31.992955679483416,2.74711905460348,1100,bajaj-finserv,Large Cap,Mar-2026
152245,5078,1,Grasim Industries Ltd.,Diversified,Construction Materials,Domestic Equities,887.0,1068.0,-16.94756554307116,0.22690000000000002,0.299,-24.113712374581933,2.69020851743431,1100,grasim-industries,Large Cap,Mar-2026
152308,5173,1,Shree Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,88.0,106.0,-16.9811320754717,0.2026,0.2764,-26.700434153400863,2.40209892301538,1100,shree-cement,Mid Cap,Mar-2026
77639,92991,1,SBI Cards And Payment Services Ltd.,Finance,Finance,Domestic Equities,1973.0,2374.0,-16.891322662173547,0.12539999999999998,0.1838,-31.77366702937976,1.48678778354457,1100,sbi-cards-and-payment-services,Mid Cap,Mar-2026
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,4764.0,3748.0,27.10779082177161,0.5725,0.4036999999999999,41.81322764429032,4.97088222210734,1100,state-bank-of-india,Large Cap,Feb-2026
