CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171840,6541,1,UNO Minda Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,24640.0,24640.0,0.0,3.2001999999999997,3.1515,1.5452958908456307,5.09534060223162,1100,uno-minda,Mid Cap,Sep-2025
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,39684.0,39684.0,0.0,2.9791000000000003,2.5918,14.943282660699134,4.7433064146329,1100,indian-bank,Mid Cap,Sep-2025
171383,5551,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5010.0,3720.0,34.67741935483871,2.7417000000000002,1.8925999999999998,44.8642079678749,4.36531945788964,1100,hero-motocorp,Mid Cap,Sep-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,16735.0,16735.0,0.0,2.6625,2.8856,-7.731494316606599,4.23921765934682,1100,coforge,Mid Cap,Sep-2025
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,1548.0,1548.0,0.0,2.5266,2.5836,-2.2062238736646607,4.0228384368472,1100,dixon-technologies-india,Mid Cap,Sep-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,25734.0,25734.0,0.0,2.4473,2.4488,-0.06125449199608203,3.89657741886177,1100,hdfc-bank,Large Cap,Sep-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,11475.0,11475.0,0.0,1.953,2.032,-3.8877952755905403,3.10955571406736,1100,pb-fintech,Mid Cap,Sep-2025
221939,112392,1,Quality Power Electrical Equipments Ltd.,Capital Goods,Capital Goods,Domestic Equities,18107.0,24007.0,-24.57616528512517,1.9362000000000001,1.8824,2.858053548661281,3.08280684770979,1100,quality-power-electrical-equipments,Small Cap,Sep-2025
19098,6973,1,Schaeffler India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4394.0,4394.0,0.0,1.8493000000000002,1.6993,8.827164126404991,2.94444515208641,1100,schaeffler-india,Mid Cap,Sep-2025
177212,94646,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,972.0,972.0,0.0,1.7497,1.8575,-5.80349932705249,2.78586258725225,1100,hitachi-energy-india,Mid Cap,Sep-2025
171394,82477,1,Endurance Technologies Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,6290.0,6290.0,0.0,1.7268999999999999,1.8045,-4.300360210584644,2.74956055433841,1100,endurance-technologies,Small Cap,Sep-2025
133645,6755,1,Bank Of Maharashtra,Bank,Banking,Domestic Equities,303600.0,303600.0,0.0,1.6996,1.5772,7.7605883844788295,2.70609364650736,1100,bank-of-maharashtra,Mid Cap,Sep-2025
75659,6055,1,Lloyds Metals & Energy Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,13870.0,13870.0,0.0,1.6991,1.7875999999999999,-4.950771984784065,2.70529754929434,1100,lloyds-metals-energy,Mid Cap,Sep-2025
133334,5159,1,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Domestic Equities,21800.0,21800.0,0.0,1.6153,1.5136,6.719080338266376,2.57187165639171,1100,cg-power-and-industrial-solutions,Large Cap,Sep-2025
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,22000.0,22000.0,0.0,1.6091,1.5796999999999999,1.8611128695321881,2.56200005095022,1100,au-small-finance-bank,Mid Cap,Sep-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,534.0,534.0,0.0,1.5641,1.681,-6.954193932183224,2.49035130177816,1100,abbott-india,Mid Cap,Sep-2025
133627,5088,1,Navin Fluorine International Ltd.,Chemicals,Chemicals,Domestic Equities,3283.0,3283.0,0.0,1.5171999999999999,1.5389,-1.4100981220352118,2.41567738319662,1100,navin-fluorine-international,Small Cap,Sep-2025
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,11050.0,11050.0,0.0,1.4796,1.5297999999999998,-3.2814747025754882,2.3558108727773,1100,ipca-laboratories,Mid Cap,Sep-2025
77639,92991,1,SBI Cards And Payment Services Ltd.,Finance,Finance,Domestic Equities,15500.0,15500.0,0.0,1.3593000000000002,1.2454,9.145656014132006,2.16426988332399,1100,sbi-cards-and-payment-services,Mid Cap,Sep-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,9901.0,9901.0,0.0,1.3347,1.3840000000000001,-3.562138728323704,2.12510190044327,1100,icici-bank,Large Cap,Sep-2025
9278,112531,1,Vikran Engineering Ltd.,Infrastructure,Infrastructure,Domestic Equities,139178.0,65564.0,112.27807943383563,1.3207,0.636,107.6572327044025,2.10281117847863,1100,vikran-engineering,,Sep-2025
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,6980.0,6980.0,0.0,1.3191,1.284,2.733644859813077,2.10026366739695,1100,icici-lombard-general-insurance-company,Mid Cap,Sep-2025
103591,88883,1,Manorama Industries Ltd.,Agri,Agriculture,Domestic Equities,9396.0,9396.0,0.0,1.3099,1.2734,2.8663420763310863,2.08561547867733,1100,manorama-industries,Small Cap,Sep-2025
227975,113151,1,Siemens Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,3780.0,3780.0,0.0,1.2975999999999999,1.2756999999999998,1.7167045543623094,2.06603148723697,1100,siemens-energy-india,Large Cap,Sep-2025
115032,83788,1,Housing & Urban Development Corporation Ltd.,Finance,Finance,Domestic Equities,57096.0,57096.0,0.0,1.2768000000000002,1.1676,9.352517985611513,2.03291384317522,1100,housing-urban-development-corporation,Mid Cap,Sep-2025
153691,5278,1,Oberoi Realty Ltd.,Realty,Realty,Domestic Equities,7910.0,7910.0,0.0,1.2514,1.2741,-1.7816497920100434,1.99247210475366,1100,oberoi-realty,Mid Cap,Sep-2025
133386,8742,1,Godfrey Phillips India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,3504.0,1168.0,200.0,1.1858,1.2852000000000001,-7.73420479302833,1.88802415040505,1100,godfrey-phillips-india,Mid Cap,Sep-2025
152079,6815,1,Linde India Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,1705.0,1705.0,0.0,1.0649,1.0875,-2.0781609195402346,1.69552784429612,1100,linde-india,Mid Cap,Sep-2025
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,7800.0,7800.0,0.0,1.0639,1.0586,0.500661250708484,1.69393564987008,1100,reliance-industries,Large Cap,Sep-2025
133630,5815,1,Jindal Stainless Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,14250.0,14250.0,0.0,1.0513,1.0872,-3.302060338484183,1.6738740001019,1100,jindal-stainless,Mid Cap,Sep-2025
222201,112407,1,NTPC Green Energy Ltd.,Power,Power,Domestic Equities,103500.0,103500.0,0.0,1.0061,1.0655,-5.5748474894415745,1.60190681204463,1100,ntpc-green-energy,Mid Cap,Sep-2025
