CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
152079,6815,1,Linde India Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,57774.0,57774.0,0.0,43.3623,36.6056,18.45810477085472,4.34949901665009,1100,linde-india,Mid Cap
177212,94646,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,21138.0,22238.0,-4.946487993524597,40.7921,32.3096,26.253806918067696,4.09169252639026,1100,hitachi-energy-india,Mid Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,214858.0,214858.0,0.0,39.8819,40.060300000000005,-0.4453286670344492,4.00039400198185,1100,bharti-airtel,Large Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,133000.0,133000.0,0.0,36.9846,35.537600000000005,4.07174373058394,3.709777417969,1100,tvs-motor-company,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,255000.0,255000.0,0.0,36.8679,36.3885,1.3174491941135265,3.69807170735764,1100,icici-bank,Large Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,184600.0,184600.0,0.0,32.5191,30.003,8.386161383861603,3.26186095922832,1100,pb-fintech,Mid Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,213000.0,42600.0,400.0,30.4058,30.116100000000003,0.961943943604909,3.04988428197903,1100,info-edge-india,Large Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,170000.0,170000.0,0.0,28.5192,31.149099999999997,-8.442940566501113,2.86064697572886,1100,sun-pharmaceutical-industries,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,1144500.0,1144500.0,0.0,27.2746,26.611900000000002,2.490239329021978,2.7358061237417,1100,eternal,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,39200.0,43700.0,-10.297482837528605,25.919,26.6002,-2.560883000879689,2.59983130536327,1100,divi's-laboratories,Large Cap
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,39150.0,43500.0,-10.0,25.846799999999998,26.656799999999997,-3.038624290987666,2.59258921190877,1100,multi-commodity-exchange-of-india,Small Cap
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,75200.0,75200.0,0.0,24.5761,21.773400000000002,12.872128376826769,2.46513037322961,1100,cummins-india,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,156750.0,156750.0,0.0,24.4953,23.5141,4.172815459660389,2.4570256481448,1100,infosys,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,164000.0,164000.0,0.0,23.3028,23.041999999999998,1.1318461939067956,2.33741073894129,1100,reliance-industries,Large Cap
153985,89725,1,Mrs. Bectors Food Specialities Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,158200.0,158200.0,0.0,23.083000000000002,23.5765,-2.0931860114944927,2.3153634793665,1100,mrs-bectors-food-specialities,Small Cap
123299,91366,1,KPIT Technologies Ltd.,IT,Information Technology,Domestic Equities,171000.0,146000.0,17.123287671232877,22.8764,18.302599999999998,24.98989214647099,2.29464025903825,1100,kpit-technologies,Mid Cap
171371,111171,1,Jyoti CNC Automation Ltd.,Capital Goods,Capital Goods,Domestic Equities,168806.0,187806.0,-10.11682267872166,21.870500000000003,20.2192,8.16698979188099,2.1937424500925,1100,jyoti-cnc-automation,Small Cap
