CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051.0,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,649736.0,649736.0,0.0,126.3672,125.0742,1.033786344425943,4.44974734086756,1100,hdfc-bank,Large Cap
171888,8748.0,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,834815.0,834815.0,0.0,120.69760000000001,119.12809999999999,1.3174893245170598,4.2501046525451,1100,icici-bank,Large Cap
171531,4897.0,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,750000.0,750000.0,0.0,106.5675,105.375,1.1316725978647686,3.75254377518774,1100,reliance-industries,Large Cap
177212,94646.0,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,40000.0,45500.0,-12.087912087912088,77.192,66.107,16.768269623489193,2.71814914579297,1100,hitachi-energy-india,Mid Cap
133623,8531.0,1,Radico Khaitan Ltd.,Alcohol,Alcohol,Domestic Equities,249003.0,249003.0,0.0,63.0675,61.14770000000001,3.139611138276657,2.22078546031063,1100,radico-khaitan,Small Cap
152079,6815.0,1,Linde India Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,83577.0,83577.0,0.0,62.728699999999996,52.95439999999999,18.457956279364897,2.208855351872,1100,linde-india,Mid Cap
171889,4926.0,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,375791.0,375791.0,0.0,58.7249,56.3724,4.173141466391355,2.06787020380062,1100,infosys,Large Cap
171461,6050.0,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,160000.0,,,56.88,,,2.00290604483242,1100,titan-company,Large Cap
133342,5963.0,1,Bharat Heavy Electricals Ltd.,Capital Goods,Capital Goods,Domestic Equities,2135026.0,2135026.0,0.0,55.474399999999996,48.4309,14.543401010511872,1.95341088420273,1100,bharat-heavy-electricals,Mid Cap
96486,15829.0,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,104000.0,55000.0,89.0909090909091,55.431999999999995,28.8723,91.9902467070514,1.95191786000616,1100,interglobe-aviation,Large Cap
153985,89725.0,1,Mrs. Bectors Food Specialities Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,372985.0,372985.0,0.0,54.422200000000004,55.586000000000006,-2.0936926564242815,1.91635993940012,1100,mrs-bectors-food-specialities,Small Cap
219753,112169.0,1,Sagility India Ltd.,Business Services,Other,Domestic Equities,13581677.0,10081677.0,34.71644648008461,53.6884,41.3954,29.696536330123642,1.89052076120571,1100,sagility-india,Small Cap
114451,6891.0,1,City Union Bank Ltd.,Bank,Banking,Domestic Equities,2695871.0,2195871.0,22.770007892084735,52.758199999999995,38.7703,36.07890576033715,1.85776578225172,1100,city-union-bank,Small Cap
140194,102059.0,1,Rainbow Children's Medicare Ltd.,Healthcare,Healthcare,Domestic Equities,374094.0,374094.0,0.0,52.4667,51.688599999999994,1.505360949996719,1.8475012409003,1100,rainbow-children's-medicare,Small Cap
152222,5634.0,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,345000.0,345000.0,0.0,51.843199999999996,45.0225,15.149536342939635,1.82554603838706,1100,max-financial-services,Mid Cap
152372,4964.0,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,138897.0,118897.0,16.821282286348687,51.04600000000001,39.7235,28.503278915503426,1.79747436646476,1100,larsen-toubro,Large Cap
76200,82667.0,1,BSE Ltd.,Finance,Finance,Domestic Equities,190500.0,53500.0,256.0747663551402,50.9397,34.020700000000005,49.7314870064402,1.79373124212289,1100,bse,Mid Cap
543,5039.0,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,2280000.0,2280000.0,0.0,50.5453,49.742799999999995,1.613298809073876,1.779843300068,1100,karur-vysya-bank,Small Cap
43013,99994.0,1,Tega Industries Ltd.,Capital Goods,Capital Goods,Domestic Equities,300576.0,300576.0,0.0,49.595,40.6259,22.077295518376204,1.74638054313403,1100,tega-industries,Small Cap
57415,105415.0,1,Concord Biotech Ltd.,Healthcare,Healthcare,Domestic Equities,281863.0,281863.0,0.0,49.283699999999996,42.8037,15.138878181091822,1.73541878765308,1100,concord-biotech,Small Cap
133593,6508.0,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,265000.0,265000.0,0.0,49.1893,49.4093,-0.4452603052461783,1.73209469604563,1100,bharti-airtel,Large Cap
133507,6902.0,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,170000.0,130000.0,30.76923076923077,47.273599999999995,34.736,36.09396591432519,1.66463746837183,1100,tvs-motor-company,Large Cap
171321,7864.0,1,Page Industries Ltd.,Textile,Textile,Domestic Equities,10000.0,10000.0,0.0,46.38,45.615,1.677079907925025,1.63317127917243,1100,page-industries,Mid Cap
171371,111171.0,1,Jyoti CNC Automation Ltd.,Capital Goods,Capital Goods,Domestic Equities,349128.0,349128.0,0.0,45.233000000000004,37.5871,20.34181940080507,1.59278215762842,1100,jyoti-cnc-automation,Small Cap
133627,5088.0,1,Navin Fluorine International Ltd.,Chemicals,Chemicals,Domestic Equities,105400.0,115000.0,-8.347826086956523,44.913000000000004,51.998400000000004,-13.626188498107632,1.5815140504845,1100,navin-fluorine-international,Small Cap
171400,5889.0,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,368705.0,,,43.957,,,1.54785058039203,1100,axis-bank,Large Cap
171484,6114.0,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,47000.0,47000.0,0.0,43.1484,40.5822,6.3234620104380825,1.51937748215273,1100,bajaj-finance,Large Cap
192109,100019.0,1,Prudent Corporate Advisory Services Ltd.,Finance,Finance,Domestic Equities,145609.0,139856.0,4.113516760096099,42.994,30.9823,38.76955552041002,1.51394062045578,1100,prudent-corporate-advisory-services,Small Cap
171402,5320.0,1,Godrej Consumer Products Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,348505.0,,,42.914899999999996,,,1.51115528522115,1100,godrej-consumer-products,Large Cap
