CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,497000.0,497000.0,0.0,84.42790000000001,88.11059999999999,-4.1796333244808075,5.02753451982844,1100,hdfc-bank,Large Cap,Jan-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,503000.0,503000.0,0.0,81.8029,79.8638,2.428008684785846,4.87122033796972,1100,bharti-airtel,Large Cap,Jan-2025
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1825000.0,2125000.0,-14.117647058823529,81.6688,102.7756,-20.53678110368608,4.86323491633648,1100,itc,Large Cap,Jan-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,96000.0,75000.0,28.000000000000004,75.697,51.1725,47.92515511260931,4.50762461872738,1100,bajaj-finance,Large Cap,Jan-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,502000.0,502000.0,0.0,62.890600000000006,64.3388,-2.250896814985665,3.74502578499196,1100,icici-bank,Large Cap,Jan-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,2750000.0,2750000.0,0.0,60.5963,76.4638,-20.751649800297656,3.60840421263445,1100,eternal,Large Cap,Jan-2025
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,47500.0,18000.0,163.88888888888889,58.47560000000001,19.5451,199.18291541102374,3.48212021817053,1100,maruti-suzuki-india,Large Cap,Jan-2025
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,90000.0,90000.0,0.0,51.778800000000004,64.1102,-19.23469276339803,3.08333743223855,1100,trent,Large Cap,Jan-2025
171333,7587,1,United Breweries Ltd.,Alcohol,Alcohol,Domestic Equities,209000.0,209000.0,0.0,44.851400000000005,42.573299999999996,5.351006381934226,2.6708228176069,1100,united-breweries,Mid Cap,Jan-2025
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,300000.0,300000.0,0.0,42.72,48.7635,-12.393491033252337,2.54390165676359,1100,united-spirits,Large Cap,Jan-2025
