CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,130174.0,130174.0,0.0,92.7275,88.4584,4.82611035243685,3.33258674860506,1100,trent,Large Cap,Dec-2024
171840,6541,1,UNO Minda Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,776885.0,776885.0,0.0,81.8215,81.67,0.18550263254560592,2.94062976626124,1100,uno-minda,Mid Cap,Dec-2024
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,684006.0,684006.0,0.0,77.1661,67.0155,15.146645179100348,2.77331667845604,1100,max-healthcare-institute,Mid Cap,Dec-2024
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,40826.0,40826.0,0.0,73.2267,64.53529999999999,13.467668082429313,2.63173632486671,1100,dixon-technologies-india,Mid Cap,Dec-2024
171336,8097,1,JK Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,157028.0,157028.0,0.0,72.1606,67.1805,7.413014193106633,2.59342114616905,1100,jk-cement,Mid Cap,Dec-2024
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,236150.0,236150.0,0.0,68.2273,71.309,-4.321614382476267,2.45206002397457,1100,shriram-finance,Large Cap,Dec-2024
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,2345406.0,2345406.0,0.0,65.214,65.6151,-0.6112922177974366,2.3437633088731,1100,eternal,Large Cap,Dec-2024
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,10128874.0,10128874.0,0.0,63.021899999999995,63.791599999999995,-1.2065851930348237,2.26498017105943,1100,suzlon-energy,Mid Cap,Dec-2024
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,3023207.0,2079971.0,45.34851687836032,60.470200000000006,43.8416,37.92881646655233,2.17327316282114,1100,the-federal-bank,Mid Cap,Dec-2024
152379,5838,1,Voltas Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,327739.0,327739.0,0.0,58.663599999999995,54.3473,7.9420688792267535,2.1083447303709,1100,voltas,Mid Cap,Dec-2024
123299,91366,1,KPIT Technologies Ltd.,IT,Information Technology,Domestic Equities,400296.0,400296.0,0.0,58.631400000000006,54.7925,7.006250855500302,2.10718747612265,1100,kpit-technologies,Mid Cap,Dec-2024
122,5767,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,355126.0,314155.0,13.04165141411087,58.0276,52.03189999999999,11.52312331473578,2.08548716198922,1100,the-phoenix-mills,Mid Cap,Dec-2024
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,1087790.0,1087790.0,0.0,57.6474,62.4718,-7.722524403010646,2.0718229363623,1100,indian-bank,Mid Cap,Dec-2024
133333,4917,1,CRISIL Ltd.,Ratings,Ratings,Domestic Equities,83933.0,84148.0,-0.25550221039121546,55.841499999999996,45.137,23.715577021069187,2.00691966161311,1100,crisil,Mid Cap,Dec-2024
171886,6139,1,Exide Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1334427.0,1181522.0,12.941358688200474,55.58560000000001,53.475699999999996,3.945530399789076,1.99772272490104,1100,exide-industries,Mid Cap,Dec-2024
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,84175.0,84175.0,0.0,54.3577,49.7108,9.34786806891059,1.95359252330376,1100,persistent-systems,Mid Cap,Dec-2024
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,483146.0,483146.0,0.0,53.8176,54.786300000000004,-1.7681427656184099,1.93418155996579,1100,max-financial-services,Mid Cap,Dec-2024
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,53875.0,53875.0,0.0,52.0591,46.795,11.24927876909926,1.87098182097334,1100,coforge,Mid Cap,Dec-2024
153586,8183,1,NHPC Ltd.,Power,Power,Domestic Equities,6393301.0,6393301.0,0.0,51.5875,52.067,-0.9209288032727029,1.85403271838088,1100,nhpc,Mid Cap,Dec-2024
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,16693.0,16693.0,0.0,49.6467,46.2787,7.277646087725026,1.78428119524381,1100,abbott-india,Mid Cap,Dec-2024
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,144184.0,144184.0,0.0,47.205799999999996,50.2294,-6.019582157063387,1.69655629168586,1100,cummins-india,Large Cap,Dec-2024
133445,6416,1,Apar Industries Ltd.,Capital Goods,Capital Goods,Domestic Equities,44200.0,44200.0,0.0,45.6038,44.648,2.140745386131516,1.63898109585652,1100,apar-industries,Mid Cap,Dec-2024
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Other,Domestic Equities,1483328.0,1483328.0,0.0,43.4838,45.686499999999995,-4.821336718724339,1.5627892012509,1100,bharat-electronics,Large Cap,Dec-2024
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,151665.0,151665.0,0.0,43.1821,45.1135,-4.281201857537107,1.55194623209877,1100,mphasis,Mid Cap,Dec-2024
151967,5716,1,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Domestic Equities,205564.0,205564.0,0.0,42.673,36.1011,18.20415444404741,1.53364939552154,1100,ge-vernova-td-india,Mid Cap,Dec-2024
19183,6082,1,Deepak Nitrite Ltd.,Chemicals,Chemicals,Domestic Equities,164423.0,164423.0,0.0,41.012,44.842299999999994,-8.541711732003037,1.4739537648895,1100,deepak-nitrite,Mid Cap,Dec-2024
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,92337.0,92337.0,0.0,40.9667,39.8273,2.8608517273327605,1.47232570223589,1100,kei-industries,Mid Cap,Dec-2024
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,93820.0,93820.0,0.0,39.3955,39.4443,-0.12371876291377092,1.41585744525271,1100,hdfc-asset-management-company,Mid Cap,Dec-2024
133334,5159,1,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Domestic Equities,538546.0,538546.0,0.0,39.2061,39.435,-0.5804488398630626,1.4090504901403,1100,cg-power-and-industrial-solutions,Large Cap,Dec-2024
152574,8059,1,Torrent Power Ltd.,Power,Power,Domestic Equities,259260.0,,,38.524699999999996,,,1.38456126514772,1100,torrent-power,Mid Cap,Dec-2024
38803,5403,1,Indus Towers Ltd.,Telecom,Telecom,Domestic Equities,1126504.0,1126504.0,0.0,38.5039,39.3544,-2.1611306486695305,1.38381372203084,1100,indus-towers,Large Cap,Dec-2024
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,222847.0,222847.0,0.0,37.7503,36.782,2.6325376542874337,1.35672965987291,1100,prestige-estates-projects,Mid Cap,Dec-2024
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,521934.0,521934.0,0.0,37.4801,33.6413,11.410974011111346,1.34701878726799,1100,jubilant-foodworks,Mid Cap,Dec-2024
19174,6780,1,Bayer CropScience Ltd.,Chemicals,Chemicals,Domestic Equities,67049.0,72350.0,-7.326883206634416,37.2186,41.1838,-9.62805763431252,1.33762058894753,1100,bayer-cropscience,Small Cap,Dec-2024
171839,6306,1,Solar Industries India Ltd.,Chemicals,Chemicals,Domestic Equities,37506.0,37506.0,0.0,36.693200000000004,40.060900000000004,-8.40645117808137,1.31873793733159,1100,solar-industries-india,Mid Cap,Dec-2024
134830,88309,1,Mazagon Dock Shipbuilders Ltd.,Ship Building,Ship Building,Domestic Equities,164426.0,123185.0,33.47891382879409,36.6308,56.593,-35.273267011821254,1.31649530798094,1100,mazagon-dock-shipbuilders,Mid Cap,Dec-2024
152370,5063,1,Escorts Kubota Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,109608.0,109608.0,0.0,36.5274,38.9536,-6.228435882691211,1.31277915614027,1100,escorts-kubota,Mid Cap,Dec-2024
152318,6472,1,Sundram Fasteners Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,333382.0,333382.0,0.0,35.3118,38.4106,-8.067564682665726,1.26909101128999,1100,sundram-fasteners,Small Cap,Dec-2024
56674,5695,1,Supreme Industries Ltd.,Plastic Products,Plastic Products,Domestic Equities,73428.0,73428.0,0.0,34.5152,34.1521,1.063184987160378,1.24046154749619,1100,supreme-industries,Mid Cap,Dec-2024
152256,5774,1,Oil & Natural Gas Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,1411299.0,1411299.0,0.0,33.7653,36.228,-6.797780722093408,1.2135104617581,1100,oil-natural-gas-corporation,Large Cap,Dec-2024
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,734725.0,734725.0,0.0,32.9524,36.3909,-9.448790769120862,1.1842951829256,1100,power-finance-corporation,Large Cap,Dec-2024
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,203153.0,203153.0,0.0,32.2556,33.056,-2.4213455953533387,1.15925248850994,1100,bharti-airtel,Large Cap,Dec-2024
79,7951,1,Balkrishna Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,110644.0,85707.0,29.095639796049333,32.198499999999996,23.827800000000003,35.12997423177967,1.1572003388958,1100,balkrishna-industries,Mid Cap,Dec-2024
152190,5796,1,Kajaria Ceramics Ltd.,Construction Materials,Construction Materials,Domestic Equities,272829.0,272829.0,0.0,31.6195,32.9277,-3.972946789481201,1.13639132617096,1100,kajaria-ceramics,Small Cap,Dec-2024
76174,111823,1,Bharti Hexacom Ltd.,Telecom,Telecom,Domestic Equities,212867.0,212867.0,0.0,31.012600000000003,29.2948,5.863839316192641,1.11457959936145,1100,bharti-hexacom,Mid Cap,Dec-2024
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,235000.0,235000.0,0.0,30.1188,30.5524,-1.419201110223736,1.08245680907914,1100,icici-bank,Large Cap,Dec-2024
617,7969,1,Brigade Enterprises Ltd.,Realty,Realty,Domestic Equities,237587.0,237587.0,0.0,29.5321,29.4822,0.1692546689188811,1.06137106164276,1100,brigade-enterprises,Small Cap,Dec-2024
134131,90516,1,Polycab India Ltd.,Electricals,Electricals,Domestic Equities,40552.0,73579.0,-44.88644857907827,29.4908,53.6972,-45.07944548319093,1.05988675728087,1100,polycab-india,Large Cap,Dec-2024
37877,7189,1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,156219.0,142328.0,9.759850486200888,28.809099999999997,24.6982,16.644532799961116,1.03538675041641,1100,jb-chemicals-pharmaceuticals,Small Cap,Dec-2024
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,136191.0,136191.0,0.0,28.7206,25.793200000000002,11.34950296977497,1.03220609821236,1100,pb-fintech,Mid Cap,Dec-2024
46521,101004,1,Delhivery Ltd.,Logistics,Logistics,Domestic Equities,806741.0,,,27.925300000000004,,,1.00362335586337,1100,delhivery,Small Cap,Dec-2024
44430,82482,1,L&T Technology Services Ltd.,IT,Information Technology,Domestic Equities,58621.0,,,27.7711,,,0.998081473718001,1100,lt-technology-services,Mid Cap,Dec-2024
152079,6815,1,Linde India Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,45773.0,36722.0,24.64735036218071,27.445700000000002,25.4144,7.992712792747422,0.986386736687497,1100,linde-india,Mid Cap,Dec-2024
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,149746.0,200210.0,-25.205534189101442,26.770799999999998,37.2761,-28.18240105590446,0.962131118918943,1100,icici-lombard-general-insurance-company,Mid Cap,Dec-2024
19098,6973,1,Schaeffler India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,77402.0,77402.0,0.0,26.3616,27.742399999999996,-4.977218986100695,0.947424645677141,1100,schaeffler-india,Mid Cap,Dec-2024
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,668905.0,668905.0,0.0,26.2478,27.7027,-5.251834658715569,0.943334722278028,1100,tata-power-company,Large Cap,Dec-2024
133495,5019,1,Ajanta Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,88482.0,88482.0,0.0,25.944699999999997,26.7441,-2.989070486574611,0.9324414377238,1100,ajanta-pharma,Mid Cap,Dec-2024
26837,16127,1,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,654432.0,654432.0,0.0,25.902399999999997,26.8121,-3.392871129079791,0.93092119378898,1100,crompton-greaves-consumer-electricals,Small Cap,Dec-2024
