CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,678020.0,678020.0,0.0,447.62879999999996,415.4907,7.7349745734381,3.61928423653528,1100,multi-commodity-exchange-of-india,Small Cap
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,872664.0,872664.0,0.0,315.0492,267.3493,17.841789748467633,2.54731733814502,1100,kei-industries,Mid Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,7975808.0,8936656.0,-10.751762180394993,306.7496,280.7004,9.280072276348728,2.48021126398369,1100,bharat-electronics,Large Cap
171359,5112,1,Aditya Birla Real Estate Ltd.,Diversified,Paper,Domestic Equities,1201187.0,1201187.0,0.0,261.64259999999996,230.3516,13.58401678130301,2.11550047223527,1100,aditya-birla-real-estate,Small Cap
153885,104233,1,Kaynes Technology India Ltd.,Electricals,Electricals,Domestic Equities,421628.0,491932.0,-14.291406129302425,252.1335,282.7232,-10.819663897409201,2.03861503561091,1100,kaynes-technology-india,Mid Cap
171404,5514,1,Cholamandalam Financial Holdings Ltd.,Finance,Finance,Domestic Equities,1258306.0,1258306.0,0.0,234.8251,234.56080000000003,0.1126786743564852,1.89866867988123,1100,cholamandalam-financial-holdings,Small Cap
37877,7189,1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,1353805.0,1336411.0,1.3015457071215366,226.93830000000003,215.4829,5.316152697035361,1.8349002831277,1100,jb-chemicals-pharmaceuticals,Small Cap
151967,5716,1,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Domestic Equities,959901.0,959901.0,0.0,215.15220000000002,150.33010000000002,43.11984093671195,1.73960425673211,1100,ge-vernova-td-india,Mid Cap
650,8558,1,V-Guard Industries Ltd.,Capital Goods,Capital Goods,Domestic Equities,5263551.0,4944551.0,6.45154635880993,199.6728,178.3252,11.97116279695746,1.61444620521482,1100,v-guard-industries,Small Cap
543,5039,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,8613018.0,7851255.0,9.702436107348444,190.942,171.29080000000002,11.47242000154123,1.54385368120308,1100,karur-vysya-bank,Small Cap
58272,82478,1,PNB Housing Finance Ltd.,Finance,Finance,Domestic Equities,1787163.0,1440663.0,24.05142632246403,186.7407,145.5358,28.31255265027574,1.50988424299233,1100,pnb-housing-finance,Small Cap
177212,94646,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,95766.0,113196.0,-15.398070603201527,184.80919999999998,164.4625,12.37163487117123,1.49426717924918,1100,hitachi-energy-india,Mid Cap
171535,5421,1,E.I.D. - Parry (India) Ltd.,Agri,Agriculture,Domestic Equities,1910926.0,1910926.0,0.0,181.5666,156.1895,16.247635084304637,1.4680492704252,1100,eid-parry-india,Small Cap
133317,6810,1,Blue Star Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,1143129.0,948825.0,20.478381155639873,175.1617,161.898,8.192627456793778,1.41626271512182,1100,blue-star,Mid Cap
57412,93539,1,Computer Age Management Services Ltd.,Business Services,Finance,Domestic Equities,419047.0,419047.0,0.0,165.9887,163.6923,1.4028760057742449,1.34209480121249,1100,computer-age-management-services,Small Cap
152579,7542,1,Sobha Ltd.,Realty,Realty,Domestic Equities,1105214.0,1105214.0,0.0,158.3772,146.12030000000001,8.388225318453348,1.28055233127671,1100,sobha,Small Cap
19098,6973,1,Schaeffler India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,374832.0,374832.0,0.0,157.0059,130.1754,20.611037108393745,1.2694647415739,1100,schaeffler-india,Mid Cap
133623,8531,1,Radico Khaitan Ltd.,Alcohol,Alcohol,Domestic Equities,617287.0,617287.0,0.0,156.3465,151.5872,3.1396450359924866,1.26413319001696,1100,radico-khaitan,Small Cap
