CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,62456.0,60149.0,3.8354752364960345,11.741700000000002,11.1748,5.0730214410996215,27.8346189769532,1100,infosys,Large Cap,Dec-2024
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,23520.0,23414.0,0.45272059451610147,9.631,9.9998,-3.688073761475229,22.8310394037522,1100,tata-consultancy-services,Large Cap,Dec-2024
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,24362.0,24195.0,0.6902252531514776,4.6712,4.4714,4.468399159100063,11.0734452562358,1100,hcl-technologies,Large Cap,Dec-2024
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,24197.0,25971.0,-6.83069577605791,4.1285,4.447,-7.1621317742298105,9.78693242429558,1100,tech-mahindra,Large Cap,Dec-2024
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,107934.0,57868.0,86.5175917605585,3.258,3.3438999999999997,-2.5688567241843283,7.7233440325433,1100,wipro,Large Cap,Dec-2024
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,4017.0,4346.0,-7.57017947537966,2.5941,2.5666,1.071456401464973,6.1495171132046,1100,persistent-systems,Mid Cap,Dec-2024
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,2537.0,2715.0,-6.556169429097605,2.4515000000000002,2.3582,3.956407429395307,5.8114726506384,1100,coforge,Mid Cap,Dec-2024
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,3525.0,3784.0,-6.8446088794926006,1.969,2.3356,-15.696180852885766,4.66766863108587,1100,ltimindtree,Large Cap,Dec-2024
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,4309.0,4615.0,-6.630552546045504,1.2268999999999999,1.3728,-10.627913752913756,2.90846249033989,1100,mphasis,Mid Cap,Dec-2024
44430,82482,1,L&T Technology Services Ltd.,IT,Information Technology,Domestic Equities,1045.0,1121.0,-6.779661016949152,0.4951,0.5925,-16.438818565400847,1.17367330586623,1100,lt-technology-services,Mid Cap,Dec-2024
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,62368.0,62456.0,-0.1408991930318944,11.7239,11.741700000000002,-0.1515964468518164,28.1522018408105,1100,infosys,Large Cap,Jan-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,23486.0,23520.0,-0.1445578231292517,9.6584,9.631,0.284497975288133,23.1923870264403,1100,tata-consultancy-services,Large Cap,Jan-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,24328.0,24362.0,-0.1395616123470979,4.1977,4.6712,-10.136581606439464,10.0797940674323,1100,hcl-technologies,Large Cap,Jan-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,24162.0,24197.0,-0.1446460304996487,4.0458,4.1285,-2.0031488434056044,9.71504177002115,1100,tech-mahindra,Large Cap,Jan-2025
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,107781.0,107934.0,-0.1417532936794708,3.3617000000000004,3.258,3.1829343155310017,8.0723357353997,1100,wipro,Large Cap,Jan-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,4012.0,4017.0,-0.124470998257406,2.4203,2.5941,-6.699818819629167,5.81178397251031,1100,persistent-systems,Mid Cap,Jan-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,2533.0,2537.0,-0.1576665352778872,2.0932,2.4515,-14.615541505200902,5.02632988111332,1100,coforge,Mid Cap,Jan-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,3520.0,3525.0,-0.1418439716312056,2.0818,1.969,5.728796343321483,4.99895544931288,1100,ltimindtree,Large Cap,Jan-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,4303.0,4309.0,-0.1392434439545138,1.2341,1.2269,0.5868448936343621,2.96340230569556,1100,mphasis,Mid Cap,Jan-2025
44430,82482,1,L&T Technology Services Ltd.,IT,Information Technology,Domestic Equities,1044.0,1045.0,-0.0956937799043062,0.5689,0.4951,14.906079579882858,1.36608019748011,1100,lt-technology-services,Mid Cap,Jan-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,62570.0,62368.0,0.3238840430990251,10.5599,11.7239,-9.92843678298178,29.0683718804882,1100,infosys,Large Cap,Feb-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,23562.0,23486.0,0.3235970365324023,8.2072,9.6584,-15.025262983516935,22.5920644795446,1100,tata-consultancy-services,Large Cap,Feb-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,24407.0,24328.0,0.3247287076619533,3.8442,4.1977,-8.421278319079487,10.581978539851,1100,hcl-technologies,Large Cap,Feb-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,24241.0,24162.0,0.3269596887674861,3.6067,4.0458,-10.853230510653017,9.92820925021609,1100,tech-mahindra,Large Cap,Feb-2025
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,108133.0,107781.0,0.3265881741679888,3.0023,3.3617000000000004,-10.691019424695837,8.26446963482512,1100,wipro,Large Cap,Feb-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,4025.0,4012.0,0.3240279162512463,2.1348,2.4203,-11.796058339875229,5.87649128215857,1100,persistent-systems,Mid Cap,Feb-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,2542.0,2533.0,0.3553099091985787,1.8715,2.0932,-10.591438945155735,5.15170200232329,1100,coforge,Mid Cap,Feb-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,3532.0,3520.0,0.3409090909090909,1.648,2.0818,-20.837736574118548,4.53647069186683,1100,ltimindtree,Large Cap,Feb-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,4316.0,4303.0,0.3021148036253776,0.9699,1.2341,-21.4083137509116,2.66985614322915,1100,mphasis,Mid Cap,Feb-2025
44430,82482,1,L&T Technology Services Ltd.,IT,Information Technology,Domestic Equities,1047.0,1044.0,0.2873563218390804,0.4746,0.5689,-16.57584812796625,1.30643749415049,1100,lt-technology-services,Mid Cap,Feb-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,63425.0,62570.0,1.3664695540994087,9.9618,10.5599,-5.663879392797286,27.6768945245213,1100,infosys,Large Cap,Mar-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,23340.0,23562.0,-0.9421950598421186,8.4168,8.2072,2.553855151574218,23.3844170565551,1100,tata-consultancy-services,Large Cap,Mar-2025
