CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,668927.0,743681.0,-10.051890528331368,65.5147,89.3681,-26.69117951483806,33.2652775224909,1100,state-bank-of-india,Large Cap,Mar-2026
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,1087253.0,1110848.0,-2.1240529757446565,26.9204,35.7638,-24.727238157019112,13.6689105958886,1100,bank-of-baroda,Large Cap,Mar-2026
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,1975842.0,2018716.0,-2.12382524337252,24.3918,31.7685,-23.220170924028523,12.3850066667953,1100,canara-bank,Large Cap,Mar-2026
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,2020712.0,2064588.0,-2.125169767527468,20.3203,26.724,-23.962355934740312,10.3176908211481,1100,punjab-national-bank,Large Cap,Mar-2026
133608,7612,1,Union Bank Of India,Bank,Banking,Domestic Equities,1132429.0,1156990.0,-2.1228359795676712,18.5945,23.402399999999997,-20.54447407103544,9.44141090307911,1100,union-bank-of-india,Large Cap,Mar-2026
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,207104.0,211604.0,-2.1266138636320675,17.5148,20.959400000000002,-16.434630762330986,8.89319011994139,1100,indian-bank,Mid Cap,Mar-2026
114414,5238,1,Bank Of India,Bank,Banking,Domestic Equities,712170.0,727608.0,-2.1217468746907673,9.756,12.8095,-23.837776650142473,4.95363708464545,1100,bank-of-india,Mid Cap,Mar-2026
133645,6755,1,Bank Of Maharashtra,Bank,Banking,Domestic Equities,1193304.0,1219185.0,-2.1228115503389557,7.3185,9.114600000000001,-19.705746823777236,3.71598944280215,1100,bank-of-maharashtra,Mid Cap,Mar-2026
133551,7167,1,Indian Overseas Bank,Bank,Banking,Domestic Equities,855727.0,874302.0,-2.1245519282810745,2.6853,3.1868,-15.736789255679689,1.36346880518639,1100,indian-overseas-bank,Mid Cap,Mar-2026
505,6857,1,Central Bank Of India,Bank,Banking,Domestic Equities,570638.0,583009.0,-2.1219226461341076,1.7934999999999999,2.3361,-23.226745430418223,0.91065478795732,1100,central-bank-of-india,Small Cap,Mar-2026
133628,7605,1,UCO Bank,Bank,Banking,Domestic Equities,666315.0,681289.0,-2.197892524317874,1.4959,2.0180000000000002,-25.872150644202186,0.759547531254729,1100,uco-bank,Mid Cap,Mar-2026
76999,7323,1,Punjab & Sind Bank,Bank,Banking,Domestic Equities,256555.0,262106.0,-2.1178454518400955,0.53,0.6984999999999999,-24.123120973514666,0.269109025713621,1100,punjab-sind-bank,Small Cap,Mar-2026
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,729934.0,778403.0,-6.226723175527329,71.69409999999999,76.2057,-5.920292051644429,32.5525082931729,1100,state-bank-of-india,Large Cap,Dec-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,1090288.0,1176005.0,-7.288829554296113,32.2616,34.0806,-5.337347347171121,14.6482904667333,1100,bank-of-baroda,Large Cap,Dec-2025
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,1981352.0,2147643.0,-7.74295355419872,30.6931,32.554,-5.716348221416728,13.9361173693956,1100,canara-bank,Large Cap,Dec-2025
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,2026366.0,2196450.0,-7.743586241435042,25.0418,27.3458,-8.425425476672837,11.3701601969475,1100,punjab-national-bank,Large Cap,Dec-2025
133608,7612,1,Union Bank Of India,Bank,Banking,Domestic Equities,1135562.0,1230905.0,-7.745764295376166,17.4604,18.8661,-7.450930504979829,7.92784644485551,1100,union-bank-of-india,Large Cap,Dec-2025
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,207684.0,225090.0,-7.732906837265093,17.3883,19.5885,-11.232100467110804,7.89510963878726,1100,indian-bank,Mid Cap,Dec-2025
114414,5238,1,Bank Of India,Bank,Banking,Domestic Equities,714141.0,774122.0,-7.748261901870765,10.2729,11.3904,-9.810893383902233,4.6643819009505,1100,bank-of-india,Mid Cap,Dec-2025
133645,6755,1,Bank Of Maharashtra,Bank,Banking,Domestic Equities,1197046.0,1002223.0,19.43908690979952,7.4277,5.869,26.558187084682235,3.37252669116706,1100,bank-of-maharashtra,Mid Cap,Dec-2025
133551,7167,1,Indian Overseas Bank,Bank,Banking,Domestic Equities,858508.0,663243.0,29.440943967746364,3.1018,2.5727,20.56594239514908,1.40836373179611,1100,indian-overseas-bank,Mid Cap,Dec-2025
505,6857,1,Central Bank Of India,Bank,Banking,Domestic Equities,572215.0,620246.0,-7.743862918906369,2.1401,2.3799,-10.076053615698145,0.97170650023111,1100,central-bank-of-india,Small Cap,Dec-2025
133628,7605,1,UCO Bank,Bank,Banking,Domestic Equities,668675.0,724838.0,-7.748352045560525,1.9692,2.2311,-11.73860427591772,0.894109826762816,1100,uco-bank,Mid Cap,Dec-2025
76999,7323,1,Punjab & Sind Bank,Bank,Banking,Domestic Equities,257252.0,278906.0,-7.763906118907446,0.7123,0.8334,-14.53083753299736,0.323417849686753,1100,punjab-sind-bank,Small Cap,Dec-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,619245.0,555776.0,11.4198885882082,58.0233,48.4887,19.66355047670901,32.4233481768911,1100,state-bank-of-india,Large Cap,Oct-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,935893.0,839554.0,11.475021261288733,26.055300000000003,21.7058,20.03842291000564,14.5596693699488,1100,bank-of-baroda,Large Cap,Oct-2025
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,1708950.0,1533240.0,11.460045394067466,23.4109,18.9677,23.42508580376114,13.0819819250953,1100,canara-bank,Mid Cap,Oct-2025
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,1747812.0,1568079.0,11.46198629023155,21.4789,17.6926,21.40047251393237,12.0023827179189,1100,punjab-national-bank,Large Cap,Oct-2025
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,179044.0,160708.0,11.409512905393631,15.3745,12.0643,27.43797816698856,8.59125155835005,1100,indian-bank,Mid Cap,Oct-2025
133608,7612,1,Union Bank Of India,Bank,Banking,Domestic Equities,979562.0,878744.0,11.47296596050727,14.5631,12.171500000000002,19.64918046255596,8.13784224328645,1100,union-bank-of-india,Large Cap,Oct-2025
114414,5238,1,Bank Of India,Bank,Banking,Domestic Equities,616115.0,552631.0,11.487592987002175,8.6182,6.82,26.36656891495602,4.81583948617336,1100,bank-of-india,Mid Cap,Oct-2025
133645,6755,1,Bank Of Maharashtra,Bank,Banking,Domestic Equities,797537.0,715496.0,11.466311481825194,4.7079,4.0053,17.54175717174745,2.63076868916428,1100,bank-of-maharashtra,Mid Cap,Oct-2025
133551,7167,1,Indian Overseas Bank,Bank,Banking,Domestic Equities,527811.0,473490.0,11.472470379522273,2.117,1.8722,13.075526119004374,1.18297697804983,1100,indian-overseas-bank,Mid Cap,Oct-2025
