CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,91848.0,,,23.7436,,,8.42513289572338,1100,mahindra-mahindra,Large Cap,Feb-2025
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,575112.0,,,22.7169,,,8.06082066236201,1100,itc,Large Cap,Feb-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,123164.0,,,19.3392,,,6.86228415644526,1100,bharti-airtel,Large Cap,Feb-2025
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,11699.0,,,13.9754,,,4.95900378505756,1100,maruti-suzuki-india,Large Cap,Feb-2025
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,57871.0,,,12.6752,,,4.49764334304289,1100,hindustan-unilever,Large Cap,Feb-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,12016.0,,,10.25,,,3.63709008664081,1100,bajaj-finance,Large Cap,Feb-2025
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,31734.0,,,9.7653,,,3.46510008029985,1100,titan-company,Large Cap,Feb-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,438203.0,,,9.7325,,,3.4534613920226,1100,eternal,Large Cap,Feb-2025
171321,7864,1,Page Industries Ltd.,Textile,Textile,Domestic Equities,2104.0,,,8.5246,,,3.02485250269056,1100,page-industries,Mid Cap,Feb-2025
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,17436.0,,,8.3232,,,2.95338811796378,1100,eicher-motors,Large Cap,Feb-2025
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,17139.0,,,8.3151,,,2.95051392970019,1100,trent,Large Cap,Feb-2025
171383,5551,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,22442.0,,,8.2611,,,2.9313526746096,1100,hero-motocorp,Large Cap,Feb-2025
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,17900.0,,,8.225900000000001,,,2.91886237499499,1100,britannia-industries,Large Cap,Feb-2025
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,85705.0,,,6.1373,,,2.17774760865762,1100,the-indian-hotels-company,Mid Cap,Feb-2025
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,135822.0,,,5.9225,,,2.10152839396392,1100,varun-beverages,Large Cap,Feb-2025
133317,6810,1,Blue Star Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,30736.0,,,5.8941,,,2.0914509931385,1100,blue-star,Mid Cap,Feb-2025
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,26028.0,,,5.699199999999999,,,2.02229305578374,1100,nestle-india,Large Cap,Feb-2025
171387,6208,1,Pidilite Industries Ltd.,Chemicals,Chemicals,Domestic Equities,21421.0,,,5.6935,,,2.02027047885751,1100,pidilite-industries,Large Cap,Feb-2025
171327,5699,1,Marico Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,92336.0,,,5.5457,,,1.96782541399843,1100,marico,Mid Cap,Feb-2025
152401,5684,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,57465.0,,,5.5379,,,1.96505767715201,1100,tata-consumer-products,Large Cap,Feb-2025
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,42911.0,,,5.511699999999999,,,1.9557609200525,1100,united-spirits,Large Cap,Feb-2025
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,83268.0,,,5.2134,,,1.84991272757982,1100,jubilant-foodworks,Mid Cap,Feb-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,22685.0,,,4.3206999999999995,,,1.5331487938877,1100,lupin,Mid Cap,Feb-2025
76174,111823,1,Bharti Hexacom Ltd.,Telecom,Telecom,Domestic Equities,32809.0,,,4.279599999999999,,,1.51856494973542,1100,bharti-hexacom,Mid Cap,Feb-2025
122,5767,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,27216.0,,,4.2133,,,1.49503918654085,1100,the-phoenix-mills,Mid Cap,Feb-2025
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,42817.0,,,4.1879,,,1.48602629988713,1100,max-healthcare-institute,Mid Cap,Feb-2025
133623,8531,1,Radico Khaitan Ltd.,Alcohol,Alcohol,Domestic Equities,17165.0,,,3.5584,,,1.2626557428588,1100,radico-khaitan,Small Cap,Feb-2025
133909,100034,1,Metro Brands Ltd.,Retailing,Retailing,Domestic Equities,31734.0,,,3.5452,,,1.25797188050332,1100,metro-brands,Mid Cap,Feb-2025
222979,112566,1,Vishal Mega Mart Ltd.,Retailing,Retailing,Domestic Equities,351212.0,,,3.5195,,,1.24885254243242,1100,vishal-mega-mart,Mid Cap,Feb-2025
171434,4916,1,Astral Ltd.,Plastic Products,Plastic Products,Domestic Equities,25965.0,,,3.4722000000000004,,,1.23206870232529,1100,astral,Mid Cap,Feb-2025
153691,5278,1,Oberoi Realty Ltd.,Realty,Realty,Domestic Equities,22797.0,,,3.3842000000000003,,,1.20084295328876,1100,oberoi-realty,Mid Cap,Feb-2025
133662,6324,1,Century Plyboards (India) Ltd.,Construction Materials,Construction Materials,Domestic Equities,46758.0,,,3.3733999999999997,,,1.19701070227064,1100,century-plyboards-india,Small Cap,Feb-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,995.0,,,3.0244,,,1.07317222029624,1100,abbott-india,Mid Cap,Feb-2025
63978,98925,1,CarTrade Tech Ltd.,Automobile & Ancillaries,Information Technology,Domestic Equities,19609.0,,,2.9973,,,1.06355610894522,1100,cartrade-tech,Small Cap,Feb-2025
95274,89247,1,Chalet Hotels Ltd.,Hospitality,Hospitality,Domestic Equities,40138.0,,,2.9583999999999997,,,1.04975290851885,1100,chalet-hotels,Small Cap,Feb-2025
509,8487,1,K.P.R. Mill Ltd.,Textile,Textile,Domestic Equities,35576.0,,,2.8518,,,1.01192717161778,1100,kpr-mill,Small Cap,Feb-2025
171576,15890,1,Dr. Lal Pathlabs Ltd.,Healthcare,Healthcare,Domestic Equities,11097.0,,,2.5639,,,0.909769294940329,1100,dr-lal-pathlabs,Small Cap,Feb-2025
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,16424.0,,,2.3352,,,0.828617831251084,1100,havells-india,Large Cap,Feb-2025
191951,99980,1,Go Fashion (India) Ltd.,Retailing,Retailing,Domestic Equities,27096.0,,,1.9225,,,0.682176165030922,1100,go-fashion-india,Small Cap,Feb-2025
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,2621.0,,,0.8047,,,0.285538184655596,1100,kei-industries,Mid Cap,Feb-2025
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,94818.0,91848.0,3.233603344656389,25.2766,23.7436,6.4564766926666435,8.03343987760069,1100,mahindra-mahindra,Large Cap,Mar-2025
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,593724.0,575112.0,3.2362392021032425,24.327800000000003,22.7169,7.0911964220470285,7.73189110300808,1100,itc,Large Cap,Mar-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,127145.0,123164.0,3.232275664967036,22.039299999999997,19.3392,13.961797799288478,7.00455723848955,1100,bharti-airtel,Large Cap,Mar-2025
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,66566.0,57871.0,15.024796530213752,15.0363,12.6752,18.62771396112094,4.77885522703082,1100,hindustan-unilever,Large Cap,Mar-2025
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,12077.0,11699.0,3.231045388494743,13.9153,13.9754,-0.4300413583868791,4.42257763816245,1100,maruti-suzuki-india,Large Cap,Mar-2025
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,37686.0,31734.0,18.755908489317452,11.544500000000001,9.7653,18.219614348765532,3.66908708714626,1100,titan-company,Large Cap,Mar-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,12403.0,12016.0,3.2207057256990677,11.0952,10.25,8.245853658536584,3.52629001249991,1100,bajaj-finance,Large Cap,Mar-2025
