CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,1092288.0,1105898.0,-1.2306740766327455,212.4391,212.8854,-0.20964331043839085,8.04207441577549,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1026008.0,1044241.0,-1.7460528747674147,148.3402,149.01319999999998,-0.45163784147981034,5.61555253835579,1100,icici-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,867066.0,505547.0,71.51046292431762,123.20139999999999,71.0294,73.45127510580126,4.66390051044145,1100,reliance-industries,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,278624.0,278624.0,0.0,102.3971,93.0883,9.99996777253424,3.87633490331867,1100,larsen-toubro,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,589006.0,522381.0,12.754100933992621,92.044,78.3624,17.459393790899718,3.48440893190396,1100,infosys,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,372285.0,372285.0,0.0,69.1035,69.4125,-0.44516477579686126,2.61597554023973,1100,bharti-airtel,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,2065668.0,2065668.0,0.0,68.9727,73.2383,-5.8242750036524535,2.61102398784856,1100,ntpc,Large Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,70450.0,70450.0,0.0,64.6766,60.8301,6.323349789002478,2.44839123381405,1100,bajaj-finance,Large Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,50810.0,53038.0,-4.200761718013499,56.958,61.741499999999995,-7.747625179174452,2.15619664446771,1100,ultratech-cement,Large Cap
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,62544.0,52049.0,20.16369190570424,53.478199999999994,38.0218,40.65141576674434,2.02446566579187,1100,coforge,Mid Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,244563.0,256991.0,-4.835967018300251,50.7395,56.7462,-10.585202180938989,1.92078969840882,1100,kotak-mahindra-bank,Large Cap
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,88458.0,63305.0,39.73303846457626,49.872600000000006,33.6878,48.043505363959646,1.88797241425051,1100,persistent-systems,Mid Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,165794.0,165794.0,0.0,49.3536,48.557700000000004,1.6390809284624113,1.86832519948737,1100,mahindra-mahindra,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,545754.0,578230.0,-5.616450201476921,44.3316,45.6021,-2.7860559053201537,1.67821284391806,1100,state-bank-of-india,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,65260.0,52516.0,24.26689009063904,43.149899999999995,31.9665,34.98474965980009,1.63347852082442,1100,divi's-laboratories,Large Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,234560.0,234560.0,0.0,39.3498,42.9784,-8.442845708541968,1.48962229573502,1100,sun-pharmaceutical-industries,Large Cap
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,24255.0,32131.0,-24.51215337213283,35.6354,52.8619,-32.58774277882558,1.34901032171538,1100,dixon-technologies-india,Mid Cap
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,99866.0,99866.0,0.0,35.502399999999994,33.7517,5.186997988249472,1.34397548633292,1100,titan-company,Large Cap
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,62615.0,62615.0,0.0,35.3368,32.3876,9.105954130593178,1.33770654844318,1100,trent,Large Cap
133334,5159,1,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Domestic Equities,509112.0,509112.0,0.0,34.9607,31.9111,9.556549288492093,1.3234689425233,1100,cg-power-and-industrial-solutions,Large Cap
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,144371.0,144371.0,0.0,33.9026,33.8131,0.2646903123345766,1.28341360930389,1100,hindustan-unilever,Large Cap
