CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,286324.0,73881.0,287.5475426699693,7.9612,2.0669,285.17586724079547,7.92641887398097,1100,eternal,Large Cap,Dec-2024
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,135512.0,38908.0,248.28826976457285,4.0477,1.2775,216.84540117416827,4.03001628852595,1100,jio-financial-services,Large Cap,Dec-2024
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,8101.0,8767.0,-7.5966693281624265,3.6894,3.839,-3.896848137535811,3.67328164016297,1100,interglobe-aviation,Large Cap,Dec-2024
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,55321.0,14310.0,286.5897973445143,3.5322000000000005,0.8889,297.36753290583874,3.51676842017228,1100,varun-beverages,Large Cap,Dec-2024
134703,87891,1,Hindustan Aeronautics Ltd.,Capital Goods,Other,Domestic Equities,7843.0,9631.0,-18.565050358218254,3.2771,4.3117,-23.9951759166918,3.26278290859708,1100,hindustan-aeronautics,Large Cap,Dec-2024
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,5258.0,6437.0,-18.315985707627778,3.2067,3.9734,-19.295817184275425,3.19269047419921,1100,divi's-laboratories,Large Cap,Dec-2024
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,70006.0,85954.0,-18.554110338087813,3.1113999999999997,3.898,-20.179579271421247,3.09780682365779,1100,vedanta,Large Cap,Dec-2024
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,3230.0,3953.0,-18.289906400202376,2.8027999999999995,3.2632999999999996,-14.111482241902372,2.79055504446489,1100,info-edge-india,Large Cap,Dec-2024
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,69713.0,85604.0,-18.56338488855661,2.7355,3.5452999999999997,-22.841508476010482,2.72354906669534,1100,tata-power-company,Large Cap,Dec-2024
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,60046.0,73733.0,-18.562922978856143,2.6931,3.6519999999999997,-26.256845564074478,2.68133430506936,1100,power-finance-corporation,Large Cap,Dec-2024
171943,4973,1,REC Ltd.,Finance,Finance,Domestic Equities,51511.0,63252.0,-18.562258900904318,2.5792,3.3688,-23.43861315601994,2.56793191475804,1100,rec,Large Cap,Dec-2024
152377,4902,1,Siemens Ltd.,Capital Goods,Capital Goods,Domestic Equities,3647.0,4478.0,-18.557391692719964,2.3837,3.3857,-29.595061582538317,2.37328602094011,1100,siemens,Large Cap,Dec-2024
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,9686.0,11911.0,-18.68021156913777,2.2941,2.8997,-20.884919129565134,2.28407746807011,1100,tvs-motor-company,Large Cap,Dec-2024
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,6149.0,1754.0,250.5701254275941,2.1902,0.6507,236.5913631473798,2.18063138946304,1100,avenue-supermarts,Large Cap,Dec-2024
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,26463.0,32495.0,-18.562855823972917,2.1829,2.6742000000000004,-18.371849525091623,2.17336328191894,1100,dlf,Large Cap,Dec-2024
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,3820.0,4687.0,-18.497973117132492,2.1338,2.8930000000000002,-26.24265468371933,2.12447779145111,1100,ltimindtree,Large Cap,Dec-2024
171741,5431,1,GAIL (India) Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,111529.0,136951.0,-18.562843644807266,2.13,2.7316000000000003,-22.023722360521315,2.1206943930035,1100,gail-india,Large Cap,Dec-2024
171335,5389,1,Bajaj Holdings & Investment Ltd.,Finance,Finance,Domestic Equities,1788.0,513.0,248.53801169590645,2.1254,0.537,295.7914338919925,2.11611448961955,1100,bajaj-holdings-investment,Large Cap,Dec-2024
57031,5903,1,Indian Oil Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,154710.0,189981.0,-18.565540764602776,2.1104,2.6337,-19.869385275467977,2.10118002206319,1100,indian-oil-corporation,Large Cap,Dec-2024
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,17376.0,21135.0,-17.785663591199434,2.0606999999999998,2.608,-20.985429447852766,2.05169715289311,1100,cholamandalam-investment-and-finance-company,Large Cap,Dec-2024
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,12184.0,14956.0,-18.534367477935277,1.9804,2.2869,-13.402422493331587,1.97174796990804,1100,united-spirits,Large Cap,Dec-2024
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,121735.0,141518.0,-13.979140462697327,1.9005,2.2991,-17.33721891174807,1.89219703939115,1100,samvardhana-motherson-international,Large Cap,Dec-2024
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,76975.0,94462.0,-18.51220596642036,1.8516,2.3275,-20.4468313641246,1.84351067515741,1100,bank-of-baroda,Large Cap,Dec-2024
171387,6208,1,Pidilite Industries Ltd.,Chemicals,Chemicals,Domestic Equities,6349.0,7756.0,-18.140794223826713,1.8438999999999999,2.3781,-22.463311046633873,1.83584431514514,1100,pidilite-industries,Large Cap,Dec-2024
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,9866.0,12062.0,-18.20593599734704,1.7638,2.2458,-21.46228515451065,1.75609425839417,1100,icici-lombard-general-insurance-company,Mid Cap,Dec-2024
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,10439.0,12823.0,-18.591593230913205,1.7486000000000002,2.2030000000000003,-20.626418520199728,1.74096066460372,1100,havells-india,Large Cap,Dec-2024
