CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,278087.0,278087.0,0.0,123.3775,119.9459,2.860956481213613,2.7861697404318,1100,kei-industries,Mid Cap,Dec-2024
133623,8531,1,Radico Khaitan Ltd.,Alcohol,Alcohol,Domestic Equities,457718.0,457718.0,0.0,119.2767,112.5002,6.0235448470313795,2.69356351262233,1100,radico-khaitan,Small Cap,Dec-2024
188402,98309,1,Jubilant Ingrevia Ltd.,Chemicals,Chemicals,Domestic Equities,1424301.0,1424301.0,0.0,117.2271,111.7578,4.89388660120366,2.64727846470039,1100,jubilant-ingrevia,Small Cap,Dec-2024
171840,6541,1,UNO Minda Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1071929.0,1071929.0,0.0,112.8956,112.6865,0.18555905099545958,2.54946245910228,1100,uno-minda,Mid Cap,Dec-2024
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,206384.0,233680.0,-11.680931187949332,109.9077,109.1461,0.6977803146424824,2.48198827160913,1100,bse,Mid Cap,Dec-2024
19036,8047,1,Kirloskar Pneumatic Company Ltd.,Capital Goods,Capital Goods,Domestic Equities,634027.0,634027.0,0.0,97.4499,112.15620000000001,-13.112337971507602,2.20066027102271,1100,kirloskar-pneumatic-company,Small Cap,Dec-2024
58504,98271,1,Krishna Institute of Medical Sciences Ltd,Healthcare,Healthcare,Domestic Equities,1611780.0,1611780.0,0.0,96.3844,95.0225,1.433239495908869,2.17659864018702,1100,krishna-institute-of-medical-sciences,Small Cap,Dec-2024
133495,5019,1,Ajanta Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,321961.0,321961.0,0.0,94.40540000000001,97.3143,-2.9891804184996387,2.13190791524678,1100,ajanta-pharma,Mid Cap,Dec-2024
543,5039,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,4209244.0,4209244.0,0.0,91.3953,99.5739,-8.213598141681693,2.06393239673106,1100,karur-vysya-bank,Small Cap,Dec-2024
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,145863.0,145863.0,0.0,90.9325,90.22139999999999,0.788172207480715,2.05348122568389,1100,multi-commodity-exchange-of-india,Small Cap,Dec-2024
