CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,68247.0,64250.0,6.221011673151751,13.659637049999999,12.4959825,9.312229350513245,5.18859350436928,1100,hdfc-bank,Large Cap,Jun-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,87497.0,87497.0,0.0,12.65031626,12.65031626,0.0,4.80520445269467,1100,icici-bank,Large Cap,Jun-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,287506.0,287506.0,0.0,7.59447099,6.851555486,10.843019596324117,2.88474889219951,1100,eternal,Large Cap,Jun-2025
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,18306.0,18306.0,0.0,6.71793588,6.72763806,-0.14421376289081242,2.55179829025818,1100,larsen-toubro,Large Cap,Jun-2025
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,81715.0,81715.0,0.0,6.65405245,6.348029775,4.820750466628056,2.52753226117399,1100,hdfc-life-insurance-company,Large Cap,Jun-2025
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,85863.0,85863.0,0.0,6.528163889999999,6.610163055,-1.2405013963759304,2.47971367256146,1100,the-indian-hotels-company,Large Cap,Jun-2025
153691,5278,1,Oberoi Realty Ltd.,Realty,Realty,Domestic Equities,32490.0,32490.0,0.0,6.1912944,5.673728700000001,9.12214396151864,2.35175428087073,1100,oberoi-realty,Mid Cap,Jun-2025
152401,5684,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,51251.0,51251.0,0.0,5.63197239,5.66989813,-0.6688963210702444,2.13929661912511,1100,tata-consumer-products,Large Cap,Jun-2025
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,35063.0,29670.0,18.176609369733736,4.4740388,3.3384684,34.01471165639909,1.699457208929,1100,max-healthcare-institute,Large Cap,Jun-2025
171394,82477,1,Endurance Technologies Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,15877.0,14225.0,11.613356766256592,4.39808777,3.4592354999999997,27.140455456126084,1.6706073193261,1100,endurance-technologies,Small Cap,Jun-2025
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,63291.0,63291.0,0.0,4.3544208,4.55378745,-4.378040305767896,1.65402048352159,1100,tata-motors,Large Cap,Jun-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,26515.0,26515.0,0.0,4.2471727,4.14349905,2.502079733794076,1.61328244685349,1100,infosys,Large Cap,Jun-2025
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,87307.0,87307.0,0.0,3.5398623149999997,3.42941896,3.220468431771891,1.34461161352531,1100,tata-power-company,Large Cap,Jun-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,9805.0,9805.0,0.0,3.3417401,3.11279335,7.355025671717015,1.26935517486172,1100,torrent-pharmaceuticals,Large Cap,Jun-2025
152343,5043,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,47631.0,47631.0,0.0,3.3001138350000003,3.01742385,9.368587213891084,1.25354349791894,1100,hindalco-industries,Large Cap,Jun-2025
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,24321.0,24321.0,0.0,2.9051434499999997,2.4258981449999997,19.755376209333804,1.10351456475419,1100,360-one-wam,Mid Cap,Jun-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,2830.0,3748.0,-24.493062966915687,2.049486,2.5788114,-20.525944627047956,0.778494311962394,1100,apollo-hospitals-enterprise,Large Cap,Jun-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,103868.0,103868.0,0.0,13.31224222,13.50387868,-1.4191216060303034,5.32425649322275,1100,icici-bank,Large Cap,Dec-2024
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,52213.0,52213.0,0.0,9.256581705,9.377715865,-1.291723504356786,3.70218738762501,1100,hdfc-bank,Large Cap,Dec-2024
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,279667.0,296717.0,-5.746216091427185,7.776140935,8.300954792,-6.3223312275569405,3.11008229726975,1100,eternal,Large Cap,Dec-2024
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,85863.0,85863.0,0.0,7.534907565,6.811941105,10.613222411293885,3.01360055397072,1100,the-indian-hotels-company,Mid Cap,Dec-2024
153691,5278,1,Oberoi Realty Ltd.,Realty,Realty,Domestic Equities,32490.0,32490.0,0.0,7.5100635,6.521880149999999,15.151817072259457,3.00366412311195,1100,oberoi-realty,Mid Cap,Dec-2024
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,18306.0,19650.0,-6.83969465648855,6.60416409,7.319231999999999,-9.76971231407884,2.64134793804037,1100,larsen-toubro,Large Cap,Dec-2024
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,36512.0,36512.0,0.0,5.93484304,5.58304992,6.301092145706622,2.37365171620036,1100,united-spirits,Large Cap,Dec-2024
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,81715.0,81715.0,0.0,5.042224075,5.374804125000001,-6.187761307487662,2.01664707026363,1100,hdfc-life-insurance-company,Large Cap,Dec-2024
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,26515.0,26515.0,0.0,4.98482,4.926089275,1.1922383400166932,1.99368820172704,1100,infosys,Large Cap,Dec-2024
152401,5684,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,51251.0,51251.0,0.0,4.68792897,4.913177115,-4.584572054451571,1.87494607187891,1100,tata-consumer-products,Large Cap,Dec-2024
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,45274.0,45274.0,0.0,3.35095511,3.56057373,-5.887214698963697,1.34022084394701,1100,tata-motors,Large Cap,Dec-2024
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,9805.0,9805.0,0.0,3.294529025,3.2593781,1.0784549666085013,1.31765312436353,1100,torrent-pharmaceuticals,Large Cap,Dec-2024
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,27401.0,27401.0,0.0,3.0912438150000003,2.684612975,15.146721102322031,1.23634881954157,1100,max-healthcare-institute,Mid Cap,Dec-2024
171394,82477,1,Endurance Technologies Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,12937.0,12937.0,0.0,2.781519685,3.03773697,-8.434478940419918,1.11247406703873,1100,endurance-technologies,Mid Cap,Dec-2024
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,21799.0,21799.0,0.0,2.7353385200000004,2.430697495,12.533070265907368,1.09400382261616,1100,360-one-wam,Mid Cap,Dec-2024
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,3360.0,3360.0,0.0,2.4515736,2.2945104,6.8451727218146425,0.980511505327272,1100,apollo-hospitals-enterprise,Mid Cap,Dec-2024
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,12867.0,12867.0,0.0,2.298110535,2.271347175,1.1783033564650989,0.919133661775976,1100,kotak-mahindra-bank,Large Cap,Dec-2024
101370,86936,1,Tube Investments of India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5805.0,5805.0,0.0,2.076013125,2.084314275,-0.3982676748687557,0.830305381928132,1100,tube-investments-of-india,Mid Cap,Dec-2024
152343,5043,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,28035.0,28035.0,0.0,1.688968575,1.8396567,-8.191100274306603,0.675506180978498,1100,hindalco-industries,Large Cap,Dec-2024
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,103868.0,103868.0,0.0,13.01258304,13.31224222,-2.2510045644286736,5.34200545276457,1100,icici-bank,Large Cap,Jan-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,52213.0,52213.0,0.0,8.869683375,9.256581705,-4.179710635417551,3.64123685573385,1100,hdfc-bank,Large Cap,Jan-2025
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,85863.0,85863.0,0.0,6.565943610000001,7.534907565,-12.85966611589082,2.69549146847671,1100,the-indian-hotels-company,Mid Cap,Jan-2025
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,18306.0,18306.0,0.0,6.530482439999999,6.60416409,-1.1156847255138522,2.68093373132958,1100,larsen-toubro,Large Cap,Jan-2025
153691,5278,1,Oberoi Realty Ltd.,Realty,Realty,Domestic Equities,32490.0,32490.0,0.0,5.88929985,7.5100635,-21.581224313216527,2.41771151930075,1100,oberoi-realty,Mid Cap,Jan-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,254199.0,279667.0,-9.106544569076796,5.601274965,7.776140935,-27.9684484653698,2.29946977579201,1100,eternal,Large Cap,Jan-2025
