CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,2242479.0,2242479.0,0.0,350.4321933,336.3942748,4.173055117643166,18.816508874893,1100,infosys,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,1455827.0,1455827.0,0.0,270.2306077,271.4389442,-0.4451595932784375,14.5100727766235,1100,bharti-airtel,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,764559.0,764559.0,0.0,264.79736410000004,264.0557418,0.2808582365770837,14.2183339513286,1100,tata-consultancy-services,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,5367142.0,5067142.0,5.920497195460479,127.90436100000001,117.82118580000001,8.55803235346491,6.86784373670164,1100,eternal,Large Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,517479.0,517479.0,0.0,91.15910063999999,84.10586187000001,8.386144096474483,4.89480150230201,1100,pb-fintech,Mid Cap
101649,14929,1,Intellect Design Arena Ltd.,IT,Information Technology,Domestic Equities,543133.0,543133.0,0.0,63.68505992,42.883066019999994,48.50864415874155,3.41957878897531,1100,intellect-design-arena,Small Cap
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,387170.0,387170.0,0.0,63.3642422,60.6888975,4.408293460925033,3.4023524336603,1100,hcl-technologies,Large Cap
171687,7000,1,Zensar Technologies Ltd.,IT,Information Technology,Domestic Equities,642259.0,642259.0,0.0,53.503386,46.20732376,15.789839458990562,2.87287228957291,1100,zensar-technologies,Small Cap
84908,112552,1,Swiggy Ltd.,Retailing,Information Technology,Domestic Equities,1346780.0,1346780.0,0.0,44.8545079,42.612119199999995,5.262326169405819,2.40846949029243,1100,swiggy,Large Cap
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,51512.0,51512.0,0.0,44.0453356,37.629515999999995,17.04996577686516,2.365020862982,1100,coforge,Mid Cap
114402,5275,1,Hexaware Technologies Ltd.,IT,Information Technology,Domestic Equities,391472.0,391472.0,0.0,33.568724,27.383466400000003,22.587562544674768,1.80247764087157,1100,hexaware-technologies,
192044,99995,1,RateGain Travel Technologies Ltd.,IT,Information Technology,Domestic Equities,631875.0,631875.0,0.0,28.0426125,27.4107375,2.3052097740894424,1.50575225983793,1100,rategain-travel-technologies,Small Cap
192488,100187,1,CE Info Systems Ltd.,IT,Information Technology,Domestic Equities,144535.0,154535.0,-6.471025981169315,27.984866699999998,27.737487150000003,0.8918599895592778,1.50265159049601,1100,ce-info-systems,Small Cap
133561,8133,1,Birlasoft Ltd.,IT,Information Technology,Domestic Equities,641927.0,641927.0,0.0,25.709176349999996,25.047991539999998,2.6396719630958474,1.380458057807,1100,birlasoft,Small Cap
39589,15972,1,TeamLease Services Ltd.,Business Services,Other,Domestic Equities,109389.0,109389.0,0.0,21.393206730000003,20.682178229999998,3.4378801502089282,1.14871142547355,1100,teamlease-services,Small Cap
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,113723.0,113723.0,0.0,19.73776388,18.0137232,9.570707070707074,1.05982217478694,1100,affle-3i,Small Cap
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,70767.0,70767.0,0.0,18.10785996,17.4723723,3.6371000405022342,0.972304240754984,1100,mphasis,Mid Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,126730.0,25346.0,400.0,18.0907075,17.9183547,0.9618784921140165,0.971383236857548,1100,info-edge-india,Large Cap
152585,6859,1,Tanla Platforms Ltd.,IT,Information Technology,Domestic Equities,286871.0,286871.0,0.0,17.77309281,13.60772589,30.610308832433436,0.95432886871602,1100,tanla-platforms,Small Cap
192086,99996,1,Tracxn Technologies Ltd.,IT,Information Technology,Domestic Equities,225366.0,225366.0,0.0,1.29472767,1.224638844,5.723224144276782,0.0695205953074877,1100,tracxn-technologies,Small Cap
