CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,8450000.0,8450000.0,0.0,652.0865,618.1598,5.48833812874923,14.92227544125,1100,hdfc-bank,Large Cap,Apr-2026
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,4575000.0,4575000.0,0.0,578.0055,551.6993,4.768213409007411,13.2270140197005,1100,icici-bank,Large Cap,Apr-2026
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,2887000.0,2837000.0,1.7624250969333801,366.1582,329.4608,11.138624079101362,8.37912380561829,1100,axis-bank,Large Cap,Apr-2026
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,8835605.0,8835605.0,0.0,338.6687,312.2503,8.460648396494747,7.75005712390929,1100,kotak-mahindra-bank,Large Cap,Apr-2026
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,2800000.0,2800000.0,0.0,299.166,274.232,9.092301409025925,6.8460817002913,1100,state-bank-of-india,Large Cap,Apr-2026
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,2144112.0,2044112.0,4.892099845801013,200.97830000000002,178.267,12.74004723252201,4.59916521859321,1100,shriram-finance,Large Cap,Apr-2026
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,1825000.0,1974782.0,-7.584735935409579,171.0025,158.2887,8.032032608771184,3.91320232230288,1100,bajaj-finance,Large Cap,Apr-2026
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,770000.0,720000.0,6.944444444444445,140.063,127.9656,9.453634414248828,3.20518622165587,1100,sbi-life-insurance-company,Large Cap,Apr-2026
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,1300000.0,1400000.0,-7.142857142857142,132.0735,117.978,11.947566495448314,3.02235538611815,1100,au-small-finance-bank,Mid Cap,Apr-2026
26622,79332,1,Five-Star Business Finance Ltd.,Finance,Finance,Domestic Equities,2283192.0,2283192.0,0.0,109.4905,80.5853,35.869072895428815,2.5055685084727,1100,five-star-business-finance,Small Cap,Apr-2026
543,5039,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,3273169.0,3223169.0,1.5512683325013366,96.0675,93.27850000000001,2.98997089361428,2.19839805908002,1100,karur-vysya-bank,Small Cap,Apr-2026
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,525000.0,525000.0,0.0,92.568,89.8065,3.0749444639307804,2.11831588760944,1100,icici-lombard-general-insurance-company,Mid Cap,Apr-2026
233245,113399,1,Billionbrains Garage Ventures Ltd.,IT,Finance,Domestic Equities,4200000.0,4696600.0,-10.573606438700336,90.2958,70.5054,28.069339369750402,2.06631911378019,1100,billionbrains-garage-ventures,Mid Cap,Apr-2026
56723,6834,1,Can Fin Homes Ltd.,Finance,Finance,Domestic Equities,1035891.0,1035891.0,0.0,89.6305,82.0477,9.241940968485391,2.0510944620644,1100,can-fin-homes,Small Cap,Apr-2026
38741,90008,1,Angel One Ltd.,Finance,Finance,Domestic Equities,2846805.0,2846805.0,0.0,87.8837,64.7734,35.678689091509796,2.01112088380328,1100,angel-one,Small Cap,Apr-2026
117072,93022,1,Home First Finance Company India Ltd.,Finance,Finance,Domestic Equities,700000.0,700000.0,0.0,81.319,63.336000000000006,28.39301503094605,1.86089501409247,1100,home-first-finance-company-india,Small Cap,Apr-2026
171403,76579,1,Equitas Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,10746025.0,10746025.0,0.0,71.8372,55.5892,29.22869909982515,1.6439145501834,1100,equitas-small-finance-bank,Small Cap,Apr-2026
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,450000.0,400000.0,12.5,71.3565,59.628,19.66945059368081,1.63291426447804,1100,max-financial-services,Mid Cap,Apr-2026
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,770000.0,770000.0,0.0,70.5359,57.9387,21.742289695833705,1.61413574471557,1100,indusind-bank,Mid Cap,Apr-2026
83342,79963,1,Bandhan Bank Ltd.,Bank,Banking,Domestic Equities,3404300.0,3404300.0,0.0,67.9907,48.1198,41.294643784886894,1.55589166903992,1100,bandhan-bank,Small Cap,Apr-2026
58272,82478,1,PNB Housing Finance Ltd.,Finance,Finance,Domestic Equities,637676.0,637676.0,0.0,66.6786,48.14770000000001,38.4876120770047,1.52586571756498,1100,pnb-housing-finance,Small Cap,Apr-2026
