CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,627612.0,627612.0,0.0,223.89430000000002,226.4204,-1.1156680228460005,7.89118904637011,1100,larsen-toubro,Large Cap,Jan-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1732000.0,1732000.0,0.0,216.985,221.9818,-2.2509953518711905,7.64766970497516,1100,icici-bank,Large Cap,Jan-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,1245000.0,1245000.0,0.0,202.47439999999997,197.6749,2.4279764401044193,7.13624137573114,1100,bharti-airtel,Large Cap,Jan-2025
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2180000.0,1880000.0,15.957446808510639,156.1098,139.1482,12.189593541274697,5.50211391621417,1100,tata-motors,Large Cap,Jan-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,5575839.0,5575839.0,0.0,122.8636,155.0362,-20.751669610065264,4.33034648277155,1100,eternal,Large Cap,Jan-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,650000.0,430000.0,51.162790697674424,122.18700000000001,80.84,51.146709549727866,4.30649961168652,1100,infosys,Large Cap,Jan-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,1065000.0,1065000.0,0.0,105.0197,113.39059999999999,-7.382357973235878,3.70143548224799,1100,axis-bank,Large Cap,Jan-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,605000.0,605000.0,0.0,102.7744,107.2574,-4.179664992811678,3.62229953834135,1100,hdfc-bank,Large Cap,Jan-2025
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,276399.0,276399.0,0.0,96.4702,89.9167,7.288412497344769,3.4001070395322,1100,titan-company,Large Cap,Jan-2025
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,1316980.0,1316980.0,0.0,84.31309999999999,94.8028,-11.064757580999729,2.97162817983981,1100,fortis-healthcare,Mid Cap,Jan-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,405000.0,405000.0,0.0,77.0027,72.335,6.452892790488704,2.71397200724147,1100,kotak-mahindra-bank,Large Cap,Jan-2025
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,657000.0,657000.0,0.0,65.12180000000001,63.0819,3.2337326554843893,2.29522785903842,1100,indusind-bank,Mid Cap,Jan-2025
114697,5402,1,JSW Energy Ltd.,Power,Power,Domestic Equities,1088663.0,743663.0,46.39198131411674,55.3694,47.7915,15.856166891602063,1.95150302077402,1100,jsw-energy,Large Cap,Jan-2025
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,721000.0,721000.0,0.0,53.71810000000001,59.4753,-9.679984800412935,1.89330269824562,1100,dlf,Large Cap,Jan-2025
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,204396.0,204396.0,0.0,49.7786,58.8742,-15.44921204874122,1.75445441471105,1100,mankind-pharma,Mid Cap,Jan-2025
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,368994.0,368994.0,0.0,47.4471,43.760799999999996,8.423749108791432,1.6722803385438,1100,cholamandalam-investment-and-finance-company,Large Cap,Jan-2025
