CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,32830000.0,33000000.0,-0.5151515151515151,1383.7845000000002,1269.18,9.029806646811336,19.6129003929597,1100,bharat-electronics,Large Cap,Jun-2025
171839,6306,1,Solar Industries India Ltd.,Chemicals,Chemicals,Domestic Equities,648810.0,648810.0,0.0,1141.7758000000001,1044.8436,9.277197084807717,16.1828196778414,1100,solar-industries-india,Large Cap,Jun-2025
134703,87891,1,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Domestic Equities,2250497.0,2310497.0,-2.596843882506664,1095.947,1149.2642999999998,-4.63925486939775,15.5332707852726,1100,hindustan-aeronautics,Large Cap,Jun-2025
133308,5965,1,BEML Ltd.,Capital Goods,Capital Goods,Domestic Equities,1614909.0,1614909.0,0.0,719.8294999999999,683.1227,5.373383141857229,10.2024153930139,1100,beml,Small Cap,Jun-2025
133621,6468,1,Astra Microwave Products Ltd.,Capital Goods,Capital Goods,Domestic Equities,3910843.0,3666781.0,6.656028816555992,405.86730000000006,401.6592,1.0476792265682076,5.75251054456782,1100,astra-microwave-products,Small Cap,Jun-2025
782,108121,1,Cyient DLM Ltd.,Electricals,Electricals,Domestic Equities,5610329.0,5610329.0,0.0,266.3223,271.48380000000003,-1.9012184152424616,3.77468655149984,1100,cyient-dlm,Small Cap,Jun-2025
19243,8235,1,Premier Explosives Ltd.,Chemicals,Chemicals,Domestic Equities,3648701.0,3648701.0,0.0,205.9327,210.8949,-2.352925556758372,2.91876194071639,1100,premier-explosives,Small Cap,Jun-2025
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1538006.0,1538006.0,0.0,201.1866,190.85119999999998,5.41542311497125,2.85149367274907,1100,bharat-forge,Mid Cap,Jun-2025
152683,97601,1,MTAR Technologies Ltd.,Capital Goods,Capital Goods,Domestic Equities,1061691.0,1061691.0,0.0,168.4479,174.2023,-3.3032858923217354,2.38747571179128,1100,mtar-technologies,Small Cap,Jun-2025
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,265000.0,265000.0,0.0,158.3773,141.245,12.129491309426879,2.24474129418699,1100,interglobe-aviation,Large Cap,Jun-2025
