CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,8200000.0,8200000.0,0.0,1453.737,1472.761,-1.291723504356779,9.2938585550367,1100,hdfc-bank,Large Cap,Dec-2024
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,11000000.0,11000000.0,0.0,1409.815,1430.11,-1.4191216060303053,9.01306164648012,1100,icici-bank,Large Cap,Dec-2024
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,12400000.0,11400000.0,8.771929824561402,1320.2279999999998,1295.382,1.9180442525834012,8.44032468899051,1100,axis-bank,Large Cap,Dec-2024
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,625000.0,625000.0,0.0,678.65,692.1375,-1.9486734933448917,4.33866449596843,1100,maruti-suzuki-india,Large Cap,Dec-2024
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,4200000.0,4200000.0,0.0,642.18,644.238,-0.319447160831871,4.10550882785089,1100,cipla,Large Cap,Dec-2024
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,4500000.0,4500000.0,0.0,625.68,646.9875,-3.293340288645453,4.00002298951967,1100,sbi-life-insurance-company,Large Cap,Dec-2024
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,3500000.0,3500000.0,0.0,625.1175,617.8375,1.17830335646509,3.99642688139475,1100,kotak-mahindra-bank,Large Cap,Dec-2024
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,3100000.0,3200500.0,-3.140134354007186,594.394,591.4684,0.49463335657493274,3.80000905388147,1100,hcl-technologies,Large Cap,Dec-2024
201928,105635,1,Piramal Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,21000000.0,21000000.0,0.0,559.125,564.375,-0.9302325581395349,3.57453147617822,1100,piramal-pharma,Small Cap,Dec-2024
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,3500000.0,3500000.0,0.0,555.7125,569.5025,-2.4214116707125957,3.55271508688699,1100,bharti-airtel,Large Cap,Dec-2024
152362,5226,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,28500000.0,21000000.0,35.714285714285715,393.4425,303.534,29.62056968906283,2.51530981500782,1100,tata-steel,Large Cap,Dec-2024
97859,90258,1,Metropolis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,1700000.0,1700000.0,0.0,353.0305,364.07199999999995,-3.032779230481867,2.25695262115079,1100,metropolis-healthcare,Small Cap,Dec-2024
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,97000.0,97000.0,0.0,330.7719,339.1721,-2.4766777691915016,2.11465158593387,1100,bosch,Large Cap,Dec-2024
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,375000.0,250000.0,50.0,329.9475,225.84130000000002,46.09706019226775,2.10938112986597,1100,bajaj-auto,Large Cap,Dec-2024
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,675000.0,625000.0,8.0,325.4783,301.99060000000003,7.777626191013893,2.08080917176477,1100,eicher-motors,Large Cap,Dec-2024
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,425000.0,425000.0,0.0,310.0949,290.2283,6.84516292863239,1.98246184780208,1100,apollo-hospitals-enterprise,Mid Cap,Dec-2024
26837,16127,1,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,7775000.0,6950000.0,11.870503597122301,307.7345,284.74150000000003,8.075043504371505,1.96737161914771,1100,crompton-greaves-consumer-electricals,Small Cap,Dec-2024
191898,99941,1,Sapphire Foods India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,9125000.0,9125000.0,0.0,300.66880000000003,297.6575,1.0116660927408212,1.92220002594184,1100,sapphire-foods-india,Small Cap,Dec-2024
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,3500000.0,4000000.0,-12.5,278.2325,335.58,-17.08906967042136,1.7787629402115,1100,state-bank-of-india,Large Cap,Dec-2024
114606,112114,1,Hyundai Motor India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1411613.0,706950.0,99.67649763066694,254.9514,135.4905,88.16920743520764,1.6299249795586,1100,hyundai-motor-india,Large Cap,Dec-2024
543,5039,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,11400000.0,11400000.0,0.0,247.5282,269.6784,-8.213561041596213,1.58246785985556,1100,karur-vysya-bank,Small Cap,Dec-2024
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,1500000.0,1500000.0,0.0,243.8175,229.365,6.301092145706624,1.55874505377703,1100,united-spirits,Large Cap,Dec-2024
