CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,25538767.0,25538767.0,0.0,3837.7104999999997,3332.8091,15.149424549998983,4.8141279588449,1100,max-financial-services,Mid Cap
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,127825000.0,127825000.0,0.0,2582.8320000000003,2514.0621,2.7354097577780676,3.23997439207551,1100,the-federal-bank,Mid Cap
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,3004120.0,3004120.0,0.0,2568.6728,2194.5097,17.049963369950017,3.22221270822914,1100,coforge,Mid Cap
79,7951,1,Balkrishna Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,9466122.0,9366122.0,1.067677743253825,2340.2147,2505.5313,-6.598065647792946,2.93562868198886,1100,balkrishna-industries,Mid Cap
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,16291819.0,16098143.0,1.203095288692615,2321.2584,2255.6718,2.9076304451738073,2.91184938601898,1100,ipca-laboratories,Mid Cap
171365,5279,1,Hindustan Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,55530830.0,55530830.0,0.0,2282.5948000000003,2102.9525,8.542385051493085,2.86334871934555,1100,hindustan-petroleum-corporation,Mid Cap
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,36854482.0,36854482.0,0.0,2272.4474,2085.2266,8.97843908187244,2.85061954604038,1100,indian-bank,Mid Cap
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,29479373.0,28491584.0,3.4669501000716565,2043.0679,1933.4389,5.670155907176582,2.56287969069281,1100,au-small-finance-bank,Mid Cap
171565,6678,1,Apollo Tyres Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,41892187.0,41892187.0,0.0,1971.2369,1976.8923000000002,-0.28607527076715716,2.47277293943791,1100,apollo-tyres,Small Cap
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,24655327.0,31441029.0,-21.582315260737808,1898.0903,2476.6099,-23.359334871430494,2.38101586392259,1100,the-indian-hotels-company,Mid Cap
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,3337818.0,3337818.0,0.0,1881.8618,1776.2198,5.947574731460589,2.36065839412905,1100,persistent-systems,Mid Cap
171509,5522,1,Tata Communications Ltd.,Telecom,Telecom,Domestic Equities,11098059.0,11098059.0,0.0,1860.2566,1766.1451000000002,5.328639192782061,2.33355624627906,1100,tata-communications,Mid Cap
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,25477319.0,25477319.0,0.0,1799.463,1746.5976,3.0267647224523717,2.25729510842647,1100,fortis-healthcare,Mid Cap
171327,5699,1,Marico Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,22055750.0,22055750.0,0.0,1580.1842000000001,1566.9507999999998,0.844531940632741,1.98222584463965,1100,marico,Mid Cap
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,13344745.0,13344745.0,0.0,1531.7098,1640.2026,-6.614597489358935,1.92141824481464,1100,aurobindo-pharma,Mid Cap
171942,7813,1,Jindal Steel & Power Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,15282933.0,15282933.0,0.0,1450.1975,1368.8159,5.94540142323011,1.81916700871443,1100,jindal-steel-power,Mid Cap
152519,8782,1,Mahindra & Mahindra Financial Services Ltd.,Finance,Finance,Domestic Equities,55089232.0,55089232.0,0.0,1438.3798000000002,1443.6133,-0.3625278320724648,1.80434256586518,1100,mahindra-mahindra-financial-services,Mid Cap
133608,7612,1,Union Bank Of India,Bank,Banking,Domestic Equities,96886066.0,96886066.0,0.0,1422.1906,1218.6328999999998,16.703775189394612,1.7840343950557,1100,union-bank-of-india,Mid Cap
171839,6306,1,Solar Industries India Ltd.,Chemicals,Chemicals,Domestic Equities,876574.0,876574.0,0.0,1411.6348,1154.6233,22.25933774244813,1.77079291373292,1100,solar-industries-india,Mid Cap
