CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
97125,90518,1,Adani Total Gas Ltd.,Gas Transmission,Gas Transmission,Domestic Equities,48703.0,45016.0,8.190421183579172,3.7064999999999997,3.6569,1.356340069457732,1.13053854079547,1100,adani-total-gas,Mid Cap,Dec-2024
171335,5389,1,Bajaj Holdings & Investment Ltd.,Finance,Finance,Domestic Equities,2929.0,3374.0,-13.189093064611738,3.4816000000000003,3.532,-1.4269535673839082,1.06194064039754,1100,bajaj-holdings-investment,Large Cap,Dec-2024
75697,6614,1,Adani Enterprises Ltd.,Trading,Trading,Domestic Equities,13672.0,11614.0,17.719993111761667,3.4572000000000003,2.8607,20.851539832908042,1.05449827147932,1100,adani-enterprises,Large Cap,Dec-2024
38708,8062,1,Adani Power Ltd.,Power,Power,Domestic Equities,64710.0,54039.0,19.746849497585078,3.4261,2.9981,14.275707948367304,1.04501230125977,1100,adani-power,Large Cap,Dec-2024
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,20943.0,22170.0,-5.534506089309878,3.4042000000000003,3.39,0.4188790560472023,1.03833247014055,1100,united-spirits,Large Cap,Dec-2024
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,5574.0,6685.0,-16.61929693343306,3.3994999999999997,4.1264,-17.615839472663826,1.03689889907843,1100,divi's-laboratories,Large Cap,Dec-2024
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,35214.0,25052.0,40.56362765447869,3.3811,2.4947999999999997,35.5258938592272,1.0312866208778,1100,indusind-bank,Mid Cap,Dec-2024
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,22017.0,21946.0,0.32352137063701814,3.3664,3.3663,0.002970620562632833,1.02680289861968,1100,cipla,Large Cap,Dec-2024
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,24217.0,26947.0,-10.130997884736706,3.3625,3.2398000000000002,3.7872708191863635,1.02561333965325,1100,dr-reddy's-laboratories,Large Cap,Dec-2024
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,17822.0,19279.0,-7.557445925618548,3.3619,3.4334,-2.0824838352653283,1.02543033058149,1100,sun-pharmaceutical-industries,Large Cap,Dec-2024
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,52584.0,56944.0,-7.656645125035122,3.3575,3.5374,-5.085656131622097,1.02408826405525,1100,varun-beverages,Large Cap,Dec-2024
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,18723.0,19001.0,-1.4630808904794486,3.344,3.3542,-0.3040963568064035,1.01997055994066,1100,kotak-mahindra-bank,Large Cap,Dec-2024
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,120123.0,126359.0,-4.935145102446205,3.34,3.535,-5.516265912305516,1.01875049946226,1100,eternal,Large Cap,Dec-2024
139932,15713,1,Adani Energy Solutions Ltd.,Power,Power,Domestic Equities,41420.0,34469.0,20.165946212538802,3.3393,2.8971,15.263539401470446,1.01853698887854,1100,adani-energy-solutions,Large Cap,Dec-2024
152401,5684,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,36425.0,30315.0,20.155038759689923,3.3318,2.9061000000000003,14.648497986992872,1.01624937548154,1100,tata-consumer-products,Large Cap,Dec-2024
171968,4931,1,Zydus Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,34269.0,33911.0,1.0557046386128395,3.3299000000000003,3.2756,1.6577115642935667,1.0156698467543,1100,zydus-lifesciences,Large Cap,Dec-2024
58145,71025,1,Indian Railway Finance Corporation Ltd.,Finance,Finance,Domestic Equities,223417.0,229788.0,-2.7725555729629052,3.3298,3.4317,-2.969373779759302,1.01563934524234,1100,indian-railway-finance-corporation,Large Cap,Dec-2024
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,9345.0,6848.0,36.46320093457944,3.3285,2.5403000000000002,31.027831358500972,1.01524282558686,1100,avenue-supermarts,Large Cap,Dec-2024
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,68807.0,69680.0,-1.252870264064294,3.3279,3.322,0.17760385310055143,1.01505981651511,1100,itc,Large Cap,Dec-2024
133608,7612,1,Union Bank Of India,Bank,Banking,Domestic Equities,275663.0,283961.0,-2.922232278376256,3.3182,3.4535,-3.9177645866512316,1.01210116985499,1100,union-bank-of-india,Mid Cap,Dec-2024
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,11028.0,11666.0,-5.468883936224927,3.3162000000000003,3.4602999999999997,-4.164378811085736,1.01149113961579,1100,mahindra-mahindra,Large Cap,Dec-2024
171402,5320,1,Godrej Consumer Products Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,30636.0,25226.0,21.44612701181321,3.315,3.1398,5.579973246703605,1.01112512147227,1100,godrej-consumer-products,Large Cap,Dec-2024
114697,5402,1,JSW Energy Ltd.,Power,Power,Domestic Equities,51559.0,46004.0,12.075036953308407,3.3133999999999997,3.0117000000000003,10.017598034332755,1.01063709728091,1100,jsw-energy,Large Cap,Dec-2024
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,15264.0,13369.0,14.174582990500411,3.3124000000000002,2.9875,10.875313807531384,1.01033208216131,1100,nestle-india,Large Cap,Dec-2024
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,17265.0,20232.0,-14.664887307236063,3.3104,3.739,-11.462958010163133,1.00972205192211,1100,hcl-technologies,Large Cap,Dec-2024
171658,4978,1,Asian Paints Ltd.,Chemicals,Chemicals,Domestic Equities,14505.0,11114.0,30.511067122548134,3.3091000000000004,2.7558,20.07765440162568,1.00932553226663,1100,asian-paints,Large Cap,Dec-2024
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,4645.0,4735.0,-1.9007391763463568,3.3087999999999997,3.2176,2.8344107409249144,1.00923402773075,1100,trent,Large Cap,Dec-2024
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,321238.0,343294.0,-6.424813716522864,3.3017000000000003,3.6012,-8.316672220370984,1.0070684203816,1100,punjab-national-bank,Large Cap,Dec-2024
114652,92620,1,Indian Railway Catering And Tourism Corporation Ltd.,Hospitality,Hospitality,Domestic Equities,41944.0,40014.0,4.823311840855701,3.3006,3.2649,1.093448497656894,1.00673290375004,1100,indian-railway-catering-and-tourism-corporation,Mid Cap,Dec-2024
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,21046.0,18700.0,12.545454545454545,3.3002,2.9545,11.700795396852257,1.0066108977022,1100,bajaj-finserv,Large Cap,Dec-2024
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,4519.0,5055.0,-10.60336300692384,3.2972,3.452,-4.484356894553871,1.0056958523434,1100,apollo-hospitals-enterprise,Mid Cap,Dec-2024
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,19319.0,22500.0,-14.137777777777776,3.2962000000000002,3.8527,-14.444415604640895,1.0053908372238,1100,tech-mahindra,Large Cap,Dec-2024
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,6835.0,7366.0,-7.208797176215043,3.2958,3.5591000000000004,-7.397937680874389,1.00526883117596,1100,eicher-motors,Large Cap,Dec-2024
171799,4956,1,Dabur India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,64908.0,57516.0,12.852075944085122,3.2908,3.032,8.535620052770447,1.00374375557796,1100,dabur-india,Large Cap,Dec-2024
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,3786.0,4544.0,-16.681338028169016,3.2851999999999997,3.7512,-12.422691405416938,1.00203567090821,1100,info-edge-india,Large Cap,Dec-2024
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,4814.0,4730.0,1.7758985200845665,3.2845999999999997,3.1104000000000003,5.600565843621386,1.00185266183645,1100,bajaj-finance,Large Cap,Dec-2024
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,6892.0,5835.0,18.11482433590403,3.2825,2.8832,13.849195338512764,1.00121213008529,1100,britannia-industries,Large Cap,Dec-2024
58155,95800,1,Life Insurance Corporation of India,Insurance,Finance,Domestic Equities,36795.0,35390.0,3.970048036168409,3.2821,3.4877,-5.895002437136222,1.00109012403745,1100,life-insurance-corporation-of-india,Large Cap,Dec-2024
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,19576.0,17492.0,11.91401783672536,3.2792000000000003,3.0051,9.121160693487747,1.00020558019061,1100,havells-india,Large Cap,Dec-2024
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,44300.0,37425.0,18.37007348029392,3.2788999999999997,2.9433,11.402167634967556,1.00011407565473,1100,tata-motors,Large Cap,Dec-2024
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,26976.0,24139.0,11.752765234682464,3.2788,3.1192,5.116696588868934,1.00008357414277,1100,reliance-industries,Large Cap,Dec-2024
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,209832.0,175506.0,19.558305698950463,3.2758999999999996,2.8513,14.891453021428816,0.999199030295932,1100,samvardhana-motherson-international,Large Cap,Dec-2024
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,14068.0,12229.0,15.03802436830485,3.2733999999999996,3.0525,7.236691236691229,0.998436492496933,1100,hindustan-unilever,Large Cap,Dec-2024
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,27593.0,22284.0,23.824268533476932,3.2724,2.7497000000000003,19.00934647416081,0.998131477377334,1100,cholamandalam-investment-and-finance-company,Large Cap,Dec-2024
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,2863.0,3051.0,-6.161914126515897,3.2714,3.4177999999999997,-4.283457194686637,0.997826462257735,1100,ultratech-cement,Large Cap,Dec-2024
