CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,17156.0,15701.0,9.266925673523978,1.8207,1.7712999999999999,2.788912098458758,2.45106816061517,1100,max-healthcare-institute,Mid Cap,Jan-2025
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,3133.0,2867.0,9.277990931287059,1.6624,1.5268000000000002,8.881320408697931,2.23796106453927,1100,bse,Mid Cap,Jan-2025
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,268830.0,250744.0,7.212934307500878,1.5637999999999999,1.5600999999999998,0.23716428434075032,2.10522347974406,1100,suzlon-energy,Mid Cap,Jan-2025
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,20322.0,18600.0,9.258064516129032,1.554,1.6322,-4.7910795245680635,2.0920304946427,1100,the-indian-hotels-company,Mid Cap,Jan-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,2435.0,2229.0,9.24181247196052,1.4688999999999999,1.4394,2.0494650548839717,1.97746691993608,1100,persistent-systems,Mid Cap,Jan-2025
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,881.0,807.0,9.169764560099132,1.3203,1.4475,-8.787564766839377,1.77741818666458,1100,dixon-technologies-india,Mid Cap,Jan-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,7634.0,6987.0,9.26005438671819,1.3182,1.4735,-10.539531727180185,1.77459111842858,1100,pb-fintech,Mid Cap,Jan-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,1538.0,1408.0,9.232954545454545,1.271,1.3605,-6.578463800073514,1.71104939426697,1100,coforge,Mid Cap,Jan-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,5572.0,5100.0,9.254901960784313,1.1592,1.2014,-3.5125686698851326,1.56054166627402,1100,lupin,Mid Cap,Jan-2025
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,56563.0,51771.0,9.25614726391223,1.0589,1.0354999999999999,2.259777885079675,1.42551550243061,1100,the-federal-bank,Mid Cap,Jan-2025
38803,5403,1,Indus Towers Ltd.,Telecom,Telecom,Domestic Equities,28689.0,26259.0,9.253970067405461,0.9961,0.8975,10.986072423398328,1.3409726999444,1100,indus-towers,Large Cap,Jan-2025
165,7447,1,SRF Ltd.,Chemicals,Chemicals,Domestic Equities,3351.0,3067.0,9.259863058363221,0.9416,0.6864,37.179487179487175,1.26760354810526,1100,srf,Mid Cap,Jan-2025
133334,5159,1,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Domestic Equities,14781.0,13528.0,9.26227084565346,0.9384,0.9848,-4.711616571892771,1.26329563460278,1100,cg-power-and-industrial-solutions,Large Cap,Jan-2025
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,3129.0,2864.0,9.252793296089386,0.9118,0.9377,-2.762077423482979,1.2274861036134,1100,cummins-india,Large Cap,Jan-2025
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,2340.0,2141.0,9.29472209248015,0.9056000000000001,0.899,0.7341490545050017,1.21913952120234,1100,hdfc-asset-management-company,Mid Cap,Jan-2025
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,143060.0,130942.0,9.2544790823418,0.9047,0.8268000000000001,9.421867440735355,1.21792792052977,1100,idfc-first-bank,Mid Cap,Jan-2025
171820,5969,1,Colgate-Palmolive (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,3059.0,2800.0,9.25,0.8631,0.7506,14.988009592326138,1.1619250449975,1100,colgate-palmolive-india,Mid Cap,Jan-2025
152455,7030,1,Yes Bank Ltd.,Bank,Banking,Domestic Equities,435206.0,398344.0,9.253810776615188,0.8369,0.7804000000000001,7.239876986160931,1.12665400319593,1100,yes-bank,Mid Cap,Jan-2025
101370,86936,1,Tube Investments of India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2464.0,2255.0,9.268292682926829,0.8186,0.8064,1.512896825396824,1.10201812285362,1100,tube-investments-of-india,Mid Cap,Jan-2025
171327,5699,1,Marico Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,12181.0,11148.0,9.266236096160746,0.8169,0.7129000000000001,14.588301304530777,1.09972954380542,1100,marico,Mid Cap,Jan-2025
171946,6864,1,Godrej Properties Ltd.,Realty,Realty,Domestic Equities,3482.0,3187.0,9.256353937872607,0.8111,0.8881,-8.670194797883124,1.09192145058217,1100,godrej-properties,Mid Cap,Jan-2025
171365,5279,1,Hindustan Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,22175.0,20296.0,9.257981868348443,0.7944,0.8295999999999999,-4.243008678881384,1.0694395269911,1100,hindustan-petroleum-corporation,Mid Cap,Jan-2025
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,12950.0,11853.0,9.255040917911076,0.7781999999999999,0.6627,17.42870076957899,1.04763071488478,1100,au-small-finance-bank,Mid Cap,Jan-2025
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,12029.0,11009.0,9.265146698156054,0.7701,0.7925,-2.8264984227129273,1.03672630883163,1100,fortis-healthcare,Mid Cap,Jan-2025
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,6457.0,5909.0,9.273988830597393,0.7567,0.7886,-4.045143291909711,1.01868692103998,1100,aurobindo-pharma,Mid Cap,Jan-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,2613.0,2391.0,9.284818067754077,0.7494,0.6808,10.076380728554641,1.00885949336245,1100,mphasis,Mid Cap,Jan-2025
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,6043.0,5531.0,9.25691556680528,0.7397,0.7188,2.907623817473572,0.99580113055805,1100,bharat-forge,Mid Cap,Jan-2025
599,7495,1,Sundaram Finance Ltd.,Finance,Finance,Domestic Equities,1588.0,1454.0,9.21595598349381,0.7332,0.6025,21.692946058091277,0.987050681256133,1100,sundaram-finance,Mid Cap,Jan-2025
171659,5756,1,Ashok Leyland Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,33068.0,30266.0,9.25791316989361,0.7170000000000001,0.6674,7.431824992508253,0.965241869149819,1100,ashok-leyland,Mid Cap,Jan-2025
122,5767,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,4305.0,3940.0,9.263959390862944,0.7068000000000001,0.6437999999999999,9.785647716682218,0.951510394860659,1100,the-phoenix-mills,Mid Cap,Jan-2025
171635,7381,1,UPL Ltd.,Chemicals,Chemicals,Domestic Equities,11682.0,10692.0,9.25925925925926,0.7053,0.5357,31.65951092029121,0.949491060406371,1100,upl,Mid Cap,Jan-2025
134131,90516,1,Polycab India Ltd.,Electricals,Electricals,Domestic Equities,1160.0,1063.0,9.125117591721544,0.7004,0.7731,-9.403699392057943,0.942894567855695,1100,polycab-india,Large Cap,Jan-2025
152379,5838,1,Voltas Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,5273.0,4826.0,9.262329050973891,0.6648000000000001,0.8637999999999999,-23.037740217642963,0.894969030140586,1100,voltas,Mid Cap,Jan-2025
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,5956.0,5450.0,9.284403669724771,0.6645,0.6071,9.454785043650144,0.894565163249728,1100,max-financial-services,Mid Cap,Jan-2025
152118,7308,1,PI Industries Ltd.,Chemicals,Chemicals,Domestic Equities,1874.0,1715.0,9.271137026239067,0.6529,0.6321,3.2906185730106086,0.878948976803232,1100,pi-industries,Mid Cap,Jan-2025
152574,8059,1,Torrent Power Ltd.,Power,Power,Domestic Equities,4392.0,4019.0,9.280915650659367,0.6426999999999999,0.5972,7.618888144675146,0.865217502514071,1100,torrent-power,Mid Cap,Jan-2025
171321,7864,1,Page Industries Ltd.,Textile,Textile,Domestic Equities,143.0,131.0,9.16030534351145,0.6395000000000001,0.6224000000000001,2.7474293059125974,0.860909589011589,1100,page-industries,Mid Cap,Jan-2025
587,7648,1,APL Apollo Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,4180.0,3825.0,9.281045751633988,0.631,0.5999,5.184197366227703,0.849466693770622,1100,apl-apollo-tubes,Mid Cap,Jan-2025
756,88308,1,Rail Vikas Nigam Ltd.,Infrastructure,Infrastructure,Domestic Equities,13108.0,11996.0,9.269756585528508,0.6243,0.5071,23.11181226582528,0.840446999874801,1100,rail-vikas-nigam,Large Cap,Jan-2025
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,1226.0,1123.0,9.17186108637578,0.6207,0.6327,-1.8966334755808483,0.835600597184509,1100,alkem-laboratories,Mid Cap,Jan-2025
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,8812.0,8065.0,9.262244265344078,0.6203,0.5791,7.1144879986185545,0.835062107996699,1100,jubilant-foodworks,Mid Cap,Jan-2025
