CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,7478.0,7374.0,1.4103607268782208,3.9858,3.8710000000000004,2.965641952983715,4.47033515737244,1100,interglobe-aviation,Large Cap
134703,87891,1,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Domestic Equities,7242.0,7142.0,1.4001680201624196,3.6022000000000003,3.2053,12.38261629176678,4.04010269052311,1100,hindustan-aeronautics,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,4839.0,4771.0,1.4252777195556487,3.1995,2.9041,10.171826039048229,3.58844832555901,1100,divi's-laboratories,Large Cap
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,64677.0,63780.0,1.4063969896519284,2.8169999999999997,2.6737,5.359614018027446,3.15944958059064,1100,vedanta,Large Cap
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,33472.0,33008.0,1.4057198254968493,2.5768,2.6,-0.8923076923076897,2.89004958440396,1100,the-indian-hotels-company,Mid Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,16046.0,15823.0,1.4093408329646717,2.569,2.3611,8.805217906907782,2.88130137470264,1100,cholamandalam-investment-and-finance-company,Large Cap
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,64000.0,63114.0,1.4038089805748328,2.5139,2.4261,3.6189769589052276,2.81950312412027,1100,tata-power-company,Large Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,8952.0,8828.0,1.4046216583597644,2.4894,2.3588,5.536713583177888,2.79202477313537,1100,tvs-motor-company,Large Cap
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4495.0,4433.0,1.3986013986013985,2.477,2.4111000000000002,2.7331923188586016,2.77811736284097,1100,britannia-industries,Large Cap
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,51131.0,50423.0,1.4041211351962397,2.4336,2.6338,-7.601184600197426,2.72944142681057,1100,varun-beverages,Large Cap
152376,5012,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,73876.0,72852.0,1.4055894141547247,2.3522,2.2588,4.134938905613602,2.63814600761991,1100,bharat-petroleum-corporation,Large Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,55495.0,54727.0,1.4033292524713579,2.2528,2.2296,1.040545389307496,2.52666241219545,1100,power-finance-corporation,Large Cap
