CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
152686,7802.0,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,13858.0,14306.0,-3.1315531944638613,10.8037,10.5721,2.1906716735558547,2.00161037398027,1100,multi-commodity-exchange-of-india,Mid Cap,Sep-2025
139924,82380.0,1,Laurus Labs Ltd.,Healthcare,Healthcare,Domestic Equities,105518.0,109741.0,-3.8481515568474864,8.8825,9.4037,-5.542499229026873,1.64566807176058,1100,laurus-labs,Mid Cap,Sep-2025
95265,83775.0,1,Central Depository Services (India) Ltd.,Business Services,Finance,Domestic Equities,48382.0,49949.0,-3.1371999439428215,7.057,7.1147,-0.810996949976806,1.30745618715614,1100,central-depository-services-india,Small Cap,Sep-2025
46521,101004.0,1,Delhivery Ltd.,Logistics,Logistics,Domestic Equities,145253.0,144724.0,0.3655233409800724,6.537100000000001,6.7738,-3.4943458619976906,1.21113388707077,1100,delhivery,Small Cap,Sep-2025
133623,8531.0,1,Radico Khaitan Ltd.,Alcohol,Alcohol,Domestic Equities,21250.0,21928.0,-3.0919372491791317,6.136799999999999,6.255,-1.8896882494004876,1.13696997723392,1100,radico-khaitan,Mid Cap,Sep-2025
153885,104233.0,1,Kaynes Technology India Ltd.,Electricals,Electricals,Domestic Equities,8476.0,7613.0,11.335872849073953,5.9773000000000005,4.6613999999999995,28.229716394216336,1.1074192812085,1100,kaynes-technology-india,Mid Cap,Sep-2025
543,5039.0,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,256425.0,264580.0,-3.0822435558243253,5.4083000000000006,5.6633000000000004,-4.50267511874702,1.00200018378866,1100,karur-vysya-bank,Small Cap,Sep-2025
26837,16127.0,1,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,174554.0,180195.0,-3.1304975165792612,5.0848,5.9464,-14.489438988295433,0.942065073041169,1100,crompton-greaves-consumer-electricals,Small Cap,Sep-2025
171404,5514.0,1,Cholamandalam Financial Holdings Ltd.,Finance,Finance,Domestic Equities,26900.0,27778.0,-3.1607747138022897,5.0706999999999995,4.7936000000000005,5.780624165554068,0.939452754458357,1100,cholamandalam-financial-holdings,Mid Cap,Sep-2025
57412,93539.0,1,Computer Age Management Services Ltd.,Business Services,Finance,Domestic Equities,13031.0,13441.0,-3.0503682761699276,4.8978,4.9802,-1.6545520260230533,0.907419429425157,1100,computer-age-management-services,Small Cap,Sep-2025
