CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,564400.0,564400.0,0.0,56.868900000000004,55.7232,2.0560556464811897,7.07864769945724,1100,hdfc-bank,Large Cap,Nov-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,346200.0,346200.0,0.0,48.080299999999994,46.5743,3.23354296253512,5.98470350198815,1100,icici-bank,Large Cap,Nov-2025
797,86851,1,Nippon Life India Asset Management Ltd.,Finance,Finance,Domestic Equities,514600.0,514600.0,0.0,45.0584,45.0172,0.09152057435824286,5.60855827176583,1100,nippon-life-india-asset-management,Mid Cap,Nov-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,419100.0,419100.0,0.0,41.0299,39.2697,4.482336254160332,5.10711842929897,1100,state-bank-of-india,Large Cap,Nov-2025
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,442100.0,442100.0,0.0,37.651399999999995,33.1089,13.719875924600334,4.68658609523561,1100,shriram-finance,Large Cap,Nov-2025
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,36350.0,36350.0,0.0,36.6172,33.600100000000005,8.979437561197722,4.55785602571116,1100,multi-commodity-exchange-of-india,Mid Cap,Nov-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,151300.0,151300.0,0.0,32.142199999999995,31.8063,1.0560800847630718,4.0008389486256,1100,kotak-mahindra-bank,Large Cap,Nov-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,249100.0,249100.0,0.0,31.8773,30.709,3.804422156371094,3.96786602712393,1100,axis-bank,Large Cap,Nov-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,151600.0,151600.0,0.0,27.574499999999997,27.0667,1.876106063908779,3.4322832161108,1100,pb-fintech,Mid Cap,Nov-2025
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,92800.0,46400.0,100.0,24.8054,24.9586,-0.6138164800910373,3.08760478300295,1100,hdfc-asset-management-company,Mid Cap,Nov-2025
543,5039,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,900000.0,900000.0,0.0,22.3173,21.883499999999998,1.9823154431420984,2.77790328814338,1100,karur-vysya-bank,Small Cap,Nov-2025
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,128100.0,128100.0,0.0,22.238200000000003,21.736,2.3104527051895594,2.76805746673612,1100,cholamandalam-investment-and-finance-company,Large Cap,Nov-2025
198435,104143,1,KFin Technologies Ltd.,Business Services,Finance,Domestic Equities,203300.0,203300.0,0.0,21.4746,22.3244,-3.8065972657719813,2.6730098153255,1100,kfin-technologies,Small Cap,Nov-2025
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,121400.0,121400.0,0.0,20.6635,18.7745,10.061519614370548,2.57204969214693,1100,max-financial-services,Mid Cap,Nov-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,180200.0,180200.0,0.0,18.6958,18.7913,-0.5082139074997568,2.32712399324609,1100,bajaj-finance,Large Cap,Nov-2025
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,705300.0,705300.0,0.0,18.1911,16.6881,9.006417746777641,2.26430242479803,1100,the-federal-bank,Mid Cap,Nov-2025
171485,6291,1,Motilal Oswal Financial Services Ltd.,Finance,Finance,Domestic Equities,188800.0,188800.0,0.0,18.1144,18.4646,-1.8966021468106529,2.25475533880642,1100,motilal-oswal-financial-services,Mid Cap,Nov-2025
115032,83788,1,Housing & Urban Development Corporation Ltd.,Finance,Finance,Domestic Equities,750600.0,750600.0,0.0,17.9604,17.7892,0.962381669777162,2.23558648296928,1100,housing-urban-development-corporation,Mid Cap,Nov-2025
58272,82478,1,PNB Housing Finance Ltd.,Finance,Finance,Domestic Equities,160900.0,160900.0,0.0,14.566300000000002,14.9428,-2.5196081055759203,1.81311236870423,1100,pnb-housing-finance,Small Cap,Nov-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,490000.0,490000.0,0.0,14.2002,13.6416,4.094827586206889,1.76754277050959,1100,bank-of-baroda,Large Cap,Nov-2025
19913,93142,1,UTI Asset Management Company Ltd.,Finance,Finance,Domestic Equities,121700.0,121700.0,0.0,13.8872,15.1833,-8.536352439851672,1.72858269338606,1100,uti-asset-management-company,Small Cap,Nov-2025
233245,113399,1,Billionbrains Garage Ventures Ltd.,IT,Finance,Domestic Equities,827050.0,,,13.1402,,,1.63560129526697,1100,billionbrains-garage-ventures,,Nov-2025
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,360450.0,360450.0,0.0,13.0735,14.5351,-10.055658371803434,1.62729894017388,1100,power-finance-corporation,Large Cap,Nov-2025
154029,113021,1,Canara Robeco Asset Management Co Ltd.,Finance,Finance,Domestic Equities,396876.0,396876.0,0.0,12.043199999999999,12.575,-4.2290258449304226,1.49905431569985,1100,canara-robeco-asset-management-co,,Nov-2025
79346,86555,1,Aditya Birla Capital Ltd.,Finance,Finance,Domestic Equities,332800.0,332800.0,0.0,11.915899999999999,10.7894,10.440803010362009,1.48320889136175,1100,aditya-birla-capital,Mid Cap,Nov-2025
77639,92991,1,SBI Cards And Payment Services Ltd.,Finance,Finance,Domestic Equities,135300.0,135300.0,0.0,11.908399999999999,11.8881,0.17075899428840377,1.48227534318787,1100,sbi-cards-and-payment-services,Mid Cap,Nov-2025
40274,113178,1,Pine Labs Ltd.,IT,Information Technology,Domestic Equities,469335.0,,,11.722100000000001,,,1.45908600654853,1100,pine-labs,,Nov-2025
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,85400.0,67200.0,27.083333333333332,10.1045,7.2623,39.1363617586715,1.25773833640471,1100,360-one-wam,Mid Cap,Nov-2025
58811,7827,1,Care Ratings Ltd.,Ratings,Ratings,Domestic Equities,63300.0,63300.0,0.0,9.6343,10.1571,-5.1471384548739385,1.19921108955652,1100,care-ratings,Small Cap,Nov-2025
116180,112103,1,Bajaj Housing Finance Ltd.,Finance,Finance,Domestic Equities,878000.0,878000.0,0.0,9.2251,9.6764,-4.6639246000578725,1.14827670118928,1100,bajaj-housing-finance,Large Cap,Nov-2025
117072,93022,1,Home First Finance Company India Ltd.,Finance,Finance,Domestic Equities,77200.0,77200.0,0.0,8.5769,9.2262,-7.037566928963164,1.06759324434752,1100,home-first-finance-company-india,Small Cap,Nov-2025
22095,99977,1,CMS Info Systems Ltd.,Business Services,Other,Domestic Equities,213900.0,213900.0,0.0,7.5924000000000005,7.9421,-4.403117563364856,0.945049487388698,1100,cms-info-systems,Small Cap,Nov-2025
96369,112590,1,HDB Financial Services Ltd.,Finance,Finance,Domestic Equities,97160.0,97160.0,0.0,7.4540999999999995,7.1053,4.909011582902903,0.927834859062232,1100,hdb-financial-services,,Nov-2025
787,70906,1,RBL Bank Ltd.,Bank,Banking,Domestic Equities,237550.0,176200.0,34.81838819523269,7.4211,5.750299999999999,29.055875345634146,0.923727247097132,1100,rbl-bank,Small Cap,Nov-2025
192109,100019,1,Prudent Corporate Advisory Services Ltd.,Finance,Finance,Domestic Equities,21320.0,21320.0,0.0,5.2729,5.448300000000001,-3.219352825652052,0.656334155478092,1100,prudent-corporate-advisory-services,Small Cap,Nov-2025
225080,112729,1,Seshaasai Technologies Ltd.,IT,Information Technology,Domestic Equities,90000.0,90000.0,0.0,2.6892,3.3638,-20.05470004161959,0.334733033228714,1100,seshaasai-technologies,,Nov-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,564400.0,564400.0,0.0,55.7232,53.6744,3.817089711296263,7.31868000239564,1100,hdfc-bank,Large Cap,Oct-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,346200.0,346200.0,0.0,46.5743,46.6678,-0.2003522771589715,6.11706431137435,1100,icici-bank,Large Cap,Oct-2025
797,86851,1,Nippon Life India Asset Management Ltd.,Finance,Finance,Domestic Equities,514600.0,514600.0,0.0,45.0172,44.6853,0.7427498528599005,5.91255493948382,1100,nippon-life-india-asset-management,Mid Cap,Oct-2025
