CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,240500.0,240500.0,0.0,46.7748,46.2963,1.0335599173151948,7.52229076162253,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,321800.0,321800.0,0.0,46.5258,45.9209,1.317265123288084,7.4822467550283,1100,icici-bank,Large Cap
797,86851,1,Nippon Life India Asset Management Ltd.,Finance,Finance,Domestic Equities,557300.0,557300.0,0.0,41.2931,35.5948,16.00879903806175,6.64072758512608,1100,nippon-life-india-asset-management,Mid Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,419100.0,419100.0,0.0,34.0435,33.0523,2.998883587526432,5.47485196181056,1100,state-bank-of-india,Large Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,169300.0,169300.0,0.0,29.8239,27.5163,8.386301937397098,4.7962588283767,1100,pb-fintech,Mid Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,249100.0,249100.0,0.0,29.6977,29.5184,0.6074177462193018,4.77596343226347,1100,axis-bank,Large Cap
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,442100.0,442100.0,0.0,28.265700000000002,27.0433,4.520158412619771,4.54567018952072,1100,shriram-finance,Large Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,127300.0,127300.0,0.0,26.4109,28.109099999999998,-6.041459883098346,4.24738254521957,1100,kotak-mahindra-bank,Large Cap
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,36350.0,26800.0,35.634328358208954,23.9983,16.423,46.12616452536077,3.85938989337519,1100,multi-commodity-exchange-of-india,Small Cap
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,46400.0,33120.0,40.09661835748793,22.1931,14.488,53.18263390392048,3.56907888653217,1100,hdfc-asset-management-company,Mid Cap
198435,104143,1,KFin Technologies Ltd.,Business Services,Finance,Domestic Equities,203300.0,203300.0,0.0,21.93,24.347199999999997,-9.928041006768739,3.5267673277573,1100,kfin-technologies,Small Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,108400.0,108400.0,0.0,17.3548,16.1754,7.291318916379197,2.79098684996636,1100,cholamandalam-investment-and-finance-company,Large Cap
58272,82478,1,PNB Housing Finance Ltd.,Finance,Finance,Domestic Equities,160900.0,160900.0,0.0,16.8124,16.2541,3.434825674752827,2.70375845969844,1100,pnb-housing-finance,Small Cap
543,5039,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,750000.0,750000.0,0.0,16.6268,16.3628,1.6134157968073979,2.6739103969519,1100,karur-vysya-bank,Small Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,18020.0,18020.0,0.0,16.5433,15.5594,6.323508618584256,2.66048198510202,1100,bajaj-finance,Large Cap
115032,83788,1,Housing & Urban Development Corporation Ltd.,Finance,Finance,Domestic Equities,661100.0,661100.0,0.0,15.9484,14.7729,7.9571377319280545,2.56481058139555,1100,housing-urban-development-corporation,Mid Cap
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,104800.0,71300.0,46.984572230014024,15.748299999999999,9.3047,69.25102367620664,2.53263063874693,1100,max-financial-services,Mid Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,319400.0,319400.0,0.0,12.966,13.0124,-0.35658295164612985,2.08518309036485,1100,power-finance-corporation,Large Cap
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,490000.0,490000.0,0.0,12.228,12.2466,-0.1518788888344624,1.96649844431447,1100,bank-of-baroda,Large Cap
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,579300.0,579300.0,0.0,11.7053,11.393699999999999,2.734844694875245,1.88243819432729,1100,the-federal-bank,Mid Cap
116180,112103,1,Bajaj Housing Finance Ltd.,Finance,Finance,Domestic Equities,878000.0,878000.0,0.0,10.7116,10.7116,0.0,1.72263205234861,1100,bajaj-housing-finance,Large Cap
77639,92991,1,SBI Cards And Payment Services Ltd.,Finance,Finance,Domestic Equities,115000.0,,,10.5921,,,1.70341414556945,1100,sbi-cards-and-payment-services,Mid Cap
58595,86782,1,Indian Energy Exchange Ltd.,Power,Power,Domestic Equities,461300.0,461300.0,0.0,9.2514,8.780800000000001,5.359420553935854,1.48780370524459,1100,indian-energy-exchange,Small Cap
19913,93142,1,UTI Asset Management Company Ltd.,Finance,Finance,Domestic Equities,77700.0,,,9.2479,,,1.48724083768202,1100,uti-asset-management-company,Small Cap
22095,99977,1,CMS Info Systems Ltd.,Business Services,Other,Domestic Equities,182300.0,117400.0,55.28109028960818,8.9701,5.1838,73.04101238473707,1.44256523514436,1100,cms-info-systems,Small Cap
