CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,1066600.0,1066600.0,0.0,197.9823,198.86759999999998,-0.44517055568629,8.28059108128215,1100,bharti-airtel,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,5863600.0,5863600.0,0.0,195.78560000000002,207.8939,-5.824269014146149,8.18871431033721,1100,ntpc,Large Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,4913800.0,4913800.0,0.0,188.9847,154.3425,22.445016764663013,7.90426730732385,1100,bharat-electronics,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,428400.0,428400.0,0.0,157.44129999999998,143.1284,10.000041920401536,6.58496756834054,1100,larsen-toubro,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,1057400.0,1057400.0,0.0,150.246,148.5647,1.1316954835166162,6.2840248224125,1100,reliance-industries,Large Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,88900.0,88900.0,0.0,99.65690000000001,103.4885,-3.702440367770331,4.1681404717908,1100,ultratech-cement,Large Cap
171359,5112,1,Aditya Birla Real Estate Ltd.,Diversified,Paper,Domestic Equities,315600.0,315600.0,0.0,68.744,60.522600000000004,13.584016549189878,2.87521133602175,1100,aditya-birla-real-estate,Small Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,1488800.0,1488800.0,0.0,60.437799999999996,60.6537,-0.355955201413931,2.52780530205132,1100,power-finance-corporation,Large Cap
134703,87891,1,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Domestic Equities,118050.0,118050.0,0.0,58.719300000000004,52.9797,10.83358342912474,2.45592920114137,1100,hindustan-aeronautics,Large Cap
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,39310.0,39310.0,0.0,57.7543,64.6728,-10.697696713301411,2.41556816688004,1100,dixon-technologies-india,Mid Cap
133272,5382,1,ABB India Ltd.,Capital Goods,Capital Goods,Domestic Equities,90050.0,90050.0,0.0,53.7689,49.7301,8.121439530586105,2.24887918662603,1100,abb-india,Large Cap
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,6232000.0,6232000.0,0.0,44.5463,35.1485,26.737414114400337,1.86314480882442,1100,suzlon-energy,Mid Cap
133374,5879,1,Finolex Cables Ltd.,Electricals,Electricals,Domestic Equities,450100.0,450100.0,0.0,43.8307,39.0034,12.376613320889962,1.83321490611208,1100,finolex-cables,Small Cap
58595,86782,1,Indian Energy Exchange Ltd.,Power,Power,Domestic Equities,2124400.0,2124400.0,0.0,42.6048,40.438,5.358326326722374,1.7819417538831,1100,indian-energy-exchange,Small Cap
96732,87407,1,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,62000.0,62000.0,0.0,40.2473,38.1641,5.458533019251081,1.68333953805813,1100,amber-enterprises-india,Small Cap
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,110500.0,110500.0,0.0,39.8927,33.8528,17.841655638529154,1.66850842640107,1100,kei-industries,Mid Cap
152513,6479,1,KEC International Ltd.,Infrastructure,Infrastructure,Domestic Equities,475583.0,475583.0,0.0,39.5875,33.2052,19.22078469637286,1.65574346509894,1100,kec-international,Small Cap
19036,8047,1,Kirloskar Pneumatic Company Ltd.,Capital Goods,Capital Goods,Domestic Equities,306260.0,306260.0,0.0,38.3989,34.6564,10.79887120416431,1.60603038186265,1100,kirloskar-pneumatic-company,Small Cap
137941,15743,1,Power Mech Projects Ltd.,Infrastructure,Infrastructure,Domestic Equities,122400.0,122400.0,0.0,38.0321,32.0615,18.622335199538384,1.59068900635274,1100,power-mech-projects,Small Cap
151967,5716,1,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Domestic Equities,164000.0,164000.0,0.0,36.759,25.684,43.12023049369257,1.53744171856196,1100,ge-vernova-td-india,Mid Cap
19113,7706,1,Kennametal India Ltd.,Capital Goods,Capital Goods,Domestic Equities,142106.0,142106.0,0.0,35.869,29.488400000000002,21.637660910730997,1.5002175522484,1100,kennametal-india,Small Cap
