CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,392120.0,390760.0,0.3480397174736411,38.714,37.161300000000004,4.178271481352913,18.6838309140811,1100,hdfc-bank,Large Cap,Oct-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,209387.0,178665.0,17.195309657739344,28.1688,24.084,16.960637767812656,13.5945935902404,1100,icici-bank,Large Cap,Oct-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,127679.0,127679.0,0.0,13.314400000000001,12.753900000000002,4.394734159747211,6.42568575508709,1100,bajaj-finance,Large Cap,Oct-2025
152795,99590,1,One97 Communications Ltd.,IT,Information Technology,Domestic Equities,94437.0,94437.0,0.0,12.307,10.6128,15.963741896577725,5.93950268790609,1100,one97-communications,Mid Cap,Oct-2025
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,11400.0,10245.0,11.273792093704246,10.5376,7.987,31.934393389257536,5.08556947461438,1100,multi-commodity-exchange-of-india,Mid Cap,Oct-2025
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,18917.0,18917.0,0.0,10.1755,10.4658,-2.773796556402757,4.91081576345075,1100,hdfc-asset-management-company,Mid Cap,Oct-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,46717.0,37686.0,23.963806187974317,9.8208,7.5097000000000005,30.774864508568918,4.73963337916536,1100,kotak-mahindra-bank,Large Cap,Oct-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,97721.0,89634.0,9.022246022714594,9.1565,7.8201,17.089295533305197,4.41903440008224,1100,state-bank-of-india,Large Cap,Oct-2025
171485,6291,1,Motilal Oswal Financial Services Ltd.,Finance,Finance,Domestic Equities,90111.0,80571.0,11.840488513236773,8.812899999999999,7.1998,22.404789021917267,4.25320900611421,1100,motilal-oswal-financial-services,Mid Cap,Oct-2025
58272,82478,1,PNB Housing Finance Ltd.,Finance,Finance,Domestic Equities,87436.0,87436.0,0.0,8.1202,7.551,7.538074427228176,3.91890385360649,1100,pnb-housing-finance,Small Cap,Oct-2025
171943,4973,1,REC Ltd.,Finance,Finance,Domestic Equities,189845.0,161845.0,17.300503568228862,7.1163,6.034400000000001,17.928874453135347,3.43440992751654,1100,rec,Large Cap,Oct-2025
77293,6578,1,Muthoot Finance Ltd.,Finance,Finance,Domestic Equities,20300.0,15900.0,27.67295597484277,6.4528,4.8926,31.888975187017127,3.11419703782566,1100,muthoot-finance,Mid Cap,Oct-2025
57412,93539,1,Computer Age Management Services Ltd.,Business Services,Finance,Domestic Equities,15615.0,,,6.154299999999999,,,2.97013743334529,1100,computer-age-management-services,Small Cap,Oct-2025
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,75382.0,75382.0,0.0,5.6453999999999995,4.6443,21.55545507396162,2.72453631870521,1100,shriram-finance,Large Cap,Oct-2025
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,26923.0,20923.0,28.676576016823592,5.3675999999999995,3.9539999999999997,35.75113808801215,2.5904667772491,1100,icici-lombard-general-insurance-company,Mid Cap,Oct-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,26676.0,23186.0,15.05218666436643,4.7627,3.9463,20.68773281301472,2.29853493553996,1100,pb-fintech,Mid Cap,Oct-2025
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,26228.0,26228.0,0.0,4.4504,4.2248,5.339897746638894,2.14781528904341,1100,cholamandalam-investment-and-finance-company,Large Cap,Oct-2025
140187,110794,1,India Shelter Finance Corporation Ltd.,Finance,Finance,Domestic Equities,42940.0,42940.0,0.0,3.7952999999999997,3.7464999999999997,1.3025490457760565,1.83165633797107,1100,india-shelter-finance-corporation,Small Cap,Oct-2025
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,32016.0,32016.0,0.0,3.46,3.2783999999999995,5.53928745729625,1.66983662144756,1100,360-one-wam,Mid Cap,Oct-2025
75798,7006,1,Manappuram Finance Ltd.,Finance,Finance,Domestic Equities,118570.0,118570.0,0.0,3.1955,3.3294,-4.021745659878652,1.54218581613747,1100,manappuram-finance,Small Cap,Oct-2025
139601,89162,1,Aavas Financiers Ltd.,Finance,Finance,Domestic Equities,18124.0,18124.0,0.0,2.9905,2.9613,0.9860534224833742,1.44325040937541,1100,aavas-financiers,Small Cap,Oct-2025
58513,104175,1,Aadhar Housing Finance Ltd.,Finance,Finance,Domestic Equities,28102.0,28102.0,0.0,1.4328,1.4339,-0.0767138573122151,0.691486101505797,1100,aadhar-housing-finance,Small Cap,Oct-2025
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,131500.0,,,1.0753,,,0.51895240434756,1100,idfc-first-bank,Mid Cap,Oct-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,390760.0,390760.0,0.0,37.1613,37.1847,-0.0629291079395474,19.3102993147578,1100,hdfc-bank,Large Cap,Sep-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,178665.0,178665.0,0.0,24.084,24.9738,-3.5629339547846146,12.5148810374402,1100,icici-bank,Large Cap,Sep-2025
