CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,6120866.0,6120866.0,0.0,1190.4472,1178.2667,1.0337642572772385,9.1769858545286,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,8074337.0,8074337.0,0.0,1167.3876,1152.2078999999999,1.3174445340984047,8.9992227223115,1100,icici-bank,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,2466709.0,2466859.0,-0.006080606958079079,906.5402,824.1776,9.993307267753952,6.98838771846541,1100,larsen-toubro,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,6124700.0,4624700.0,32.434536294246115,870.2586,649.7704,33.93324780568644,6.70869809428076,1100,reliance-industries,Large Cap
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,422202.0,422202.0,0.0,520.1106,517.493,0.5058232671746183,4.00945763826433,1100,maruti-suzuki-india,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,4212253.0,3747373.0,12.405490459583286,502.18480000000005,444.06370000000004,13.088460056518919,3.87127023017844,1100,axis-bank,Large Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,445234.0,450075.0,-1.075598511359218,499.1073,523.9323,-4.738207589033927,3.84754622631895,1100,ultratech-cement,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,2358753.0,2288442.0,3.072439677300102,437.83169999999996,426.68,2.6135980125621034,3.37518145917283,1100,bharti-airtel,Large Cap
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1288802.0,1288722.0,0.006207700341889097,421.19339999999994,373.13660000000004,12.879143991771357,3.24691920298591,1100,cummins-india,Large Cap
171383,5551,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,791949.0,791949.0,0.0,341.27459999999996,303.11060000000003,12.59078369413672,2.63083669457151,1100,hero-motocorp,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,9237466.0,7860450.0,17.518284576582765,308.439,278.6923,10.67367128550018,2.37771178762481,1100,ntpc,Large Cap
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,3680437.0,2348147.0,56.737929950722844,293.64369999999997,158.3356,85.45652399081445,2.26365695275812,1100,dlf,Large Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,1597878.0,2048844.0,-22.010753380930907,268.06,375.4097,-28.595345298749606,2.06643589750552,1100,sun-pharmaceutical-industries,Large Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,2888351.0,2888351.0,0.0,224.38150000000002,214.80669999999998,4.4574028649944495,1.72972463752942,1100,hdfc-life-insurance-company,Large Cap
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2929745.0,1976095.0,48.259319516521224,210.7952,127.3099,65.57643985267447,1.62498980937796,1100,tata-motors,Large Cap
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,351537.0,477537.0,-26.385390032604803,187.36919999999998,250.683,-25.25651918957409,1.44440215237966,1100,interglobe-aviation,Large Cap
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,4287826.0,2450000.0,75.01330612244898,186.7563,102.704,81.83936360803865,1.43967739463296,1100,vedanta,Large Cap
57620,82559,1,ICICI Prudential Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,2779890.0,2779890.0,0.0,184.1399,170.7825,7.821293165283337,1.41950794420308,1100,icici-prudential-life-insurance-company,Large Cap
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,812006.0,812006.0,0.0,147.1517,143.384,2.627699045918655,1.13437124247916,1100,sbi-life-insurance-company,Large Cap
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,969376.0,269811.0,259.27964389887734,142.1687,37.1017,283.1864847163338,1.0959580138092,1100,prestige-estates-projects,Mid Cap
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,290710.0,290710.0,0.0,139.0466,127.1682,9.34069995486293,1.07189019497908,1100,hdfc-asset-management-company,Mid Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,461490.0,461123.0,0.07958830940985377,137.3763,135.05370000000002,1.7197603619893302,1.05901409306308,1100,mahindra-mahindra,Large Cap
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,895656.0,895656.0,0.0,134.5902,116.8831,15.149409966025893,1.03753644979649,1100,max-financial-services,Mid Cap
