CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,862457.0,862457.0,0.0,1062.4608,1057.1135000000002,0.5058397229814924,4.90593276915439,1100,maruti-suzuki-india,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,2419698.0,2302666.0,5.082456595963114,889.2632000000001,769.3207000000001,15.590702290995159,4.10618958674343,1100,larsen-toubro,Large Cap
191600,99819,1,FSN E-Commerce Ventures Ltd.,Retailing,Information Technology,Domestic Equities,42254709.0,51434350.0,-17.847296602367873,858.8692,999.7294999999999,-14.089841302072209,3.96584471888037,1100,fsn-e-commerce-ventures,Mid Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,5231000.0,5231000.0,0.0,756.298,746.4636999999999,1.3174518734132787,3.4922202696287,1100,icici-bank,Large Cap
77639,92991,1,SBI Cards And Payment Services Ltd.,Finance,Finance,Domestic Equities,8161125.0,8039904.0,1.507741883485176,751.6804,702.3258000000001,7.0273084087185635,3.47089841459664,1100,sbi-cards-and-payment-services,Mid Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,5707695.0,4738976.0,20.44152576421573,680.4714,561.5687,21.17331325624095,3.14208951495657,1100,axis-bank,Large Cap
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,1176469.0,1036928.0,13.457154209356869,599.8226999999999,530.4924,13.069046795015346,2.76969262264797,1100,alkem-laboratories,Mid Cap
196533,104025,1,Motherson Sumi Wiring India Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,98790911.0,98679616.0,0.11278418432434921,571.8018,550.2375,3.919089484086418,2.64030558876287,1100,motherson-sumi-wiring-india,Small Cap
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,1400000.0,1400000.0,0.0,560.294,587.986,-4.70963594371294,2.58716810536501,1100,avenue-supermarts,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,3894790.0,3894790.0,0.0,553.4107,547.2180000000001,1.1316696453698467,2.55538433787926,1100,reliance-industries,Large Cap
171321,7864,1,Page Industries Ltd.,Textile,Textile,Domestic Equities,114512.0,114512.0,0.0,531.1066999999999,522.3465,1.6770859955987008,2.45239519749571,1100,page-industries,Mid Cap
1427,98308,1,Sona BLW Precision Forgings Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,9667230.0,9117026.0,6.034906558344794,525.849,438.6657,19.874656258741,2.42811766864911,1100,sona-blw-precision-forgings,Mid Cap
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,5463820.0,3639804.0,50.113028064148516,446.3668,305.1612,46.27246189882594,2.06110711207659,1100,indusind-bank,Mid Cap
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,9197500.0,9197500.0,0.0,400.5971,385.5592,3.900283017497704,1.84976465966388,1100,vedanta,Large Cap
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,3129437.0,3403114.0,-8.041958041958042,388.3318,375.7718,3.3424541170997935,1.79312940573874,1100,bharat-forge,Mid Cap
152486,5772,1,AIA Engineering Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1105154.0,1069127.0,3.369758690969361,386.5718,341.4685,13.208626857235739,1.78500257256644,1100,aia-engineering,Mid Cap
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,1930200.0,1930200.0,0.0,375.4046,371.5635,1.0337667720322383,1.73343781608818,1100,hdfc-bank,Large Cap
152118,7308,1,PI Industries Ltd.,Chemicals,Chemicals,Domestic Equities,921038.0,921038.0,0.0,352.17730000000006,335.2763,5.0409169989051,1.62618532055236,1100,pi-industries,Mid Cap
152308,5173,1,Shree Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,117151.0,125151.0,-6.39227812802135,346.7084,371.8236,-6.754600837601497,1.60093257172508,1100,shree-cement,Mid Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,971285.0,957284.0,1.4625753694828285,336.39480000000003,330.6172,1.7475194877943494,1.55330932933539,1100,tata-consultancy-services,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,2117596.0,2117596.0,0.0,330.9167,317.6606,4.173038771569395,1.52801409933471,1100,infosys,Large Cap
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,1610516.0,1610516.0,0.0,324.9055,314.30830000000003,3.371594068626242,1.50025727003621,1100,bajaj-finserv,Large Cap
171635,7381,1,UPL Ltd.,Chemicals,Chemicals,Domestic Equities,4500000.0,4500000.0,0.0,282.555,301.455,-6.269592476489027,1.30470303806825,1100,upl,Mid Cap
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,498074.0,498074.0,0.0,265.64779999999996,277.2778,-4.194349493540414,1.22663372340304,1100,eicher-motors,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,7245000.0,7245000.0,0.0,241.91060000000002,256.8715,-5.824274004706634,1.11702675500668,1100,ntpc,Large Cap
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,3880052.0,4855913.0,-20.096344394967538,239.24400000000003,274.7476,-12.922260285440155,1.10471367924687,1100,indian-bank,Mid Cap
