CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171942,7813,1,Jindal Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,2786470.0,2779227.0,0.26061203348988765,263.5443,268.1954,-1.734220646588273,4.05946431907852,1100,jindal-steel,Large Cap,Aug-2025
171635,7381,1,UPL Ltd.,Chemicals,Chemicals,Domestic Equities,3465469.0,3136084.0,10.503066882137086,248.0409,220.71759999999998,12.379302783285075,3.82066006823947,1100,upl,Mid Cap,Aug-2025
76174,111823,1,Bharti Hexacom Ltd.,Telecom,Telecom,Domestic Equities,1376584.0,1276584.0,7.83340540066302,244.206,235.87439999999998,3.5322188418921248,3.76158977259189,1100,bharti-hexacom,Mid Cap,Aug-2025
133630,5815,1,Jindal Stainless Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,3106731.0,3106731.0,0.0,237.028,215.63819999999998,9.919300012706467,3.65102454738176,1100,jindal-stainless,Mid Cap,Aug-2025
587,7648,1,APL Apollo Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,1425196.0,1425196.0,0.0,228.7012,228.2024,0.21857789400986743,3.52276395706696,1100,apl-apollo-tubes,Mid Cap,Aug-2025
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,1418018.0,1418018.0,0.0,221.4661,230.6406,-3.977833911288822,3.41131920073959,1100,prestige-estates-projects,Mid Cap,Aug-2025
77293,6578,1,Muthoot Finance Ltd.,Finance,Finance,Domestic Equities,824501.0,824501.0,0.0,217.4869,215.3844,0.9761616904474049,3.35002620211099,1100,muthoot-finance,Mid Cap,Aug-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,1208585.0,1158585.0,4.31560912665018,214.0162,209.9472,1.9381063429281162,3.29656580546334,1100,pb-fintech,Mid Cap,Aug-2025
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,1524061.0,1524061.0,0.0,206.9827,212.195,-2.4563726760762483,3.18822636390365,1100,info-edge-india,Large Cap,Aug-2025
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,968355.0,968355.0,0.0,202.9866,235.05849999999998,-13.644220481284442,3.1266730487097,1100,bse,Mid Cap,Aug-2025
133445,6416,1,Apar Industries Ltd.,Capital Goods,Capital Goods,Domestic Equities,257507.0,257507.0,0.0,199.1044,229.37439999999998,-13.196764765379223,3.0668741747461,1100,apar-industries,Small Cap,Aug-2025
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,247972.0,244333.0,1.4893608313244628,183.25130000000001,187.96540000000002,-2.507961571650952,2.82268337343951,1100,multi-commodity-exchange-of-india,Mid Cap,Aug-2025
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,937069.0,937069.0,0.0,178.75529999999998,183.4781,-2.5740401715518226,2.75342992504933,1100,affle-3i,Small Cap,Aug-2025
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,418592.0,418592.0,0.0,159.5087,160.9151,-0.8740012590490228,2.45696786548827,1100,kei-industries,Mid Cap,Aug-2025
152370,5063,1,Escorts Kubota Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,424690.0,424690.0,0.0,151.5209,142.6619,6.209786915777791,2.33392900982744,1100,escorts-kubota,Mid Cap,Aug-2025
165,7447,1,SRF Ltd.,Chemicals,Chemicals,Domestic Equities,510628.0,460628.0,10.85474612919753,144.83450000000002,140.0678,3.4031376233509776,2.23093607003292,1100,srf,Mid Cap,Aug-2025
171946,6864,1,Godrej Properties Ltd.,Realty,Realty,Domestic Equities,740323.0,740323.0,0.0,144.1927,155.6825,-7.38027716666934,2.22105020188861,1100,godrej-properties,Mid Cap,Aug-2025
152118,7308,1,PI Industries Ltd.,Chemicals,Chemicals,Domestic Equities,354480.0,354480.0,0.0,130.9733,150.6859,-13.081914100788463,2.01742719573888,1100,pi-industries,Mid Cap,Aug-2025
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1174895.0,1174895.0,0.0,130.0256,137.357,-5.3374782501073925,2.00282944372835,1100,bharat-forge,Mid Cap,Aug-2025
