CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,997230.0,312410.0,219.20553119298356,266.65930000000003,198.66150000000002,34.227970693868706,4.15311021732899,1100,bse,Mid Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,1863925.0,372785.0,400.0,266.07529999999997,263.54040000000003,0.9618639115672509,4.14401465468812,1100,info-edge-india,Large Cap
171942,7813,1,Jindal Steel & Power Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,2779227.0,2779227.0,0.0,263.72090000000003,248.9215,5.945408492235498,4.10734583160308,1100,jindal-steel-power,Mid Cap
76174,111823,1,Bharti Hexacom Ltd.,Telecom,Telecom,Domestic Equities,1235794.0,1235794.0,0.0,226.23680000000002,208.738,8.383140587722414,3.52354620902333,1100,bharti-hexacom,Mid Cap
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,1418018.0,1418018.0,0.0,207.96650000000002,194.99169999999998,6.654026812423315,3.23899371224686,1100,prestige-estates-projects,Mid Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,1158585.0,1158585.0,0.0,204.0963,188.3048,8.386137793619714,3.17871692023883,1100,pb-fintech,Mid Cap
587,7648,1,APL Apollo Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,1117934.0,1117934.0,0.0,202.5361,181.0829,11.84717055006298,3.15441743936163,1100,apl-apollo-tubes,Mid Cap
133445,6416,1,Apar Industries Ltd.,Capital Goods,Capital Goods,Domestic Equities,247507.0,247507.0,0.0,200.8272,138.6782,44.81526296130179,3.1278020164216,1100,apar-industries,Mid Cap
133630,5815,1,Jindal Stainless Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,3106731.0,3106731.0,0.0,200.30650000000003,181.15349999999998,10.572801519153662,3.11969232555328,1100,jindal-stainless,Mid Cap
171635,7381,1,UPL Ltd.,Chemicals,Chemicals,Domestic Equities,3136084.0,3136084.0,0.0,196.9147,210.08630000000002,-6.269613963404562,3.06686641910585,1100,upl,Mid Cap
77293,6578,1,Muthoot Finance Ltd.,Finance,Finance,Domestic Equities,824501.0,824501.0,0.0,182.66,178.90849999999998,2.0968819256771005,2.84485526024149,1100,muthoot-finance,Mid Cap
171946,6864,1,Godrej Properties Ltd.,Realty,Realty,Domestic Equities,740323.0,740323.0,0.0,166.1137,160.0208,3.807567516222885,2.58715336276786,1100,godrej-properties,Mid Cap
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,937360.0,937360.0,0.0,162.6882,148.4778,9.570723704149705,2.53380259251735,1100,affle-3i,Small Cap
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,418592.0,418592.0,0.0,151.1201,128.2398,17.84180886121158,2.3536341367197,1100,kei-industries,Mid Cap
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,224333.0,174333.0,28.680743175417163,148.1046,106.8313,38.63408944756827,2.30666894983007,1100,multi-commodity-exchange-of-india,Small Cap
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1174895.0,1174895.0,0.0,145.7927,129.7319,12.379992893035558,2.27066204697147,1100,bharat-forge,Mid Cap
152370,5063,1,Escorts Kubota Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,424690.0,424690.0,0.0,141.0693,138.4065,1.9238980828212595,2.19709701173538,1100,escorts-kubota,Mid Cap
152118,7308,1,PI Industries Ltd.,Chemicals,Chemicals,Domestic Equities,354480.0,354480.0,0.0,135.5425,129.0378,5.040925992228629,2.11101934803067,1100,pi-industries,Mid Cap
797,86851,1,Nippon Life India Asset Management Ltd.,Finance,Finance,Domestic Equities,1644894.0,1644894.0,0.0,121.8784,105.05940000000001,16.00903869620424,1.89820654412469,1100,nippon-life-india-asset-management,Mid Cap
165,7447,1,SRF Ltd.,Chemicals,Chemicals,Domestic Equities,417624.0,417624.0,0.0,119.48219999999999,125.65889999999999,-4.915449681638149,1.86088670302872,1100,srf,Mid Cap
19098,6973,1,Schaeffler India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,284688.0,284688.0,0.0,119.2473,98.86930000000001,20.61104913254164,1.85722823100074,1100,schaeffler-india,Mid Cap
97743,96921,1,Gland Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,691034.0,691034.0,0.0,109.77770000000001,96.7448,13.471421719823711,1.70974305979531,1100,gland-pharma,Small Cap
152334,5218,1,Ambuja Cements Ltd.,Construction Materials,Construction Materials,Domestic Equities,1960201.0,1960201.0,0.0,108.49709999999999,105.792,2.55699863883846,1.68979823527837,1100,ambuja-cements,Large Cap
177212,94646,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,52215.0,52215.0,0.0,100.76450000000001,75.86319999999999,32.82395153381351,1.5693661330921,1100,hitachi-energy-india,Mid Cap
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,984846.0,984846.0,0.0,98.2335,97.1107,1.1562062676924443,1.52994683678382,1100,360-one-wam,Mid Cap
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,297397.0,444068.0,-33.02895052109137,97.19229999999999,128.5754,-24.408323831774982,1.51373056996589,1100,cummins-india,Large Cap
56674,5695,1,Supreme Industries Ltd.,Plastic Products,Plastic Products,Domestic Equities,198401.0,198401.0,0.0,82.26100000000001,70.2141,17.157380070384733,1.28118164109671,1100,supreme-industries,Mid Cap
122,5767,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,528922.0,530131.0,-0.22805683878135782,81.3006,88.2403,-7.864547151358282,1.26622380143868,1100,the-phoenix-mills,Mid Cap
133627,5088,1,Navin Fluorine International Ltd.,Chemicals,Chemicals,Domestic Equities,190789.0,190789.0,0.0,81.29899999999999,86.26719999999999,-5.759083405975849,1.26619888208898,1100,navin-fluorine-international,Small Cap
133170,6243,1,Timken India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,258153.0,258153.0,0.0,80.6625,63.312,27.404757391963614,1.25628565328605,1100,timken-india,Small Cap
509,8487,1,K.P.R. Mill Ltd.,Textile,Textile,Domestic Equities,670293.0,614087.0,9.152774769698755,75.5085,61.239799999999995,23.299716850806192,1.17601419806167,1100,kpr-mill,Small Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,62085.0,62085.0,0.0,69.59729999999999,72.2731,-3.7023456860159705,1.08394966059129,1100,ultratech-cement,Large Cap
171509,5522,1,Tata Communications Ltd.,Telecom,Telecom,Domestic Equities,403597.0,403597.0,0.0,67.65090000000001,64.22840000000001,5.328639667187724,1.05363527168001,1100,tata-communications,Mid Cap
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4300000.0,4300000.0,0.0,65.8416,57.306099999999994,14.894574923088472,1.02545615954624,1100,samvardhana-motherson-international,Large Cap
152318,6472,1,Sundram Fasteners Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,586239.0,586239.0,0.0,60.1774,53.763999999999996,11.928799940480623,0.937238546685953,1100,sundram-fasteners,Small Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,1457488.0,1457488.0,0.0,59.1667,59.3781,-0.35602351708795543,0.921497304971696,1100,power-finance-corporation,Large Cap
133308,5965,1,BEML Ltd.,Capital Goods,Capital Goods,Domestic Equities,138229.0,138229.0,0.0,58.4722,43.735699999999994,33.69444184041871,0.910680749742102,1100,beml,Small Cap
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,1278201.0,1258201.0,1.5895711416538376,55.672,52.7438,5.551742574482682,0.867068772846623,1100,vedanta,Large Cap
152324,4941,1,ACC Ltd.,Construction Materials,Construction Materials,Domestic Equities,289840.0,289840.0,0.0,54.571099999999994,54.7218,-0.2753929878037751,0.849922702792972,1100,acc,Mid Cap
19183,6082,1,Deepak Nitrite Ltd.,Chemicals,Chemicals,Domestic Equities,268880.0,268880.0,0.0,54.51,52.044399999999996,4.737493371044732,0.848971095126265,1100,deepak-nitrite,Mid Cap
133439,5473,1,National Aluminium Company Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,3010000.0,2700000.0,11.481481481481481,54.2854,42.2469,28.495581924354223,0.845473041411985,1100,national-aluminium-company,Mid Cap
19128,7053,1,Grindwell Norton Ltd.,Abrasives,Abrasives,Domestic Equities,301049.0,301049.0,0.0,54.086499999999994,50.759899999999995,6.553598411344385,0.842375254752279,1100,grindwell-norton,Small Cap
114652,92620,1,Indian Railway Catering And Tourism Corporation Ltd.,Hospitality,Hospitality,Domestic Equities,676816.0,576816.0,17.33655099719841,51.1673,43.3477,18.039250064017214,0.796909901222787,1100,indian-railway-catering-and-tourism-corporation,Mid Cap
134131,90516,1,Polycab India Ltd.,Electricals,Electricals,Domestic Equities,81210.0,81210.0,0.0,48.6529,44.8279,8.532632579264252,0.757749143167651,1100,polycab-india,Large Cap
26837,16127,1,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,1347367.0,1347367.0,0.0,47.54859999999999,45.4467,4.624978271249609,0.740550119495885,1100,crompton-greaves-consumer-electricals,Small Cap
171336,8097,1,JK Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,83610.0,94065.0,-11.11465476000638,45.9646,48.092600000000004,-4.424797162141372,0.715879963291886,1100,jk-cement,Mid Cap
1427,98308,1,Sona BLW Precision Forgings Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,795652.0,795652.0,0.0,43.2795,38.2828,13.052075605755054,0.674060622115523,1100,sona-blw-precision-forgings,Mid Cap
