CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5676.0,4647.0,22.143318269851516,1.6896,1.361,24.14401175606173,8.11039156607731,1100,mahindra-mahindra,Large Cap
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1939.0,1588.0,22.103274559193956,1.6688999999999998,1.2752,30.873588456712664,8.0110277489503,1100,bajaj-auto,Large Cap
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1308.0,1070.0,22.242990654205606,1.6113,1.3115,22.85932138772397,7.73453712737948,1100,maruti-suzuki-india,Large Cap
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,21875.0,17907.0,22.158932261126935,1.5738999999999999,1.1537,36.42194677992544,7.55501023073454,1100,tata-motors,Large Cap
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,2573.0,2105.0,22.232779097387173,0.9289000000000001,0.6448999999999999,44.03783532330595,4.45889129126966,1100,kei-industries,Mid Cap
152323,7533,1,Tata Elxsi Ltd.,IT,Information Technology,Domestic Equities,1412.0,1156.0,22.145328719723185,0.9093000000000001,0.6665000000000001,36.42910727681921,4.36480767698514,1100,tata-elxsi,Mid Cap
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,59094.0,48375.0,22.15813953488372,0.9048,0.6446999999999999,40.3443462075384,4.34320684717492,1100,samvardhana-motherson-international,Large Cap
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,282.0,231.0,22.07792207792208,0.8859,0.6804000000000001,30.202821869488528,4.252483361972,1100,bosch,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,6045.0,4949.0,22.145888058193574,0.8589,0.6953,23.52941176470588,4.12287838311068,1100,reliance-industries,Large Cap
1427,98308,1,Sona BLW Precision Forgings Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,15737.0,12883.0,22.153225180470386,0.856,0.6199,38.0867881916438,4.10895784834409,1100,sona-blw-precision-forgings,Mid Cap
133334,5159,1,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Domestic Equities,12394.0,10146.0,22.1565148827124,0.8511,0.636,33.82075471698113,4.08543694477296,1100,cg-power-and-industrial-solutions,Large Cap
123299,91366,1,KPIT Technologies Ltd.,IT,Information Technology,Domestic Equities,5787.0,4738.0,22.140143520472773,0.7742,0.594,30.336700336700346,3.71630276423831,1100,kpit-technologies,Mid Cap
171840,6541,1,UNO Minda Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,7467.0,6113.0,22.14951742188778,0.7517,0.5466,37.522868642517395,3.60829861518721,1100,uno-minda,Mid Cap
171886,6139,1,Exide Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,19002.0,15555.0,22.160077145612345,0.7351000000000001,0.5471,34.363004935112414,3.52861555410951,1100,exide-industries,Mid Cap
173672,92657,1,Gujarat Fluorochemicals Ltd.,Chemicals,Chemicals,Domestic Equities,1704.0,1395.0,22.1505376344086,0.6054999999999999,0.5429999999999999,11.510128913443832,2.90651165557517,1100,gujarat-fluorochemicals,Mid Cap
152397,5267,1,Tata Chemicals Ltd.,Chemicals,Chemicals,Domestic Equities,6534.0,5349.0,22.153673583847446,0.5797,0.44789999999999996,29.4262112078589,2.78266689799658,1100,tata-chemicals,Small Cap
