CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,24242.0,23853.0,1.630822118811051,22.255399999999998,20.5959,8.057428905753078,15.7944099282124,1100,bajaj-finance,Large Cap
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,50436.0,49625.0,1.634256926952141,10.175,9.684800000000001,5.061539732364115,7.22108436692042,1100,bajaj-finserv,Large Cap
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,37750.0,12381.0,204.90267345125596,10.0944,7.873099999999999,28.21379126392401,7.16388344309008,1100,bse,Mid Cap
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,303668.0,298786.0,1.6339453655793776,8.704600000000001,7.781000000000001,11.8699395964529,6.17755783590128,1100,jio-financial-services,Large Cap
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,129751.0,127665.0,1.633963889868014,8.2956,7.8092999999999995,6.227190657293227,5.88729508346192,1100,shriram-finance,Large Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,99248.0,97652.0,1.6343751280055707,7.7101,7.2624,6.164628772857455,5.47177224347844,1100,hdfc-life-insurance-company,Large Cap
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,41549.0,40880.0,1.6364970645792565,7.5295000000000005,7.2186,4.306929321475082,5.34360243152111,1100,sbi-life-insurance-company,Large Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,39026.0,38398.0,1.6355018490546385,6.248099999999999,5.7297,9.04759411487511,4.43420709906196,1100,cholamandalam-investment-and-finance-company,Large Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,134976.0,132806.0,1.6339623209794738,5.479400000000001,5.4105,1.2734497735884114,3.88866925602985,1100,power-finance-corporation,Large Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,30677.0,30183.0,1.6366829009707449,5.4041,4.9056,10.161855838225694,3.83522968327024,1100,pb-fintech,Mid Cap
171943,4973,1,REC Ltd.,Finance,Finance,Domestic Equities,115785.0,113923.0,1.6344372953661683,4.658,4.7859,-2.672433607054047,3.30573080895482,1100,rec,Large Cap
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,9405.0,9254.0,1.631726820834234,4.4984,4.0481,11.12373706183147,3.19246446350416,1100,hdfc-asset-management-company,Mid Cap
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,22179.0,21822.0,1.6359637063513885,4.1594,4.0949,1.5751300398056092,2.95187993275369,1100,icici-lombard-general-insurance-company,Mid Cap
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,23916.0,23531.0,1.636139560579661,3.5938999999999997,3.0707999999999998,17.034648951413313,2.55055087039561,1100,max-financial-services,Mid Cap
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,4729.0,4654.0,1.6115169746454665,3.1220999999999997,2.852,9.470546984572227,2.21571965621251,1100,multi-commodity-exchange-of-india,Small Cap
152795,99590,1,One97 Communications Ltd.,IT,Information Technology,Domestic Equities,31556.0,31048.0,1.6361762432362794,2.8099000000000003,2.6849000000000003,4.655666877723565,1.99415478748007,1100,one97-communications,Mid Cap
77639,92991,1,SBI Cards And Payment Services Ltd.,Finance,Finance,Domestic Equities,27766.0,27318.0,1.6399443590306757,2.5574,2.3864,7.165605095541411,1.81495834495944,1100,sbi-cards-and-payment-services,Mid Cap
95265,83775,1,Central Depository Services (India) Ltd.,Business Services,Finance,Domestic Equities,16512.0,16247.0,1.6310703514494984,2.5258000000000003,2.1446,17.774876433833818,1.79253217631131,1100,central-depository-services-india,Small Cap
57620,82559,1,ICICI Prudential Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,36258.0,35675.0,1.634197617379117,2.4017,2.1917,9.581603321622485,1.70445978614573,1100,icici-prudential-life-insurance-company,Large Cap
