CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,26842.0,38001.0,-29.36501671008658,5.6411,7.807300000000001,-27.745827622865782,10.6672643296738,1100,bharti-airtel,Large Cap,Nov-2025
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,129856.0,183841.0,-29.365049145729188,5.2494000000000005,7.727799999999999,-32.07122337534614,9.92656350218747,1100,itc,Large Cap,Nov-2025
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,13111.0,18562.0,-29.366447581079626,4.9262,6.472899999999999,-23.895008419719133,9.31539549748084,1100,mahindra-mahindra,Large Cap,Nov-2025
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,13130.0,18588.0,-29.363029911771033,3.2386,4.5829,-29.3329551157564,6.12416058181589,1100,hindustan-unilever,Large Cap,Nov-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,103020.0,145848.0,-29.364818166858647,3.0916,4.6343,-33.28873832078199,5.84618503512074,1100,eternal,Large Cap,Nov-2025
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1941.0,2747.0,-29.341099381143067,3.0862,4.4463,-30.589478892562354,5.83597368850744,1100,maruti-suzuki-india,Large Cap,Nov-2025
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,6105.0,8642.0,-29.3566304096274,2.3857,3.2379000000000002,-26.31952808919362,4.51133511394991,1100,titan-company,Large Cap,Nov-2025
171658,4978,1,Asian Paints Ltd.,Chemicals,Chemicals,Domestic Equities,6690.0,9471.0,-29.363319607222042,1.923,2.378,-19.13372582001682,3.63637398839991,1100,asian-paints,Large Cap,Nov-2025
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,3232.0,4574.0,-29.33974639265413,1.9074,2.5729,-25.865754595981187,3.60687454262818,1100,interglobe-aviation,Large Cap,Nov-2025
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1639.0,2319.0,-29.322984044846915,1.4871,2.0622,-27.887692755309857,2.81209139789366,1100,bajaj-auto,Large Cap,Nov-2025
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2035.0,2880.0,-29.34027777777778,1.4354,2.0180000000000002,-28.870168483647184,2.71432720902196,1100,eicher-motors,Large Cap,Nov-2025
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,3283.0,4647.0,-29.352270281902303,1.3954,2.1814,-36.03190611533877,2.63868760447906,1100,trent,Large Cap,Nov-2025
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,10607.0,15031.0,-29.432506153948506,1.3376,1.9113,-30.016219327159526,2.52938837591457,1100,nestle-india,Large Cap,Nov-2025
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,10997.0,15584.0,-29.434034907597535,1.2787,1.7887,-28.512327388606252,2.41800905822515,1100,max-healthcare-institute,Large Cap,Nov-2025
