CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
152362,5226,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,336192.0,332995.0,0.9600744755927266,5.4134,4.6646,16.052823393217007,5.66544845901027,1100,tata-steel,Large Cap
152376,5012,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,159632.0,158114.0,0.9600667872547656,5.0827,4.9023,3.6799053505497343,5.31935103310517,1100,bharat-petroleum-corporation,Large Cap
57031,5903,1,Indian Oil Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,342313.0,339058.0,0.9600127411829245,4.8598,4.6743,3.9685086537021608,5.08607278625229,1100,indian-oil-corporation,Large Cap
115643,7007,1,Coal India Ltd.,Mining,Mining,Domestic Equities,122052.0,120893.0,0.9586990148312972,4.8491,4.658,4.102619149849724,5.07487459315527,1100,coal-india,Large Cap
152343,5043,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,75047.0,74333.0,0.9605424239570581,4.7542,4.6432,2.39059269469332,4.97555603942562,1100,hindalco-industries,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,58076.0,57524.0,0.9595994715249287,4.7175,4.5366,3.987567782039407,4.93714728366294,1100,state-bank-of-india,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,141000.0,139660.0,0.9594730058714019,4.708,4.9516,-4.919621940382909,4.92720496268895,1100,ntpc,Large Cap
152256,5774,1,Oil & Natural Gas Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,196409.0,194541.0,0.9602089019795312,4.702,4.7556,-1.1270922701657022,4.9209256020738,1100,oil-natural-gas-corporation,Large Cap
171365,5279,1,Hindustan Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,112537.0,111467.0,0.9599253590748832,4.6258,4.2213,9.58235614621088,4.84117772226137,1100,hindustan-petroleum-corporation,Mid Cap
152245,5078,1,Grasim Industries Ltd.,Diversified,Construction Materials,Domestic Equities,17643.0,17477.0,0.9498197631172397,4.4916,4.7843,-6.117927387496599,4.70072935650248,1100,grasim-industries,Large Cap
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,102476.0,101503.0,0.9585923568761515,4.4633,4.255,4.895417156286717,4.67111170560102,1100,vedanta,Large Cap
517,7825,1,Power Grid Corporation Of India Ltd.,Power,Power,Domestic Equities,152068.0,150622.0,0.9600191207127776,4.4062,4.6309,-4.852188559459279,4.61135312374683,1100,power-grid-corporation-of-india,Large Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,101857.0,100889.0,0.9594703089534042,4.1349,4.1102,0.6009439929930483,4.32742136793172,1100,power-finance-corporation,Large Cap
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,153204.0,151749.0,0.9588201569697329,3.8232,3.7927,0.8041764442217976,4.0012085839746,1100,bank-of-baroda,Large Cap
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,58816.0,58255.0,0.9630074671702,3.7604,3.5635000000000003,5.525466535709274,3.93548460953601,1100,shriram-finance,Large Cap
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,300753.0,297891.0,0.9607541013323666,3.4514,2.9029000000000003,18.89489820524302,3.6120975378557,1100,canara-bank,Mid Cap
171741,5431,1,GAIL (India) Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,160226.0,158703.0,0.9596541968330782,3.0411,3.0008999999999997,1.3395981205638439,3.18269392778959,1100,gail-india,Large Cap
171943,4973,1,REC Ltd.,Finance,Finance,Domestic Equities,70515.0,69846.0,0.9578214929988832,2.8368,2.9342,-3.3194737918342336,2.96888169884367,1100,rec,Large Cap
133608,7612,1,Union Bank Of India,Bank,Banking,Domestic Equities,165929.0,164351.0,0.9601401877688605,2.4356999999999998,2.0672,17.826044891640862,2.54910644172079,1100,union-bank-of-india,Mid Cap
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,211889.0,209875.0,0.9596188207266231,2.2422,2.1031999999999997,6.608976797261319,2.34659706188215,1100,punjab-national-bank,Large Cap
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,102218.0,101246.0,0.9600379274242933,2.0654,1.9912999999999998,3.721187164164112,2.16156523575568,1100,the-federal-bank,Mid Cap
171635,7381,1,UPL Ltd.,Chemicals,Chemicals,Domestic Equities,24762.0,24526.0,0.962244149066297,1.5548,1.643,-5.368228849665259,1.62719164740628,1100,upl,Mid Cap
