CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,139150.0,139150.0,0.0,27.063299999999998,26.7864,1.0337335364214697,6.46099678684581,1100,hdfc-bank,Large Cap
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,29256.0,29256.0,0.0,15.593399999999999,15.357899999999999,1.53341277127732,3.7227133164101,1100,interglobe-aviation,Large Cap
171359,5112,1,Aditya Birla Real Estate Ltd.,Diversified,Paper,Domestic Equities,63260.0,63260.0,0.0,13.779300000000001,12.131400000000001,13.583757851525787,3.28962148093486,1100,aditya-birla-real-estate,Small Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,112667.0,112667.0,0.0,13.4322,13.350999999999999,0.6081941427608508,3.20675605119369,1100,axis-bank,Large Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,76996.0,76996.0,0.0,12.3271,11.4893,7.292002123715107,2.94292837499961,1100,cholamandalam-investment-and-finance-company,Large Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,43260.0,43260.0,0.0,12.0297,11.5591,4.071251221980945,2.87192814796123,1100,tvs-motor-company,Large Cap
114411,5677,1,Welspun Corp Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,122482.0,122482.0,0.0,11.458800000000002,9.4005,21.89564384873147,2.7356334955866,1100,welspun-corp,Small Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,11798.0,11798.0,0.0,10.831199999999999,10.187000000000001,6.3237459507214915,2.58580248519894,1100,bajaj-finance,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,123620.0,123620.0,0.0,10.041699999999999,9.7493,2.999189685413313,2.39732003984989,1100,state-bank-of-india,Large Cap
204607,107645,1,Zaggle Prepaid Ocean Services Ltd.,IT,Information Technology,Domestic Equities,223051.0,223051.0,0.0,9.6637,7.1722,34.73829508379576,2.30707765309633,1100,zaggle-prepaid-ocean-services,Small Cap
152579,7542,1,Sobha Ltd.,Realty,Realty,Domestic Equities,65833.0,65833.0,0.0,9.4339,8.7038,8.388290172108732,2.25221601162551,1100,sobha,Small Cap
58272,82478,1,PNB Housing Finance Ltd.,Finance,Finance,Domestic Equities,85730.0,85730.0,0.0,8.9579,8.6604,3.4351762043323637,2.13857745052843,1100,pnb-housing-finance,Small Cap
9355,90266,1,KPI Green Energy Ltd.,Infrastructure,Power,Domestic Equities,174933.0,174933.0,0.0,8.5341,6.6728,27.8938376693442,2.03740093331637,1100,kpi-green-energy,Small Cap
614,7779,1,eClerx Services Ltd.,IT,Information Technology,Domestic Equities,22578.0,22578.0,0.0,7.9974,5.6786,40.83400838234776,1.90927106831468,1100,eclerx-services,Small Cap
98379,98534,1,Jana Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,164836.0,164836.0,0.0,7.9566,8.25,-3.55636363636364,1.89953062022065,1100,jana-small-finance-bank,Small Cap
152719,5290,1,NBCC (India) Ltd.,Realty,Realty,Domestic Equities,640498.0,640498.0,0.0,7.9012,6.096900000000001,29.593727960110865,1.88630461962237,1100,nbcc-india,Small Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,23431.0,23431.0,0.0,6.9749,6.8625,1.6378870673952655,1.66516302478156,1100,mahindra-mahindra,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,47564.0,47564.0,0.0,6.876799999999999,6.7874,1.3171464772961579,1.64174297679076,1100,icici-bank,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,201172.0,201172.0,0.0,6.7171,7.1326,-5.825365224462321,1.60361676206974,1100,ntpc,Large Cap
40233,98928,1,Supriya Lifescience Ltd.,Healthcare,Healthcare,Domestic Equities,91519.0,91519.0,0.0,6.626,5.904299999999999,12.223294886777447,1.58186786938919,1100,supriya-lifescience,Small Cap
115032,83788,1,Housing & Urban Development Corporation Ltd.,Finance,Finance,Domestic Equities,274182.0,274182.0,0.0,6.614400000000001,6.126900000000001,7.956715467854869,1.57909852630363,1100,housing-urban-development-corporation,Mid Cap
152320,7509,1,Supreme Petrochem Ltd.,Crude Oil,Crude Oil,Domestic Equities,91528.0,91528.0,0.0,6.5401,5.9498,9.921341893845167,1.56136040636767,1100,supreme-petrochem,Small Cap
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,17591.0,17591.0,0.0,6.350700000000001,5.3892,17.84123803161881,1.51614371840174,1100,kei-industries,Mid Cap
114436,6959,1,Engineers India Ltd.,Capital Goods,Capital Goods,Domestic Equities,274295.0,274295.0,0.0,6.2945,4.9003,28.451319306981222,1.50272672862515,1100,engineers-india,Small Cap
1336,89761,1,Sansera Engineering Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,42745.0,42745.0,0.0,5.8163,4.6331,25.53797673264121,1.3885629472877,1100,sansera-engineering,Small Cap
139932,15713,1,Adani Energy Solutions Ltd.,Power,Power,Domestic Equities,65546.0,65546.0,0.0,5.6841,5.8968,-3.607041107041104,1.35700198557124,1100,adani-energy-solutions,Large Cap
152513,6479,1,KEC International Ltd.,Infrastructure,Infrastructure,Domestic Equities,66924.0,66924.0,0.0,5.5708,4.6726,19.22270256388307,1.32995314319247,1100,kec-international,Small Cap
171946,6864,1,Godrej Properties Ltd.,Realty,Realty,Domestic Equities,23121.0,23121.0,0.0,5.1879,4.9976,3.8078277573235098,1.23854094772173,1100,godrej-properties,Mid Cap
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,131000.0,131000.0,0.0,5.145700000000001,5.0356,2.1864325998888012,1.22846626856564,1100,tata-power-company,Large Cap
