CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,42586.0,31402.0,35.61556588752309,25.4515,16.7373,52.0645504352554,5.14519823613997,1100,interglobe-aviation,Large Cap,Jun-2025
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,40223.0,27065.0,48.616294106779975,25.008699999999997,15.2741,63.73272402301934,5.0556831278374,1100,trent,Large Cap,Jun-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,914978.0,533434.0,71.52599946760049,24.1691,12.7123,90.12373842656324,4.88595213205864,1100,eternal,Large Cap,Jun-2025
84908,112552,1,Swiggy Ltd.,Retailing,Information Technology,Domestic Equities,598605.0,413129.0,44.8954200746014,23.9681,13.759300000000001,74.19563495235948,4.84531858018688,1100,swiggy,Mid Cap,Jun-2025
861,112211,1,Sai Life Sciences Ltd.,Healthcare,Healthcare,Domestic Equities,301536.0,161233.0,87.01878647671383,23.323800000000002,12.204500000000001,91.10819779589497,4.71506884152531,1100,sai-life-sciences,Small Cap,Jun-2025
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,79709.0,74622.0,6.817024469995443,22.0802,19.9539,10.656062223424987,4.46366642805405,1100,bse,Mid Cap,Jun-2025
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,130503.0,103693.0,25.855168622761422,21.6296,15.2076,42.22888555722139,4.37257449535049,1100,prestige-estates-projects,Mid Cap,Jun-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,27329.0,11833.0,130.95580157187527,19.791700000000002,8.1417,143.09050935308352,4.00103019194198,1100,apollo-hospitals-enterprise,Large Cap,Jun-2025
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,119709.0,74453.0,60.78465609176259,19.488599999999998,11.9199,63.496338056527314,3.93975641297516,1100,cholamandalam-investment-and-finance-company,Large Cap,Jun-2025
1704,6920,1,L&T Finance Ltd.,Finance,Finance,Domestic Equities,927855.0,692417.0,34.00234251903117,19.1147,11.8604,61.164041684934745,3.86416992021471,1100,lt-finance,Mid Cap,Jun-2025
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,21200.0,21200.0,0.0,18.9613,13.996199999999998,35.47462882782471,3.8331590403285,1100,multi-commodity-exchange-of-india,Mid Cap,Jun-2025
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,34996.0,26796.0,30.601582325720255,18.1692,12.816500000000001,41.764132173370264,3.67303050083784,1100,hdfc-asset-management-company,Mid Cap,Jun-2025
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,139689.0,116241.0,20.171884274911605,17.8243,13.0794,36.277657996544185,3.60330656033749,1100,max-healthcare-institute,Large Cap,Jun-2025
58504,98271,1,Krishna Institute of Medical Sciences Ltd,Healthcare,Healthcare,Domestic Equities,255770.0,208347.0,22.76154684252713,17.2287,14.256099999999998,20.85142500403336,3.4829018663334,1100,krishna-institute-of-medical-sciences,Small Cap,Jun-2025
102429,100653,1,Global Health Ltd.,Healthcare,Healthcare,Domestic Equities,128431.0,83768.0,53.317495941170854,14.6,9.9533,46.68501903891171,2.95149182750107,1100,global-health,Mid Cap,Jun-2025
133437,6005,1,Sonata Software Ltd.,IT,Information Technology,Domestic Equities,354515.0,235894.0,50.285721552900874,14.536900000000001,9.6492,50.65394022302369,2.93873572241098,1100,sonata-software,Small Cap,Jun-2025
133317,6810,1,Blue Star Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,87683.0,,,14.3414,,,2.89921403389889,1100,blue-star,Mid Cap,Jun-2025
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,9045.0,6162.0,46.786757546251216,13.552100000000001,9.0532,49.694030839924004,2.7396515339368,1100,dixon-technologies-india,Mid Cap,Jun-2025
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,191451.0,144656.0,32.34915938502378,13.5327,9.2486,46.32160543217351,2.73572968863176,1100,shriram-finance,Large Cap,Jun-2025
133463,8505,1,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,76877.0,65153.0,17.994566635458074,13.4827,9.493400000000001,42.021825689426336,2.72562183990744,1100,glenmark-pharmaceuticals,Mid Cap,Jun-2025
