CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,521351.0,521351.0,0.0,96.7732,97.2059,-0.44513758938501097,6.1761559885735,1100,bharti-airtel,Large Cap
56674,5695,1,Supreme Industries Ltd.,Plastic Products,Plastic Products,Domestic Equities,150390.0,144264.0,4.246381633671602,62.3547,51.055,22.13240622857703,3.97953517937512,1100,supreme-industries,Mid Cap
46521,101004,1,Delhivery Ltd.,Logistics,Logistics,Domestic Equities,1698708.0,1547850.0,9.746293245469523,60.8137,47.2946,28.584870154309368,3.881187120425,1100,delhivery,Small Cap
517,7825,1,Power Grid Corporation Of India Ltd.,Power,Power,Domestic Equities,1975592.0,1975592.0,0.0,57.242799999999995,60.7396,-5.7570349491929536,3.65328894800126,1100,power-grid-corporation-of-india,Large Cap
98869,15650,1,PTC Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,35841.0,37702.0,-4.9360776616625115,54.8331,48.2359,13.676950155382201,3.49949964387919,1100,ptc-industries,Small Cap
177212,94646,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,27373.0,32412.0,-15.5467110946563,52.8244,47.0914,12.174197411841636,3.37130253420164,1100,hitachi-energy-india,Mid Cap
114652,92620,1,Indian Railway Catering And Tourism Corporation Ltd.,Hospitality,Hospitality,Domestic Equities,683788.0,674750.0,1.3394590589107076,51.694399999999995,50.7075,1.9462604151259597,3.2991848790338,1100,indian-railway-catering-and-tourism-corporation,Mid Cap
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,71172.0,71172.0,0.0,48.969899999999996,49.6567,-1.3830963394667848,3.12530474495878,1100,apollo-hospitals-enterprise,Mid Cap
171371,111171,1,Jyoti CNC Automation Ltd.,Capital Goods,Capital Goods,Domestic Equities,377664.0,418429.0,-9.742393572147245,48.9301,45.048100000000005,8.617455564163635,3.12276467179447,1100,jyoti-cnc-automation,Small Cap
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,32076.0,35407.0,-9.407744231366678,47.126099999999994,58.251599999999996,-19.099046206456137,3.00763170726104,1100,dixon-technologies-india,Mid Cap
19510,6302,1,ZF Commercial Vehicle Control Systems India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,34086.0,40213.0,-15.236366349190561,45.5662,50.37479999999999,-9.545645838792407,2.90807743266253,1100,zf-commercial-vehicle-control-systems-india,Small Cap
171752,6261,1,The Ramco Cements Ltd.,Construction Materials,Construction Materials,Domestic Equities,448912.0,448912.0,0.0,43.8116,42.359300000000005,3.428526911445646,2.79609722225768,1100,the-ramco-cements,Small Cap
222201,112407,1,NTPC Green Energy Ltd.,Power,Power,Domestic Equities,3865701.0,3865701.0,0.0,43.0098,38.8696,10.651511721242295,2.7449255975554,1100,ntpc-green-energy,Large Cap
152513,6479,1,KEC International Ltd.,Infrastructure,Infrastructure,Domestic Equities,501799.0,501799.0,0.0,41.7697,35.0356,19.220735480482716,2.66578125757874,1100,kec-international,Small Cap
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,5814403.0,6574308.0,-11.55870701524784,41.561400000000006,37.0791,12.088481112001114,2.65248735707302,1100,suzlon-energy,Mid Cap
152376,5012,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,1289057.0,1289057.0,0.0,41.0436,39.9672,2.693208430913346,2.61944087756337,1100,bharat-petroleum-corporation,Large Cap
79,7951,1,Balkrishna Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,161977.0,132366.0,22.370548328120517,40.044000000000004,35.4092,13.08925364029687,2.55564547216003,1100,balkrishna-industries,Mid Cap
214487,111750,1,Awfis Space Solutions Ltd.,Business Services,Other,Domestic Equities,620159.0,451423.0,37.37868916736631,39.9754,28.924899999999997,38.20410787937038,2.55126735610294,1100,awfis-space-solutions,Small Cap
19128,7053,1,Grindwell Norton Ltd.,Abrasives,Abrasives,Domestic Equities,220820.0,213211.0,3.56876521380229,39.6725,35.9495,10.35619410562039,2.53193599526193,1100,grindwell-norton,Small Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,104185.0,123555.0,-15.677228764517825,38.289,41.279700000000005,-7.244965443062816,2.44363973338167,1100,larsen-toubro,Large Cap
171839,6306,1,Solar Industries India Ltd.,Chemicals,Chemicals,Domestic Equities,23163.0,23163.0,0.0,37.301700000000004,30.5103,22.259368147805816,2.38062932546379,1100,solar-industries-india,Mid Cap
133272,5382,1,ABB India Ltd.,Capital Goods,Capital Goods,Domestic Equities,57181.0,48279.0,18.43865863004619,34.1428,26.6621,28.057429834859228,2.17902537775611,1100,abb-india,Large Cap
151967,5716,1,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Domestic Equities,150721.0,178000.0,-15.325280898876404,33.7826,27.8766,21.186227875709392,2.15603707740969,1100,ge-vernova-td-india,Mid Cap
617,7969,1,Brigade Enterprises Ltd.,Realty,Realty,Domestic Equities,262036.0,242432.0,8.086391235480464,28.6772,24.9366,15.000441118676964,1.83020568210538,1100,brigade-enterprises,Small Cap
113787,7539,1,Honeywell Automation India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,7294.0,5705.0,27.85276073619632,28.1038,19.6937,42.70451971950422,1.79361075867773,1100,honeywell-automation-india,Mid Cap
133044,7653,1,Ratnamani Metals & Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,94514.0,94514.0,0.0,26.8325,25.3713,5.759263419690749,1.71247520556723,1100,ratnamani-metals-tubes,Small Cap
171464,5049,1,Jamna Auto Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2851691.0,2851691.0,0.0,26.3183,22.842,15.218895017949396,1.67965848141917,1100,jamna-auto-industries,Small Cap
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,49032.0,,,26.1341,,,1.66790266541748,1100,interglobe-aviation,Large Cap
133308,5965,1,BEML Ltd.,Capital Goods,Capital Goods,Domestic Equities,55052.0,55052.0,0.0,23.2875,17.418499999999998,33.69406091224848,1.48622999532831,1100,beml,Small Cap
616,7870,1,Transformers & Rectifiers (India) Ltd.,Capital Goods,Capital Goods,Domestic Equities,446386.0,428536.0,4.165344335131705,23.2835,21.2104,9.77397880285143,1.4859747115932,1100,transformers-rectifiers-india,Small Cap
653,111996,1,Afcons Infrastructure Ltd.,Infrastructure,Infrastructure,Domestic Equities,542914.0,542914.0,0.0,22.968000000000004,22.7291,1.0510754935303346,1.46583920698661,1100,afcons-infrastructure,Small Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,546142.0,656494.0,-16.809293001916238,21.0046,20.620500000000003,1.8627094396353072,1.34053318560915,1100,bharat-electronics,Large Cap
134823,84770,1,Cochin Shipyard Ltd.,Ship Building,Ship Building,Domestic Equities,106201.0,106201.0,0.0,20.6784,16.9008,22.351604657767695,1.31971479701114,1100,cochin-shipyard,Mid Cap
817,98504,1,Rolex Rings Ltd,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,124714.0,124714.0,0.0,19.9904,16.0457,24.584156502988343,1.27580599457267,1100,rolex-rings,Small Cap
152325,5528,1,Thermax Ltd.,Capital Goods,Capital Goods,Domestic Equities,58777.0,58777.0,0.0,19.9148,19.345299999999998,2.9438675027009165,1.27098113197914,1100,thermax,Mid Cap
211043,110998,1,JNK India Ltd.,Capital Goods,Capital Goods,Domestic Equities,560062.0,560062.0,0.0,19.857,19.7422,0.5814954766945942,1.26729228200684,1100,jnk-india,Small Cap
133170,6243,1,Timken India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,62355.0,62355.0,0.0,19.4834,15.2926,27.40410394569922,1.24344878114781,1100,timken-india,Small Cap
152343,5043,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,285549.0,285549.0,0.0,18.0895,17.8368,1.4167339433082156,1.15448878155626,1100,hindalco-industries,Large Cap
134703,87891,1,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Domestic Equities,36352.0,36352.0,0.0,18.0818,16.3144,10.833374197028393,1.15399736036618,1100,hindustan-aeronautics,Large Cap
152362,5226,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,1073703.0,1073703.0,0.0,17.288800000000002,15.0404,14.949070503444068,1.10338735988114,1100,tata-steel,Large Cap
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,149270.0,149270.0,0.0,16.7959,16.3928,2.459006393050604,1.07193002162253,1100,max-healthcare-institute,Mid Cap
