CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,683586.0,683586.0,0.0,385.7818,353.5849,9.10584699742552,5.30388457894711,1100,trent,Large Cap
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,1348341.0,449447.0,200.0,360.5464,285.80330000000004,26.151937363914264,4.956938069538,1100,bse,Mid Cap
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,663158.0,612171.0,8.328881962719567,353.4632,321.3592,9.990067189612127,4.85955536447105,1100,interglobe-aviation,Large Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,1921954.0,1921954.0,0.0,307.7048,286.79400000000004,7.291226455225695,4.23045033121833,1100,cholamandalam-investment-and-finance-company,Large Cap
84908,112552,1,Swiggy Ltd.,Retailing,Information Technology,Domestic Equities,8909867.0,6673912.0,33.5029140330289,296.7431,211.1626,40.52824695282216,4.07974443584161,1100,swiggy,Large Cap
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,1914877.0,1914877.0,0.0,280.8359,263.3147,6.654091093281153,3.8610458016027,1100,prestige-estates-projects,Mid Cap
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,2197842.0,2146168.0,2.407733224985183,247.3012,235.6922,4.925491806686847,3.3999971513304,1100,max-healthcare-institute,Mid Cap
1704,6920,1,L&T Finance Ltd.,Finance,Finance,Domestic Equities,13404597.0,13404597.0,0.0,229.6073,220.06330000000003,4.336933964000348,3.15673424117904,1100,lt-finance,Mid Cap
171336,8097,1,JK Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,411308.0,351540.0,17.001763668430335,226.1166,179.7319,25.807716938395476,3.10874268247997,1100,jk-cement,Mid Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,9152597.0,9152597.0,0.0,218.1155,212.81619999999998,2.4900829918023173,2.99874031610444,1100,eternal,Large Cap
133272,5382,1,ABB India Ltd.,Capital Goods,Capital Goods,Domestic Equities,364979.0,364979.0,0.0,217.929,201.55970000000002,8.121315917814922,2.99617623849898,1100,abb-india,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1461210.0,1461210.0,0.0,211.2617,208.5147,1.3174131128404716,2.90451149523423,1100,icici-bank,Large Cap
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,10039804.0,10039804.0,0.0,202.86430000000001,197.46290000000002,2.7353999156297175,2.78906063580216,1100,the-federal-bank,Mid Cap
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,130340.0,130340.0,0.0,191.4955,214.43540000000002,-10.697813887072757,2.63275776459067,1100,dixon-technologies-india,Mid Cap
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,389410.0,344858.0,12.918940549443539,186.2548,150.85469999999998,23.466355373747056,2.56070649645701,1100,hdfc-asset-management-company,Mid Cap
133463,8505,1,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,1205107.0,1205107.0,0.0,175.5961,166.4494,5.495183521238299,2.41416636791382,1100,glenmark-pharmaceuticals,Mid Cap
102429,100653,1,Global Health Ltd.,Healthcare,Healthcare,Domestic Equities,1456479.0,1358479.0,7.213950307660258,173.05880000000002,162.6371,6.407947510131465,2.37928253891472,1100,global-health,Small Cap
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,885317.0,703415.0,25.85984091894543,172.18529999999998,135.4074,27.160923258256187,2.36727330680551,1100,hdfc-bank,Large Cap
114402,5275,1,Hexaware Technologies Ltd.,IT,Information Technology,Domestic Equities,1958889.0,,,167.9747,,,2.30938427106532,1100,hexaware-technologies,
861,112211,1,Sai Life Sciences Ltd.,Healthcare,Healthcare,Domestic Equities,2120957.0,2120957.0,0.0,160.54579999999999,147.7883,8.632280092537773,2.20724874225463,1100,sai-life-sciences,Small Cap
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,232785.0,232785.0,0.0,160.1677,162.4141,-1.383131144401868,2.20205047017622,1100,apollo-hospitals-enterprise,Mid Cap
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,1030734.0,870553.0,18.399913618125492,154.8884,113.60719999999999,36.33678147159688,2.12946851359445,1100,max-financial-services,Mid Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,528079.0,692520.0,-23.745306994743835,146.8482,185.0413,-20.64031110892542,2.01892858456812,1100,tvs-motor-company,Large Cap
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,151135.0,151135.0,0.0,129.22799999999998,110.4041,17.050000860475283,1.77667893189408,1100,coforge,Mid Cap
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,1645277.0,1645277.0,0.0,126.66159999999999,129.5985,-2.266152771829925,1.74139502429811,1100,the-indian-hotels-company,Mid Cap
2006,102339,1,Ethos Ltd.,Retailing,Retailing,Domestic Equities,416894.0,416894.0,0.0,118.7898,103.1479,15.16453558434053,1.63317032673965,1100,ethos,Small Cap
133170,6243,1,Timken India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,366420.0,366420.0,0.0,114.4916,89.8645,27.404703748421223,1.57407693068719,1100,timken-india,Small Cap
59506,99993,1,Medplus Health Services Ltd.,Healthcare,Healthcare,Domestic Equities,1154182.0,1154182.0,0.0,111.5401,93.04440000000001,19.878359148965437,1.53349851217507,1100,medplus-health-services,Small Cap
133437,6005,1,Sonata Software Ltd.,IT,Information Technology,Domestic Equities,2696256.0,2696256.0,0.0,110.2904,113.66069999999999,-2.9652289665645104,1.51631712995768,1100,sonata-software,Small Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,908600.0,908600.0,0.0,108.3233,107.6691,0.6076023668814923,1.48927264171265,1100,axis-bank,Large Cap
122,5767,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,699773.0,699773.0,0.0,107.56209999999999,116.4772,-7.653944291243267,1.47880735552887,1100,the-phoenix-mills,Mid Cap
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,552124.0,552124.0,0.0,103.54530000000001,103.60610000000001,-0.05868380336678947,1.42358276075349,1100,icici-lombard-general-insurance-company,Mid Cap
171646,5397,1,Carborundum Universal Ltd.,Abrasives,Abrasives,Domestic Equities,1001110.0,1001110.0,0.0,99.2901,102.3335,-2.9740016710070516,1.36508054613286,1100,carborundum-universal,Small Cap
153885,104233,1,Kaynes Technology India Ltd.,Electricals,Electricals,Domestic Equities,163885.0,163885.0,0.0,98.00319999999999,94.18799999999999,4.050622159935453,1.34738772323492,1100,kaynes-technology-india,Mid Cap
171840,6541,1,UNO Minda Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,832092.0,832092.0,0.0,83.7625,74.4057,12.575380649600772,1.15160080658045,1100,uno-minda,Mid Cap
210698,111666,1,Max Estates Ltd.,Realty,Realty,Domestic Equities,1507610.0,1507610.0,0.0,79.10430000000001,61.6839,28.241404969530137,1.08755798458716,1100,max-estates,Small Cap
152579,7542,1,Sobha Ltd.,Realty,Realty,Domestic Equities,497233.0,497233.0,0.0,71.2535,65.7392,8.388145885559913,0.979622003541919,1100,sobha,Small Cap
76139,111824,1,Bansal Wire Industries Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,1842705.0,1842705.0,0.0,66.8073,65.8859,1.398478278356969,0.918493843491563,1100,bansal-wire-industries,Small Cap
9438,105416,1,Go Digit General Insurance Ltd.,Insurance,Finance,Domestic Equities,1890000.0,1890000.0,0.0,65.205,53.9784,20.79831932773109,0.896464773533242,1100,go-digit-general-insurance,Small Cap
133630,5815,1,Jindal Stainless Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,1001633.0,1001633.0,0.0,64.5803,58.40520000000001,10.572859950826285,0.887876144685359,1100,jindal-stainless,Mid Cap
19128,7053,1,Grindwell Norton Ltd.,Abrasives,Abrasives,Domestic Equities,306542.0,306542.0,0.0,55.073299999999996,51.68600000000001,6.553612196726377,0.757170054631214,1100,grindwell-norton,Small Cap
