CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,77975.0,77975.0,0.0,11.273625500000001,11.1270325,1.3174491941135276,5.67724222300775,1100,icici-bank,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,28947.0,28947.0,0.0,10.63831197,9.6711927,9.999999999999993,5.35730709678202,1100,larsen-toubro,Large Cap
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,49131.0,49131.0,0.0,9.55548819,9.4577175,1.033766233766232,4.81201198440731,1100,hdfc-bank,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,72900.0,72900.0,0.0,5.921667,5.7492585,2.9987954098776433,2.98206978074548,1100,state-bank-of-india,Large Cap
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4706.0,4706.0,0.0,5.7973213999999995,5.7681442,0.5058334013216794,2.9194510525852,1100,maruti-suzuki-india,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,30700.0,30700.0,0.0,5.6985339999999995,5.7240150000000005,-0.4451595602038237,2.86970308123551,1100,bharti-airtel,Large Cap
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,6300.0,6300.0,0.0,5.42241,5.0588999999999995,7.185554171855542,2.73065084541432,1100,bajaj-auto,Large Cap
224124,112798,1,Onesource Specialty Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,28195.0,28195.0,0.0,5.419079,4.58309725,18.24054137188558,2.72897339978294,1100,onesource-specialty-pharma,
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,32965.0,45965.0,-28.282388774067226,5.15144055,6.895209650000001,-25.28957331993525,2.59419436983908,1100,infosys,Large Cap
77334,87528,1,CreditAccess Grameen Ltd.,Finance,Finance,Domestic Equities,43600.0,43600.0,0.0,4.99002,4.746078,5.139864957971616,2.51290520850219,1100,creditaccess-grameen,Small Cap
133386,8742,1,Godfrey Phillips India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4945.0,4945.0,0.0,4.30338625,4.013362,7.22646623952685,2.16712592771606,1100,godfrey-phillips-india,Small Cap
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,5000.0,,,4.27525,,,2.1529569005032,1100,coforge,Mid Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,34500.0,30000.0,15.0,4.113090000000001,3.555,15.698734177215199,2.07129536235091,1100,axis-bank,Large Cap
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,61500.0,61500.0,0.0,4.0316325,4.39971,-8.365949119373777,2.03027448948435,1100,jubilant-foodworks,Mid Cap
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,40000.0,20000.0,100.0,3.9898000000000002,1.9721000000000002,102.31225597079256,2.00920821978309,1100,360-one-wam,Mid Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,19000.0,19000.0,0.0,3.9419299999999997,4.19539,-6.041393052850869,1.98510154840082,1100,kotak-mahindra-bank,Large Cap
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,12000.0,12000.0,0.0,3.92172,3.47448,12.872142018373985,1.97492407130376,1100,cummins-india,Large Cap
