CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
134667,88599,1,Macrotech Developers Ltd.,Realty,Realty,Domestic Equities,7184.0,7175.0,0.1254355400696864,1.0225,0.9536,7.2252516778523495,5.96449883626649,1100,macrotech-developers,Large Cap
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,11620.0,11604.0,0.13788348845225784,0.9264,0.7818,18.495778971603983,5.40392344441787,1100,dlf,Large Cap
152334,5218,1,Ambuja Cements Ltd.,Construction Materials,Construction Materials,Domestic Equities,15888.0,15870.0,0.11342155009451795,0.8783,0.856,2.6051401869158926,5.12334408595878,1100,ambuja-cements,Large Cap
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,596.0,594.0,0.33670033670033667,0.8756,0.9790000000000001,-10.561797752808992,5.10759430908062,1100,dixon-technologies-india,Mid Cap
171946,6864,1,Godrej Properties Ltd.,Realty,Realty,Domestic Equities,3854.0,3845.0,0.23407022106631986,0.8656,0.83,4.289156626506027,5.04926180212447,1100,godrej-properties,Mid Cap
134131,90516,1,Polycab India Ltd.,Electricals,Electricals,Domestic Equities,1419.0,1416.0,0.211864406779661,0.8502,0.7820999999999999,8.70732642884542,4.959429741412,1100,polycab-india,Large Cap
152308,5173,1,Shree Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,282.0,282.0,0.0,0.835,0.8384,-0.4055343511450422,4.87076433083865,1100,shree-cement,Mid Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,741.0,737.0,0.5427408412483039,0.8297,0.8578,-3.275821869899746,4.83984810215189,1100,ultratech-cement,Large Cap
152245,5078,1,Grasim Industries Ltd.,Diversified,Construction Materials,Domestic Equities,3245.0,3239.0,0.18524235875270145,0.826,0.8861,-6.782530188466319,4.81826507457811,1100,grasim-industries,Large Cap
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,5251.0,5243.0,0.15258439824527942,0.802,0.84,-4.52380952380952,4.67826705788335,1100,havells-india,Large Cap
171658,4978,1,Asian Paints Ltd.,Chemicals,Chemicals,Domestic Equities,3453.0,3447.0,0.17406440382941687,0.7804000000000001,0.8353,-6.572488926134317,4.55226884285806,1100,asian-paints,Large Cap
56674,5695,1,Supreme Industries Ltd.,Plastic Products,Plastic Products,Domestic Equities,1852.0,1847.0,0.2707092582566324,0.7689,0.6535,17.65876052027545,4.48518645985849,1100,supreme-industries,Mid Cap
122,5767,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,4858.0,4851.0,0.1443001443001443,0.748,0.8070999999999999,-7.322512699789366,4.36327152032013,1100,the-phoenix-mills,Mid Cap
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,4798.0,4790.0,0.16701461377870563,0.7042,0.6578,7.053815749467924,4.10777513985219,1100,prestige-estates-projects,Mid Cap
152379,5838,1,Voltas Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,5374.0,5368.0,0.11177347242921014,0.6792,0.6627,2.489814395654151,3.96194387246181,1100,voltas,Mid Cap
171336,8097,1,JK Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,1193.0,1190.0,0.25210084033613445,0.6554000000000001,0.6095,7.530762920426584,3.82311250590617,1100,jk-cement,Mid Cap
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,1748.0,1744.0,0.22935779816513763,0.6303,0.534,18.033707865168545,3.67669791344623,1100,kei-industries,Mid Cap
153691,5278,1,Oberoi Realty Ltd.,Realty,Realty,Domestic Equities,3324.0,3318.0,0.18083182640144665,0.5815,0.5451,6.677673821317192,3.39203527950021,1100,oberoi-realty,Mid Cap
133317,6810,1,Blue Star Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,3700.0,3694.0,0.16242555495397942,0.5665,0.6297,-10.036525329521995,3.30453651906598,1100,blue-star,Mid Cap
171434,4916,1,Astral Ltd.,Plastic Products,Plastic Products,Domestic Equities,3530.0,3524.0,0.170261066969353,0.5287,0.4739,11.563621017092206,3.08403964277173,1100,astral,Mid Cap
152207,5372,1,LIC Housing Finance Ltd.,Finance,Finance,Domestic Equities,8636.0,8627.0,0.10432363509910744,0.515,0.5183,-0.6366968936909093,3.0041241082418,1100,lic-housing-finance,Mid Cap
171433,6783,1,Berger Paints India Ltd.,Chemicals,Chemicals,Domestic Equities,7988.0,7979.0,0.11279608973555583,0.45409999999999995,0.43439999999999995,4.534990791896867,2.64887914087884,1100,berger-paints-india,Mid Cap
47051,90577,1,Dalmia Bharat Ltd.,Construction Materials,Construction Materials,Domestic Equities,2250.0,2246.0,0.17809439002671415,0.4535,0.4374,3.6808413351623215,2.64537919046147,1100,dalmia-bharat,Mid Cap
152324,4941,1,ACC Ltd.,Construction Materials,Construction Materials,Domestic Equities,1934.0,1928.0,0.3112033195020747,0.364,0.3638,0.05497526113247944,2.12330325320391,1100,acc,Mid Cap
