CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1451538.0,1451538.0,0.0,181.84869999999998,186.0364,-2.2510110924528774,17.7024843815953,1100,icici-bank,Large Cap,Jan-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,1070350.0,1070350.0,0.0,181.82569999999998,189.757,-4.179714055344473,17.7002453931352,1100,hdfc-bank,Large Cap,Jan-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,1005030.0,940030.0,6.914672935970128,77.6788,74.7277,3.9491380037121395,7.56182333874844,1100,state-bank-of-india,Large Cap,Jan-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,700546.0,700546.0,0.0,69.0808,74.5871,-7.382375772754271,6.72483104398386,1100,axis-bank,Large Cap,Jan-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,74956.0,60456.0,23.984385338097127,59.1036,41.2491,43.28458075448919,5.75357731947523,1100,bajaj-finance,Large Cap,Jan-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,253379.0,253379.0,0.0,48.1749,45.254799999999996,6.452575196443256,4.68969761584721,1100,kotak-mahindra-bank,Large Cap,Jan-2025
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,1025211.0,980211.0,4.59084829694831,43.315200000000004,43.9625,-1.4723912425362427,4.21661882370166,1100,power-finance-corporation,Large Cap,Jan-2025
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,569720.0,106344.0,435.73309260513054,30.9785,30.7244,0.827029982684767,3.0156740873883,1100,shriram-finance,Large Cap,Jan-2025
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,134000.0,77000.0,74.02597402597402,24.9039,13.765699999999999,80.91270331330772,2.42432803088947,1100,icici-lombard-general-insurance-company,Mid Cap,Jan-2025
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,365702.0,327702.0,11.59590115409732,20.323900000000002,17.366600000000002,17.02866421752099,1.97847728536473,1100,indian-bank,Mid Cap,Jan-2025
171405,6966,1,Poonawalla Fincorp Ltd.,Finance,Finance,Domestic Equities,649666.0,601666.0,7.977848174901025,20.165599999999998,18.9134,6.620702782154453,1.96306720392006,1100,poonawalla-fincorp,Small Cap,Jan-2025
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,193814.0,193814.0,0.0,19.5316,24.3198,-19.688484280298354,1.90134900028192,1100,360-one-wam,Mid Cap,Jan-2025
140187,110794,1,India Shelter Finance Corporation Ltd.,Finance,Finance,Domestic Equities,278830.0,278830.0,0.0,18.439,19.6575,-6.19865191402772,1.79498731369669,1100,india-shelter-finance-corporation,Small Cap,Jan-2025
38814,98613,1,Aditya Birla Sun Life AMC Ltd.,Finance,Finance,Domestic Equities,252733.0,252733.0,0.0,17.264200000000002,21.147399999999998,-18.362541021591294,1.68062367704986,1100,aditya-birla-sun-life-amc,Small Cap,Jan-2025
797,86851,1,Nippon Life India Asset Management Ltd.,Finance,Finance,Domestic Equities,290000.0,290000.0,0.0,16.9302,21.083000000000002,-19.69738651994499,1.64810967071683,1100,nippon-life-india-asset-management,Mid Cap,Jan-2025
95396,111416,1,Nuvama Wealth Management Ltd.,Finance,Finance,Domestic Equities,30128.0,18734.0,60.81989964769937,16.8574,12.972100000000001,29.951202966366274,1.64102278550413,1100,nuvama-wealth-management,Small Cap,Jan-2025
114451,6891,1,City Union Bank Ltd.,Bank,Banking,Domestic Equities,915000.0,915000.0,0.0,15.8954,15.7682,0.8066868761177577,1.54737465947906,1100,city-union-bank,Small Cap,Jan-2025
152207,5372,1,LIC Housing Finance Ltd.,Finance,Finance,Domestic Equities,263097.0,263097.0,0.0,15.7358,15.7345,0.0082620992087376,1.53183802651274,1100,lic-housing-finance,Mid Cap,Jan-2025
77230,112345,1,DAM Capital Advisors Ltd.,Finance,Finance,Domestic Equities,474562.0,474562.0,0.0,14.6046,18.1045,-19.331657875113923,1.42171873320759,1100,dam-capital-advisors,Small Cap,Jan-2025
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,107979.0,107979.0,0.0,13.884500000000001,12.8058,8.423526839400907,1.35161892494288,1100,cholamandalam-investment-and-finance-company,Large Cap,Jan-2025
543,5039,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,530000.0,530000.0,0.0,12.6257,11.5079,9.71332736641785,1.22907811305062,1100,karur-vysya-bank,Small Cap,Jan-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,560000.0,560000.0,0.0,11.9498,13.470799999999999,-11.291088873712022,1.16328105652219,1100,bank-of-baroda,Large Cap,Jan-2025
56723,6834,1,Can Fin Homes Ltd.,Finance,Finance,Domestic Equities,175000.0,175000.0,0.0,11.684800000000001,13.287799999999999,-12.06369752705489,1.13748401556934,1100,can-fin-homes,Small Cap,Jan-2025
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,536436.0,536436.0,0.0,10.0426,10.729800000000001,-6.404592816268711,0.977620239521145,1100,the-federal-bank,Mid Cap,Jan-2025
116180,112103,1,Bajaj Housing Finance Ltd.,Finance,Finance,Domestic Equities,848012.0,848012.0,0.0,9.871699999999999,10.805399999999999,-8.641049845447647,0.960983581789664,1100,bajaj-housing-finance,Large Cap,Jan-2025
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,15600.0,,,8.2773,,,0.805773007845416,1100,bse,Mid Cap,Jan-2025
114457,7574,1,The South Indian Bank Ltd.,Bank,Banking,Domestic Equities,3075000.0,,,7.958099999999999,,,0.774699741912774,1100,the-south-indian-bank,Small Cap,Jan-2025
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,113000.0,113000.0,0.0,7.21,6.9727,3.4032727637787397,0.701874208566253,1100,hdfc-life-insurance-company,Large Cap,Jan-2025
171612,88005,1,ICICI Securities Ltd.,Finance,Finance,Domestic Equities,84970.0,84970.0,0.0,7.0405999999999995,7.2764,-3.2406134901874615,0.685383571821298,1100,icici-securities,Small Cap,Jan-2025
152519,8782,1,Mahindra & Mahindra Financial Services Ltd.,Finance,Finance,Domestic Equities,182184.0,182184.0,0.0,5.1913,4.827,7.547130723016368,0.505359164900137,1100,mahindra-mahindra-financial-services,Mid Cap,Jan-2025
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,44840.0,44840.0,0.0,4.4445,4.3053,3.2332241655633793,0.432660183075272,1100,indusind-bank,Mid Cap,Jan-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,1100350.0,1070350.0,2.802821506983697,190.6246,181.82569999999998,4.839194899290911,18.9211643133735,1100,hdfc-bank,Large Cap,Feb-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1514538.0,1451538.0,4.340223955556106,182.3655,181.84869999999998,0.28419229832272813,18.1013761633625,1100,icici-bank,Large Cap,Feb-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,700546.0,700546.0,0.0,71.1439,69.0808,2.9865027619830746,7.06165637485513,1100,axis-bank,Large Cap,Feb-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,1005030.0,1005030.0,0.0,69.2265,77.6788,-10.881089821160991,6.87133759934315,1100,state-bank-of-india,Large Cap,Feb-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,78656.0,74956.0,4.936229254495971,67.0959,59.1036,13.522526546606306,6.6598568529648,1100,bajaj-finance,Large Cap,Feb-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,253379.0,253379.0,0.0,48.216800000000006,48.1749,0.08697475241257396,4.78594051064272,1100,kotak-mahindra-bank,Large Cap,Feb-2025
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,1025211.0,1025211.0,0.0,37.3484,43.315200000000004,-13.775302895981092,3.70715643857927,1100,power-finance-corporation,Large Cap,Feb-2025
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,569720.0,569720.0,0.0,35.168800000000005,30.9785,13.526478041222145,3.49081201221756,1100,shriram-finance,Large Cap,Feb-2025
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,134000.0,134000.0,0.0,22.6587,24.9039,-9.01545541059834,2.24907480895664,1100,icici-lombard-general-insurance-company,Mid Cap,Feb-2025
140187,110794,1,India Shelter Finance Corporation Ltd.,Finance,Finance,Domestic Equities,278830.0,278830.0,0.0,20.270899999999997,18.439,9.934920548836695,2.01206470560443,1100,india-shelter-finance-corporation,Small Cap,Feb-2025
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,193814.0,193814.0,0.0,19.348499999999998,19.5316,-0.9374552008028104,1.92050841138713,1100,360-one-wam,Mid Cap,Feb-2025
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,365702.0,365702.0,0.0,18.6801,20.323900000000002,-8.088014603496381,1.85416384606314,1100,indian-bank,Mid Cap,Feb-2025
171405,6966,1,Poonawalla Fincorp Ltd.,Finance,Finance,Domestic Equities,649666.0,649666.0,0.0,18.2751,20.165599999999998,-9.374876026500573,1.81396404211907,1100,poonawalla-fincorp,Small Cap,Feb-2025
95396,111416,1,Nuvama Wealth Management Ltd.,Finance,Finance,Domestic Equities,30128.0,30128.0,0.0,16.270599999999998,16.8574,-3.480963849703991,1.61499982728973,1100,nuvama-wealth-management,Small Cap,Feb-2025
38814,98613,1,Aditya Birla Sun Life AMC Ltd.,Finance,Finance,Domestic Equities,252733.0,252733.0,0.0,15.5557,17.264200000000002,-9.896201387843059,1.54403972892031,1100,aditya-birla-sun-life-amc,Small Cap,Feb-2025
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,107979.0,107979.0,0.0,15.1252,13.884500000000001,8.935863732939604,1.5013088262094,1100,cholamandalam-investment-and-finance-company,Large Cap,Feb-2025
797,86851,1,Nippon Life India Asset Management Ltd.,Finance,Finance,Domestic Equities,290000.0,290000.0,0.0,14.8857,16.9302,-12.076053442959921,1.47753634955606,1100,nippon-life-india-asset-management,Mid Cap,Feb-2025
114451,6891,1,City Union Bank Ltd.,Bank,Banking,Domestic Equities,915000.0,915000.0,0.0,13.523699999999998,15.8954,-14.920668872755643,1.34234589777378,1100,city-union-bank,Small Cap,Feb-2025
