CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,360000.0,399000.0,-9.774436090225564,70.0164,76.8075,-8.841714676301137,7.99960605455756,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,360000.0,399000.0,-9.774436090225564,52.0488,56.93729999999999,-8.585760125611849,5.94674812775943,1100,icici-bank,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,270000.0,270000.0,0.0,50.117399999999996,50.341499999999996,-0.44515956020380515,5.72607926826691,1100,bharti-airtel,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,120000.0,120000.0,0.0,44.1012,40.092,10.000000000000002,5.03870845306605,1100,larsen-toubro,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,333000.0,333000.0,0.0,39.7003,39.4605,0.607696303898836,4.53589102335669,1100,axis-bank,Large Cap
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,240000.0,240000.0,0.0,37.7736,36.071999999999996,4.717232202262151,4.31575915446146,1100,tech-mahindra,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,1500000.0,1500000.0,0.0,35.7465,34.878,2.4901083777739523,4.08415625238147,1100,eternal,Large Cap
152079,6815,1,Linde India Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,45000.0,45000.0,0.0,33.7748,28.511999999999997,18.458193041526382,3.85888298415044,1100,linde-india,Mid Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,30000.0,30000.0,0.0,33.63,34.923,-3.702431062623491,3.84233910362102,1100,ultratech-cement,Large Cap
171383,5551,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,72000.0,72000.0,0.0,31.026999999999997,27.5573,12.590856143381238,3.54493771537465,1100,hero-motocorp,Large Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,33000.0,33000.0,0.0,30.2957,28.4939,6.323458705196561,3.46138426350197,1100,bajaj-finance,Large Cap
171741,5431,1,GAIL (India) Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,1500000.0,1500000.0,0.0,28.47,28.3635,0.37548257443545724,3.25279197978265,1100,gail-india,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,180000.0,240000.0,-25.0,28.128600000000002,36.002399999999994,-21.870208652756475,3.21378589682171,1100,infosys,Large Cap
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,7500.0,7500.0,0.0,23.561300000000003,22.0913,6.6542032383789085,2.69195671490175,1100,bosch,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,270000.0,180000.0,50.0,21.932100000000002,14.195699999999999,54.49819311481647,2.50581520828209,1100,state-bank-of-india,Large Cap
152334,5218,1,Ambuja Cements Ltd.,Construction Materials,Construction Materials,Domestic Equities,330000.0,330000.0,0.0,18.2655,17.8101,2.556976097832127,2.08689399040112,1100,ambuja-cements,Large Cap
152386,5556,1,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,55000.0,55000.0,0.0,18.1423,16.3053,11.266275382850978,2.07281798155289,1100,glaxosmithkline-pharmaceuticals,Mid Cap
