CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,15453.0,14584.0,5.95858475041141,3.5458,3.4248000000000003,3.5330530249941505,9.90073575606964,1100,hindustan-unilever,Large Cap,Jun-2025
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2755.0,2791.0,-1.2898602651379434,3.4162,3.4382,-0.639869699261238,9.53886104401971,1100,maruti-suzuki-india,Large Cap,Jun-2025
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,13273.0,13416.0,-1.065891472868217,3.2722,3.2147,1.788658350701465,9.13677803063091,1100,nestle-india,Large Cap,Jun-2025
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,62802.0,63491.0,-1.0851931769857146,2.8942,2.7654,4.657554060895348,8.08131012048529,1100,vedanta,Large Cap,Jun-2025
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4367.0,4413.0,-1.0423748017221843,2.5551,2.4318,5.07031828275351,7.13446046881763,1100,britannia-industries,Large Cap,Jun-2025
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5002.0,5062.0,-1.1853022520742789,1.7004,1.6543,2.7866771444115246,4.74793024976615,1100,cummins-india,Mid Cap,Jun-2025
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,10934.0,11049.0,-1.04081817359037,1.5615,1.6796,-7.031436056203859,4.36008767643486,1100,united-spirits,Large Cap,Jun-2025
152334,5218,1,Ambuja Cements Ltd.,Construction Materials,Construction Materials,Domestic Equities,24220.0,24924.0,-2.8245867437008507,1.3986,1.3795,1.3845596230518487,3.90523126753878,1100,ambuja-cements,Large Cap,Jun-2025
171659,5756,1,Ashok Leyland Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,52961.0,53518.0,-1.0407713292723944,1.3288,1.2631999999999999,5.1931602279924025,3.71033269577115,1100,ashok-leyland,Mid Cap,Jun-2025
133272,5382,1,ABB India Ltd.,Capital Goods,Capital Goods,Domestic Equities,1940.0,1962.0,-1.1213047910295617,1.1796,1.1715,0.6914212548015263,3.29373001800997,1100,abb-india,Large Cap,Jun-2025
114606,112114,1,Hyundai Motor India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5289.0,4539.0,16.523463317911435,1.1740000000000002,0.8384,40.028625954198475,3.27809345637818,1100,hyundai-motor-india,Large Cap,Jun-2025
171820,5969,1,Colgate-Palmolive (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4877.0,4930.0,-1.075050709939148,1.1739,1.2107999999999999,-3.047571853320117,3.27781423206333,1100,colgate-palmolive-india,Mid Cap,Jun-2025
152377,4902,1,Siemens Ltd.,Capital Goods,Capital Goods,Domestic Equities,3274.0,3309.0,-1.0577213659715927,1.0645,1.0806,-1.4899130112900234,2.97234283161378,1100,siemens,Large Cap,Jun-2025
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,321.0,324.0,-0.9259259259259258,1.0490000000000002,1.0178,3.0654352525054085,2.92906306281151,1100,bosch,Mid Cap,Jun-2025
177212,94646,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,470.0,476.0,-1.2605042016806722,0.9403,0.9186,2.3622904419769233,2.62554623256593,1100,hitachi-energy-india,Mid Cap,Jun-2025
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,878.0,885.0,-0.7909604519774011,0.789,0.7489,5.354519962611837,2.20307984419283,1100,oracle-financial-services-software,Mid Cap,Jun-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,193.0,195.0,-1.0256410256410255,0.6884,0.5939,15.911769658191618,1.92218018345037,1100,abbott-india,Mid Cap,Jun-2025
19098,6973,1,Schaeffler India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1489.0,1506.0,-1.1288180610889775,0.6026,0.6308,-4.4705136334812945,1.68260572130621,1100,schaeffler-india,Mid Cap,Jun-2025
133333,4917,1,CRISIL Ltd.,Ratings,Ratings,Domestic Equities,902.0,912.0,-1.0964912280701753,0.5455,0.4788,13.930659983291548,1.52316863752496,1100,crisil,Mid Cap,Jun-2025
97743,96921,1,Gland Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,2947.0,2978.0,-1.0409670920080591,0.5404,0.4731,14.225322341999568,1.50892819746744,1100,gland-pharma,Small Cap,Jun-2025
171333,7587,1,United Breweries Ltd.,Alcohol,Alcohol,Domestic Equities,2672.0,2701.0,-1.0736764161421697,0.5213,0.5339,-2.3599925079602886,1.45559635333045,1100,united-breweries,Mid Cap,Jun-2025
152079,6815,1,Linde India Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,777.0,787.0,-1.2706480304955527,0.5171,0.5907,-12.459793465380056,1.44386893210661,1100,linde-india,Mid Cap,Jun-2025
37877,7189,1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,3004.0,2684.0,11.922503725782414,0.5045000000000001,0.4499,12.136030228939767,1.40868666843509,1100,jb-chemicals-pharmaceuticals,Small Cap,Jun-2025
133170,6243,1,Timken India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1329.0,1344.0,-1.1160714285714286,0.46490000000000004,0.4199,10.71683734222434,1.29811383975317,1100,timken-india,Small Cap,Jun-2025
178941,94376,1,Cohance Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,4730.0,4780.0,-1.0460251046025104,0.4578,0.5008,-8.586261980830665,1.27828891339858,1100,cohance-lifesciences,Small Cap,Jun-2025
152363,7424,1,SKF India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,861.0,870.0,-1.0344827586206897,0.4146,0.4086,1.468428781204115,1.15766400938194,1100,skf-india,Small Cap,Jun-2025
152370,5063,1,Escorts Kubota Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1228.0,1241.0,-1.04754230459307,0.40950000000000003,0.4122,-0.6550218340611257,1.14342356932442,1100,escorts-kubota,Mid Cap,Jun-2025
152407,5597,1,Castrol India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,17915.0,18103.0,-1.0385019057614762,0.3972,0.3914,1.4818599897802716,1.10907897859746,1100,castrol-india,Small Cap,Jun-2025
113787,7539,1,Honeywell Automation India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,82.0,82.0,0.0,0.32270000000000004,0.3159,2.1525799303577187,0.90105686403172,1100,honeywell-automation-india,Mid Cap,Jun-2025
152064,6806,1,3M India Ltd.,Diversified,Diversified,Domestic Equities,104.0,106.0,-1.8867924528301887,0.2964,0.3103,-4.479535932968097,0.827620869225292,1100,3m-india,Mid Cap,Jun-2025
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,13304.0,11948.0,11.349179779042515,3.0956,2.9824,3.795600858369096,9.96523306721607,1100,hindustan-unilever,Large Cap,Dec-2024
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2848.0,2756.0,3.3381712626995643,3.0925,3.052,1.3269986893840142,9.95525366984291,1100,maruti-suzuki-india,Large Cap,Dec-2024
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,11849.0,11907.0,-0.4871084236163601,2.5713,2.6608,-3.3636500300661414,8.27742724697399,1100,nestle-india,Large Cap,Dec-2024
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,56084.0,56342.0,-0.4579177168009655,2.4927,2.5551,-2.442174474580244,8.02440123615761,1100,vedanta,Large Cap,Dec-2024
152377,4902,1,Siemens Ltd.,Capital Goods,Capital Goods,Domestic Equities,2921.0,2935.0,-0.4770017035775128,1.9092,2.2191,-13.965120994997976,6.14602111769251,1100,siemens,Large Cap,Dec-2024
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,3899.0,3918.0,-0.4849412965798876,1.857,1.9359,-4.075623740895715,5.97798094257018,1100,britannia-industries,Large Cap,Dec-2024
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,9757.0,9803.0,-0.4692441089462409,1.586,1.499,5.803869246164101,5.10558846252897,1100,united-spirits,Large Cap,Dec-2024
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4480.0,4500.0,-0.4444444444444444,1.4668,1.5677,-6.43618039165657,4.72186453772856,1100,cummins-india,Large Cap,Dec-2024
133272,5382,1,ABB India Ltd.,Capital Goods,Capital Goods,Domestic Equities,1732.0,1741.0,-0.5169442848937392,1.1972,1.2919999999999998,-7.337461300309591,3.85397888230749,1100,abb-india,Large Cap,Dec-2024
152334,5218,1,Ambuja Cements Ltd.,Construction Materials,Construction Materials,Domestic Equities,22200.0,20044.0,10.756336060666534,1.1895,1.0653,11.658687693607437,3.82919134689673,1100,ambuja-cements,Large Cap,Dec-2024
171820,5969,1,Colgate-Palmolive (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4379.0,4399.0,-0.4546487838145032,1.1739,1.2712,-7.654185022026434,3.77897244398661,1100,colgate-palmolive-india,Mid Cap,Dec-2024
171659,5756,1,Ashok Leyland Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,47327.0,47564.0,-0.4982760070641662,1.0436,1.1039,-5.462451308995381,3.35951583826938,1100,ashok-leyland,Mid Cap,Dec-2024
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,780.0,782.0,-0.2557544757033248,0.9976,0.9147,9.06308079151635,3.21143445789338,1100,oracle-financial-services-software,Mid Cap,Dec-2024
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,287.0,288.0,-0.3472222222222222,0.9787,1.007,-2.810327706057595,3.1505923255215,1100,bosch,Large Cap,Dec-2024
133333,4917,1,CRISIL Ltd.,Ratings,Ratings,Domestic Equities,805.0,809.0,-0.4944375772558714,0.5356000000000001,0.4339,23.43858031804564,1.72418233324749,1100,crisil,Mid Cap,Dec-2024
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,172.0,173.0,-0.5780346820809248,0.5115,0.4796,6.651376146788985,1.64660056657224,1100,abbott-india,Mid Cap,Dec-2024
171333,7587,1,United Breweries Ltd.,Alcohol,Alcohol,Domestic Equities,2487.0,2499.0,-0.4801920768307323,0.5065999999999999,0.4874,3.939269593762812,1.63082668040175,1100,united-breweries,Mid Cap,Dec-2024
97743,96921,1,Gland Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,2629.0,2641.0,-0.4543733434305188,0.4678,0.4589999999999999,1.9172113289760404,1.50592325521504,1100,gland-pharma,Small Cap,Dec-2024
171410,5631,1,Procter & Gamble Hygiene and Health Care Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,313.0,314.0,-0.3184713375796179,0.4604999999999999,0.499,-7.71543086172345,1.48242338398146,1100,procter-gamble-hygiene-and-health-care,Mid Cap,Dec-2024
19098,6973,1,Schaeffler India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1331.0,1337.0,-0.4487658937920717,0.4533,0.4792,-5.404841402337236,1.45924542879217,1100,schaeffler-india,Mid Cap,Dec-2024
37877,7189,1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,2364.0,2370.0,-0.2531645569620253,0.436,0.4113,6.005348893751517,1.40355395312902,1100,jb-chemicals-pharmaceuticals,Small Cap,Dec-2024
152079,6815,1,Linde India Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,695.0,698.0,-0.4297994269340974,0.4167,0.4831,-13.74456634237218,1.34142415657996,1100,linde-india,Mid Cap,Dec-2024
133170,6243,1,Timken India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1187.0,1193.0,-0.5029337803855826,0.3706,0.4029999999999999,-8.039702233250608,1.19302086015967,1100,timken-india,Small Cap,Dec-2024
152370,5063,1,Escorts Kubota Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1097.0,1116.0,-1.702508960573477,0.3656,0.3965999999999999,-7.81643973777104,1.17692505794489,1100,escorts-kubota,Mid Cap,Dec-2024
152363,7424,1,SKF India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,769.0,773.0,-0.517464424320828,0.3444,0.387,-11.007751937984509,1.10867885655421,1100,skf-india,Small Cap,Dec-2024
152407,5597,1,Castrol India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,15986.0,16063.0,-0.4793625101164165,0.3156,0.3224,-2.109181141439216,1.01596703579706,1100,castrol-india,Small Cap,Dec-2024
