CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,149071.0,143801.0,3.664786753916871,27.6706,26.811700000000002,3.203452224215543,6.18568685007825,1100,bharti-airtel,Large Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,80130.0,77298.0,3.6637429170224327,23.853099999999998,22.639,5.362869384690129,5.3322951798516,1100,mahindra-mahindra,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,35923.0,34658.0,3.6499509492757807,23.7523,21.0963,12.589885430146513,5.30976161590691,1100,divi's-laboratories,Large Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,616330.0,594488.0,3.674085936133278,23.704099999999997,18.6729,26.943859818239265,5.29898663790955,1100,bharat-electronics,Large Cap
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,84641.0,27219.0,210.9629303060362,22.633000000000003,17.3086,30.76158672567396,5.0595451662711,1100,bse,Mid Cap
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,138674.0,133771.0,3.6652189188987148,21.8259,20.1058,8.555242765769092,4.87912017163065,1100,tech-mahindra,Large Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,129496.0,124918.0,3.664804111497142,21.7242,22.8887,-5.087663344794585,4.85638541515074,1100,sun-pharmaceutical-industries,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,872814.0,841914.0,3.670208596127395,20.8,19.5762,6.2514686200590575,4.64978303620549,1100,eternal,Large Cap
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,125449.0,121012.0,3.6665785211383994,20.531,18.9686,8.236770241346225,4.58964882290072,1100,hcl-technologies,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,125009.0,120589.0,3.665342610022473,19.5352,18.0896,7.99133203608703,4.36704046004238,1100,infosys,Large Cap
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,13209.0,12753.0,3.575629263702658,19.4067,20.981199999999998,-7.504337216174471,4.33831463695813,1100,dixon-technologies-india,Mid Cap
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,33748.0,32563.0,3.6390995915609743,19.0457,16.8432,13.076493777904435,4.2576140756086,1100,trent,Large Cap
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,33346.0,32176.0,3.636250621581303,18.8005,17.1225,9.799970798656735,4.2028002871241,1100,persistent-systems,Mid Cap
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,230050.0,221905.0,3.6704896239381717,17.7104,17.4795,1.3209760004576743,3.95911141751989,1100,the-indian-hotels-company,Mid Cap
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,18272.0,17635.0,3.6121349588885736,15.6235,12.8824,21.27786747810966,3.49259063779599,1100,coforge,Mid Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,83668.0,80733.0,3.6354402784487134,14.739,13.121500000000001,12.327096749609419,3.29486308512657,1100,pb-fintech,Mid Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,101548.0,19599.0,418.1284759426501,14.495999999999999,13.8555,4.622713002056942,3.24054110061706,1100,info-edge-india,Large Cap
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,270294.0,260726.0,3.6697529206906867,11.7727,10.9296,7.713914507392763,2.63175484376617,1100,vedanta,Large Cap
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,53561.0,51673.0,3.6537456698856268,10.4856,10.8286,-3.167537816522908,2.34402716367482,1100,lupin,Mid Cap
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,65664.0,63349.0,3.654359184833225,9.9816,9.9072,0.750968992248056,2.23135934395138,1100,united-spirits,Large Cap
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,467981.0,451399.0,3.6734684835367384,9.456,8.8781,6.509275633299927,2.11386290338265,1100,the-federal-bank,Mid Cap
171444,98250,1,Kalyan Jewellers India Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,135073.0,130330.0,3.639223509552674,7.569500000000001,6.732200000000001,12.437241912004993,1.69214099483449,1100,kalyan-jewellers-india,Mid Cap
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,464573.0,448100.0,3.67618835081455,7.1135,5.971799999999999,19.118188820791065,1.59020344365614,1100,samvardhana-motherson-international,Large Cap
152379,5838,1,Voltas Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,52273.0,50429.0,3.656626147653136,6.601,6.2335,5.895564289724874,1.47563547221118,1100,voltas,Mid Cap
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,7527.0,7268.0,3.563566318106769,6.3697,6.3388,0.4874739698365671,1.42392899065952,1100,oracle-financial-services-software,Mid Cap
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,20060.0,19358.0,3.626407686744498,6.3684,6.430700000000001,-0.9687903338672335,1.42363837921976,1100,torrent-pharmaceuticals,Large Cap
152795,99590,1,One97 Communications Ltd.,IT,Information Technology,Domestic Equities,67397.0,65017.0,3.6605810787947766,6.0014,5.6223,6.742792095761516,1.3415965343021,1100,one97-communications,Mid Cap
152377,4902,1,Siemens Ltd.,Capital Goods,Capital Goods,Domestic Equities,17621.0,17006.0,3.616370692696695,5.7543,4.9343,16.618365320308847,1.28635800602102,1100,siemens,Large Cap
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1661.0,1609.0,3.2318210068365447,5.218,4.7393,10.100647774987856,1.16646960975578,1100,bosch,Large Cap
677,6026,1,Oil India Ltd.,Crude Oil,Crude Oil,Domestic Equities,104188.0,100534.0,3.6345912825511766,4.4467,4.1294,7.683925025427428,0.994047607071873,1100,oil-india,Mid Cap
227975,113151,1,Siemens Energy India Ltd.,Others,,Domestic Equities,15305.0,15305.0,0.0,3.7927999999999997,3.7927999999999997,0.0,0.847870052871163,1100,siemens-energy-india,
