CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,694815.0,319437.0,117.51237333183069,111.29549999999999,49.9184,122.95486233533124,28.7169580364547,1100,infosys,Large Cap,Jun-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,244828.0,117530.0,108.3110695141666,84.7595,40.7053,108.22718417503371,21.8700217411385,1100,tata-consultancy-services,Large Cap,Jun-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,253959.0,122088.0,108.01307253784157,43.89939999999999,19.9809,119.7068200131125,11.327117696812,1100,hcl-technologies,Large Cap,Jun-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,224188.0,120132.0,86.61805347451137,37.8205,18.9076,100.02803105629484,9.75861298451183,1100,tech-mahindra,Large Cap,Jun-2025
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,1007815.0,537988.0,87.3303865513729,26.8059,13.4319,99.56893663591897,6.91657708918511,1100,wipro,Large Cap,Jun-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,37908.0,20125.0,88.36273291925465,22.9021,11.3465,101.84285903141937,5.90930131628583,1100,persistent-systems,Mid Cap,Jun-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,117721.0,12658.0,830.0126402275241,22.6554,10.8232,109.32256633897555,5.84564668921112,1100,coforge,Mid Cap,Jun-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,32722.0,17503.0,86.95080843284009,17.3983,8.8721,96.10126125719952,4.48918645413022,1100,ltimindtree,Large Cap,Jun-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,40226.0,21515.0,86.9672321636068,11.4459,5.5053,107.90692605307612,2.95332183232437,1100,mphasis,Mid Cap,Jun-2025
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,8374.0,4460.0,87.75784753363229,7.5249,3.7743,99.37206899292585,1.94160803921559,1100,oracle-financial-services-software,Mid Cap,Jun-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,298098.0,281866.0,5.758764803133404,56.0424,52.3665,7.019564034258546,27.84239613204,1100,infosys,Large Cap,Dec-2024
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,112257.0,109722.0,2.31038442609504,45.967,46.860600000000005,-1.9069324763234052,22.8368418019479,1100,tata-consultancy-services,Large Cap,Dec-2024
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,116280.0,113383.0,2.555056754539922,22.2955,20.9537,6.403642316154201,11.0766159722264,1100,hcl-technologies,Large Cap,Dec-2024
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,115489.0,121707.0,-5.1089912659091095,19.7047,20.8399,-5.447243028997248,9.78948194693677,1100,tech-mahindra,Large Cap,Dec-2024
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,515159.0,271177.0,89.9714946326569,15.5501,15.67,-0.7651563497128276,7.72543724203167,1100,wipro,Large Cap,Dec-2024
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,19173.0,20363.0,-5.8439326228944655,12.3813,12.0257,2.957000424091752,6.15114733183496,1100,persistent-systems,Mid Cap,Dec-2024
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,12108.0,12726.0,-4.856199905704856,11.6999,11.0536,5.846963885069128,5.8126213457178,1100,coforge,Mid Cap,Dec-2024
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,16827.0,17727.0,-5.07700118463361,9.3994,10.9418,-14.096400957794875,4.66971111521807,1100,ltimindtree,Large Cap,Dec-2024
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,20565.0,21625.0,-4.901734104046243,5.8553,6.4325,-8.973183054799849,2.9089686036275,1100,mphasis,Mid Cap,Dec-2024
44430,82482,1,L&T Technology Services Ltd.,IT,Information Technology,Domestic Equities,4989.0,5257.0,-5.097964618603766,2.3635,2.7783999999999995,-14.933054995680962,1.17420922833563,1100,lt-technology-services,Mid Cap,Dec-2024
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,297731.0,298098.0,-0.1231138753027527,55.9675,56.0424,-0.1336488087590785,28.1527792868382,1100,infosys,Large Cap,Jan-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,112133.0,112257.0,-0.1104608175882127,46.1136,45.967,0.3189244457980694,23.1960691994736,1100,tata-consultancy-services,Large Cap,Jan-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,116120.0,116280.0,-0.1375988992088063,20.0359,22.2955,-10.134780561099785,10.0784610803263,1100,hcl-technologies,Large Cap,Jan-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,115337.0,115489.0,-0.1316142662937595,19.3126,19.7047,-1.9898805868650644,9.71462661821577,1100,tech-mahindra,Large Cap,Jan-2025
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,514506.0,515159.0,-0.1267569818250287,16.0474,15.5501,3.198050173310784,8.07216528034318,1100,wipro,Large Cap,Jan-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,19197.0,19173.0,0.1251760287904866,11.5808,12.3813,-6.465395394667779,5.82537555483121,1100,persistent-systems,Mid Cap,Jan-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,12087.0,12108.0,-0.1734390485629336,9.9885,11.6999,-14.627475448508106,5.02441659724989,1100,coforge,Mid Cap,Jan-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,16753.0,16827.0,-0.4397694181969453,9.908,9.3994,5.4109836798093385,4.98392347655323,1100,ltimindtree,Large Cap,Jan-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,20554.0,20565.0,-0.0534889375151957,5.8948,5.8553,0.6746024968831735,2.96520307928805,1100,mphasis,Mid Cap,Jan-2025
44430,82482,1,L&T Technology Services Ltd.,IT,Information Technology,Domestic Equities,4961.0,4989.0,-0.5612347163760273,2.7034,2.3635,14.38121430082504,1.35986462722184,1100,lt-technology-services,Mid Cap,Jan-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,273262.0,297731.0,-8.21849253184922,46.1184,55.9675,-17.59789163353732,29.0700049166068,1100,infosys,Large Cap,Feb-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,102906.0,112133.0,-8.228621369266854,35.8447,46.1136,-22.268701641164427,22.5941404132471,1100,tata-consultancy-services,Large Cap,Feb-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,106597.0,116120.0,-8.20099896658629,16.7896,20.0359,-16.20241666209154,10.5830591379549,1100,hcl-technologies,Large Cap,Feb-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,105877.0,115337.0,-8.202051379869427,15.7529,19.3126,-18.43200811905181,9.92959166950317,1100,tech-mahindra,Large Cap,Feb-2025
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,472236.0,514506.0,-8.215647630931418,13.1116,16.0474,-18.29455238854892,8.26468993860545,1100,wipro,Large Cap,Feb-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,17577.0,19197.0,-8.438818565400844,9.3227,11.5808,-19.49865294280188,5.87641667612168,1100,persistent-systems,Mid Cap,Feb-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,11102.0,12087.0,-8.149251261686109,8.1735,9.9885,-18.170896531010666,5.15203660981052,1100,coforge,Mid Cap,Feb-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,15420.0,16753.0,-7.956783859607235,7.1949000000000005,9.908,-27.38292289059345,4.53519155856435,1100,ltimindtree,Large Cap,Feb-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,18854.0,20554.0,-8.270896175926827,4.237,5.8948,-28.12309153830495,2.67072601893524,1100,mphasis,Mid Cap,Feb-2025
44430,82482,1,L&T Technology Services Ltd.,IT,Information Technology,Domestic Equities,4569.0,4961.0,-7.9016327353356175,2.0712,2.7034,-23.38536657542353,1.30554820165652,1100,lt-technology-services,Mid Cap,Feb-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,275558.0,273262.0,0.8402192767380755,43.2805,46.1184,-6.153509228420759,27.6748827124141,1100,infosys,Large Cap,Mar-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,101404.0,102906.0,-1.4595844751520806,36.567800000000005,35.8447,2.0173135777395377,23.3825758956347,1100,tata-consultancy-services,Large Cap,Mar-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,105314.0,106597.0,-1.2035986003358443,16.7713,16.7896,-0.1089960451708157,10.724084990578,1100,hcl-technologies,Large Cap,Mar-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,103632.0,105877.0,-2.120384975018182,14.6976,15.7529,-6.699083978188142,9.39809743773703,1100,tech-mahindra,Large Cap,Mar-2025
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,464073.0,472236.0,-1.7285848601123168,12.1703,13.1116,-7.179139082949456,7.78206409525984,1100,wipro,Large Cap,Mar-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,17397.0,17577.0,-1.0240655401945724,9.5923,9.3227,2.891866090295734,6.13361161359711,1100,persistent-systems,Mid Cap,Mar-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,10883.0,11102.0,-1.972617546388038,8.8252,8.1735,7.97332843946901,5.64310428284324,1100,coforge,Mid Cap,Mar-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,15090.0,15420.0,-2.140077821011673,6.7774,7.1949000000000005,-5.802721372083003,4.33367798650929,1100,ltimindtree,Large Cap,Mar-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,18568.0,18854.0,-1.5169194865810969,4.6424,4.237,9.568090630162857,2.96849332849924,1100,mphasis,Mid Cap,Mar-2025
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,3864.0,,,3.0336000000000003,,,1.93977713280529,1100,oracle-financial-services-software,Mid Cap,Mar-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,282539.0,275558.0,2.5334049456012893,42.3837,43.2805,-2.0720647866822306,27.2051375864127,1100,infosys,Large Cap,Apr-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,103977.0,101404.0,2.53737525146937,35.9105,36.567800000000005,-1.7974830315195338,23.050137040817,1100,tata-consultancy-services,Large Cap,Apr-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,107985.0,105314.0,2.536225003323395,16.9266,16.7713,0.9259866557750426,10.86480137105,1100,hcl-technologies,Large Cap,Apr-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,106260.0,103632.0,2.535896248263085,15.9709,14.6976,8.663319181362938,10.251359175316,1100,tech-mahindra,Large Cap,Apr-2025
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,475836.0,464073.0,2.534730527309281,11.4914,12.1703,-5.578334141311214,7.37606952815595,1100,wipro,Large Cap,Apr-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,17839.0,17397.0,2.540667931252515,9.493,9.5923,-1.0352053209345062,6.09334180611452,1100,persistent-systems,Mid Cap,Apr-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,11163.0,10883.0,2.572819994486814,8.1546,8.8252,-7.5986946471468,5.23425314359439,1100,coforge,Mid Cap,Apr-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,15465.0,15090.0,2.485089463220676,7.093,6.7774,4.656652993773416,4.55283613512802,1100,ltimindtree,Large Cap,Apr-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,19037.0,18568.0,2.52585092632486,4.7002,4.6424,1.2450456660348037,3.01695198115448,1100,mphasis,Mid Cap,Apr-2025
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,3960.0,3864.0,2.484472049689441,3.4537,3.0336000000000003,13.848233122362863,2.21685184828587,1100,oracle-financial-services-software,Mid Cap,Apr-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,319437.0,282539.0,13.059436042457856,49.9184,42.3837,17.777353086210034,27.1150498238715,1100,infosys,Large Cap,May-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,117530.0,103977.0,13.034613424122645,40.7053,35.9105,13.35208365241364,22.1106092662352,1100,tata-consultancy-services,Large Cap,May-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,122088.0,107985.0,13.060147242672592,19.9809,16.9266,18.04437985183084,10.8533746880067,1100,hcl-technologies,Large Cap,May-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,120132.0,106260.0,13.05477131564088,18.9076,15.9709,18.38781784370324,10.2703715673946,1100,tech-mahindra,Large Cap,May-2025
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,537988.0,475836.0,13.061643087114048,13.4319,11.4914,16.886541239535646,7.29603989168842,1100,wipro,Large Cap,May-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,20125.0,17839.0,12.814619653568023,11.3465,9.493,19.524913093858647,6.16327672414496,1100,persistent-systems,Mid Cap,May-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,12658.0,11163.0,13.392457224760369,10.8232,8.1546,32.72508768057291,5.87902671667613,1100,coforge,Mid Cap,May-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,17503.0,15465.0,13.178144196572909,8.8721,7.093,25.082475680248145,4.81921362748746,1100,ltimindtree,Large Cap,May-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,21515.0,19037.0,13.01675684193938,5.5053,4.7002,17.129058337943064,2.9904100250681,1100,mphasis,Mid Cap,May-2025
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,4460.0,3960.0,12.626262626262626,3.7743,3.4537,9.282798158496686,2.05015249988457,1100,oracle-financial-services-software,Mid Cap,May-2025
