CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,9711.0,9161.0,6.003711385219955,1.3798,1.2871000000000001,7.202237588376957,10.683039378126,1100,reliance-industries,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,9291.0,8764.0,6.013235965312642,1.3433000000000002,1.2506,7.412442027826652,10.4004397714427,1100,icici-bank,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,7212.0,6805.0,5.980896399706098,1.3387,1.2688,5.5091424968474225,10.3648244785457,1100,bharti-airtel,Large Cap
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,6853.0,6465.0,6.0015467904099,1.3328,1.2445,7.09521896343913,10.3191439941777,1100,hdfc-bank,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,11160.0,10527.0,6.013109147905387,1.3305,1.2473999999999998,6.6618566618566755,10.3013363477291,1100,axis-bank,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,3596.0,3394.0,5.951679434295816,1.3215999999999999,1.1339,16.553487961901396,10.2324284984283,1100,larsen-toubro,Large Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,30464.0,28736.0,6.013363028953229,1.2734999999999999,1.2236,4.078130107878388,9.86001641400455,1100,itc,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,7664.0,7231.0,5.988106762550132,1.1977,1.0847,10.417626993638791,9.27313832670063,1100,infosys,Large Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,5750.0,5426.0,5.971249539255437,1.193,1.1981,-0.4256739838076997,9.2367487883058,1100,kotak-mahindra-bank,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,3411.0,3220.0,5.931677018633541,1.1814,1.1120999999999999,6.231454005934724,9.14693631056535,1100,tata-consultancy-services,Large Cap
