CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,126000.0,126000.0,0.0,155.2194,154.4382,0.505833401321699,7.4287364757779,1100,maruti-suzuki-india,Large Cap
171383,5551,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,208372.0,208372.0,0.0,89.7937,79.75229999999999,12.590734060334327,4.29748945354162,1100,hero-motocorp,Large Cap
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,3200000.0,3200000.0,0.0,79.89439999999999,77.28,3.383022774327117,3.82371303774135,1100,wipro,Large Cap
171371,111171,1,Jyoti CNC Automation Ltd.,Capital Goods,Capital Goods,Domestic Equities,606513.0,606513.0,0.0,78.57979999999999,65.2972,20.341760443020515,3.76079682384633,1100,jyoti-cnc-automation,Small Cap
133623,8531,1,Radico Khaitan Ltd.,Alcohol,Alcohol,Domestic Equities,300087.0,300087.0,0.0,76.006,73.69239999999999,3.1395367771981992,3.63761581721083,1100,radico-khaitan,Small Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1780000.0,1780000.0,0.0,74.4129,75.7924,-1.8201033348990112,3.56137070816157,1100,itc,Large Cap
79360,8286,1,Orient Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,1900000.0,1900000.0,0.0,66.557,66.443,0.17157563625964564,3.1853905737192,1100,orient-cement,Small Cap
328,7817,1,Marksans Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,2527836.0,2527836.0,0.0,66.0827,55.4582,19.157671904245014,3.16269077130751,1100,marksans-pharma,Small Cap
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,400000.0,400000.0,0.0,62.956,60.12,4.7172322022621485,3.01304819867281,1100,tech-mahindra,Large Cap
171853,7249,1,NLC India Ltd.,Power,Power,Domestic Equities,2536738.0,2536738.0,0.0,61.318000000000005,57.7311,6.213115634380785,2.93465419413907,1100,nlc-india,Mid Cap
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,72102.0,72102.0,0.0,61.0163,62.8838,-2.9697632776645175,2.92021495655187,1100,oracle-financial-services-software,Mid Cap
133621,6468,1,Astra Microwave Products Ltd.,Capital Goods,Capital Goods,Domestic Equities,530000.0,530000.0,0.0,58.0562,43.9185,32.190762434964746,2.7785457912159,1100,astra-microwave-products,Small Cap
152207,5372,1,LIC Housing Finance Ltd.,Finance,Finance,Domestic Equities,965448.0,965448.0,0.0,57.5841,58.0186,-0.7488977672677353,2.75595127989699,1100,lic-housing-finance,Mid Cap
171799,4956,1,Dabur India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1120000.0,1120000.0,0.0,54.0904,54.628,-0.9841107124551551,2.58874423860302,1100,dabur-india,Large Cap
171405,6966,1,Poonawalla Fincorp Ltd.,Finance,Finance,Domestic Equities,1338226.0,1338226.0,0.0,54.0309,50.216899999999995,7.59505266155419,2.58589659313918,1100,poonawalla-fincorp,Small Cap
38130,7638,1,Jubilant Pharmova Ltd.,Healthcare,Healthcare,Domestic Equities,450000.0,450000.0,0.0,52.821000000000005,40.4078,30.71981152153792,2.52799127806875,1100,jubilant-pharmova,Small Cap
38803,5403,1,Indus Towers Ltd.,Telecom,Telecom,Domestic Equities,1330632.0,1330632.0,0.0,51.1162,54.3164,-5.891774859894993,2.4464002530815,1100,indus-towers,Large Cap
38814,98613,1,Aditya Birla Sun Life AMC Ltd.,Finance,Finance,Domestic Equities,677306.0,677306.0,0.0,50.5981,44.8038,12.93260839482366,2.42160420073173,1100,aditya-birla-sun-life-amc,Small Cap
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,3280159.0,3280159.0,0.0,50.2258,43.7147,14.894532045284532,2.40378607625803,1100,samvardhana-motherson-international,Large Cap
152532,6617,1,Sun TV Network Ltd.,Media & Entertainment,Media & Entertainment,Domestic Equities,797045.0,797045.0,0.0,50.185900000000004,49.4885,1.4092162825706938,2.4018764787117,1100,sun-tv-network,Small Cap
152683,97601,1,MTAR Technologies Ltd.,Capital Goods,Capital Goods,Domestic Equities,300000.0,300000.0,0.0,49.224,42.638999999999996,15.443607964539508,2.35584034137287,1100,mtar-technologies,Small Cap
174597,97684,1,Indigo Paints Ltd.,Chemicals,Chemicals,Domestic Equities,450000.0,,,48.5753,,,2.32479382687895,1100,indigo-paints,Small Cap
191898,99941,1,Sapphire Foods India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1523160.0,1523160.0,0.0,48.4517,48.208,0.5055177563889788,2.3188783818482,1100,sapphire-foods-india,Small Cap
